,Index,Text,Dates
0,4,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
1,5,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19']"
2,16,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
3,26,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
4,32,"['Do not sell or share', 'Do not sell']","['2023-04-12', '2023-04-19']"
5,34,"['Do not sell or share', 'Ambiguous']","['2023-04-12', '2023-04-19']"
6,38,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19']"
7,41,"['Do not sell or share', 'Ambiguous']","['2023-04-12', '2023-04-19']"
8,51,"['Ambiguous', 'Do not sell or share']","['2023-04-12', '2023-04-19']"
9,53,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19']"
10,66,"['Ambiguous', 'Do not sell or share']","['2023-04-12', '2023-04-19']"
11,73,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19']"
12,76,"['Ambiguous', 'Do not sell or share']","['2023-04-12', '2023-04-19']"
13,113,"['Do not sell', 'Do not sell or share']","['2023-04-12', '2023-04-19']"
14,121,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
15,129,"['Ambiguous', 'Do not sell or share']","['2023-04-12', '2023-04-19']"
16,134,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
17,149,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19']"
18,157,"['Do not sell or share', 'Ambiguous']","['2023-04-12', '2023-04-19']"
19,159,"['Do not sell or share', 'Ambiguous']","['2023-04-12', '2023-04-19']"
20,177,"['Do not sell or share', 'Ambiguous']","['2023-04-12', '2023-04-19']"
21,182,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
22,183,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19']"
23,224,"['Do not sell or share', 'Ambiguous']","['2023-04-12', '2023-04-19']"
24,346,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-19']"
25,360,"['Ambiguous', 'Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19', '2023-04-20']"
26,363,"['Do not sell', 'Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-19', '2023-04-20']"
27,380,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-04-12', '2023-04-19', '2023-04-20']"
28,384,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-20']"
29,582,"['Ambiguous', 'Do not sell']","['2023-04-12', '2023-04-20']"
30,591,"['Do not sell', 'Ambiguous']","['2023-04-12', '2023-04-20']"
31,643,"['Ambiguous', 'Ambiguous', 'No']","['2023-04-12', '2023-04-20', '2023-04-21']"
