,Index,Text,Dates
0,5,"['No', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
1,11,"['Ambiguous', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
2,13,"['Ambiguous', 'Ambiguous', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
3,44,"['No', 'Do not sell or share']","['2023-02-07', '2023-02-20']"
4,56,"['Do not sell', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
5,73,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
6,88,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
7,107,"['No', 'Do not sell or share', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
8,114,"['Do not sell', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
9,116,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
10,121,"['No', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
11,122,"['Do not sell', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
12,123,"['Ambiguous', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
13,125,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
14,152,"['No', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
15,167,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
16,270,"['Do not sell', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
17,300,"['Ambiguous', 'Do not sell or share', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
18,373,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
19,374,"['Do not sell', 'No', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
20,377,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
21,383,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
22,428,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
23,542,"['Ambiguous', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
24,552,"['No', 'No', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
25,554,"['No', 'Do not sell or share']","['2023-02-07', '2023-02-10']"
26,582,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
27,585,"['Do not sell', 'Do not sell', 'Ambiguous']","['2023-02-07', '2023-02-10', '2023-02-20']"
28,586,"['No', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
29,591,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
30,598,"['No', 'Do not sell or share', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
31,667,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
32,672,"['No', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
33,673,"['No', 'Do not sell']","['2023-02-07', '2023-02-20']"
34,689,"['No', 'No', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
35,720,"['No', 'Do not sell or share', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
36,757,"['Do not sell', 'Do not sell or share', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
37,761,"['Do not sell or share', 'Do not sell or share', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
38,775,"['No', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
39,789,"['Ambiguous', 'No', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
40,821,"['Do not sell or share', 'Do not sell', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
41,835,"['Ambiguous', 'No', 'Ambiguous']","['2023-02-07', '2023-02-10', '2023-02-20']"
42,856,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
43,859,"['No', 'Do not sell or share', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
44,862,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
45,865,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
46,870,"['Do not sell', 'No', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
47,934,"['Do not sell or share', 'Do not sell or share', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
48,958,"['No', 'No', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
49,960,"['Do not sell or share', 'Ambiguous', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
50,973,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
51,976,"['Ambiguous', 'No', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
52,993,"['No', 'No', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
53,1011,"['Do not sell', 'Do not sell', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
54,1015,"['Do not sell or share', 'Do not sell or share', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
55,1021,"['No', 'No', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
56,1024,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
57,1026,"['Ambiguous', 'Ambiguous', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
58,1030,"['No', 'No', 'Do not sell or share']","['2023-02-07', '2023-02-10', '2023-02-20']"
59,1054,"['Do not sell or share', 'Do not sell or share', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
60,1064,"['Ambiguous', 'No', 'No']","['2023-02-07', '2023-02-10', '2023-02-20']"
61,1089,"['No', 'No', 'Do not sell']","['2023-02-07', '2023-02-10', '2023-02-20']"
