,Index,Text,Dates
0,1,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
1,5,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
2,7,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
3,8,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
4,9,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
5,10,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
6,12,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
7,13,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
8,15,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
9,17,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
10,18,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
11,19,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
12,20,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
13,21,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
14,22,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
15,23,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
16,24,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
17,25,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
18,26,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
19,27,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
20,28,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
21,29,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
22,30,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
23,31,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
24,33,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
25,34,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
26,36,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
27,37,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
28,38,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
29,39,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
30,40,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
31,41,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
32,42,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
33,43,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
34,44,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
35,45,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
36,47,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
37,48,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
38,49,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
39,52,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
40,53,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
41,54,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
42,55,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
43,57,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
44,58,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
45,59,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
46,60,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
47,61,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
48,62,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
49,63,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
50,64,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
51,65,No,['2023-01-30']
52,67,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
53,68,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
54,69,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
55,70,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
56,72,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
57,74,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
58,78,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
59,79,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
60,80,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
61,81,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
62,82,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
63,83,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
64,84,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
65,85,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
66,87,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
67,88,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
68,89,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
69,90,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
70,91,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
71,92,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
72,94,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
73,97,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
74,98,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
75,100,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
76,101,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
77,102,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
78,103,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
79,104,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
80,105,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
81,106,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
82,108,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
83,109,No,"['2023-01-05', '2023-01-13', '2023-01-30']"
84,110,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
85,111,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
86,116,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
87,118,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
88,121,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
89,123,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
90,124,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
91,125,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
92,126,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
93,127,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
94,129,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
95,130,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
96,131,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
97,132,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
98,133,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
99,135,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
100,136,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
101,137,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
102,138,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
103,139,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
104,140,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
105,142,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
106,143,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
107,144,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
108,147,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
109,148,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
110,150,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
111,151,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
112,153,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
113,154,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
114,155,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
115,158,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
