,Index,Text,Dates
0,0,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
1,2,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
2,3,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
3,4,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
4,6,"['Do not sell', 'Do not sell', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
5,11,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
6,14,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
7,16,"['Do not sell', 'Do not sell', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
8,32,"['Do not sell or share', 'Do not sell or share', 'Do not sell or share', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
9,35,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
10,46,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
11,50,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
12,51,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
13,56,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
14,66,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
15,71,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
16,73,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
17,75,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
18,76,"['No', 'No', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
19,77,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
20,86,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
21,93,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
22,95,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
23,96,"['Do not sell', 'Ambiguous', 'Ambiguous', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
24,99,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
25,107,"['Do not sell or share', 'Do not sell or share', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
26,112,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
27,113,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
28,114,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
29,115,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
30,117,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
31,119,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
32,120,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
33,122,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
34,128,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
35,134,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
36,141,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
37,145,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
38,146,"['Do not sell or share', 'Do not sell or share', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
39,149,"['Do not sell or share', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
40,152,"['Do not sell', 'No', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
41,156,"['Do not sell', 'No', 'Ambiguous', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
