,Index,Text,Dates
0,0,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
1,2,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
2,3,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
3,5,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
4,7,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
5,8,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
6,9,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
7,10,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
8,11,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
9,17,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
10,18,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
11,19,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
12,20,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
13,21,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
14,22,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
15,23,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
16,24,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
17,25,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
18,27,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
19,28,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
20,29,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
21,30,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
22,33,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
23,35,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
24,36,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
25,37,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
26,38,Ambiguous,['2023-03-17']
27,39,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
28,40,Do not sell or share,['2023-03-17']
29,43,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
30,44,Ambiguous,['2023-03-17']
31,45,No,['2023-03-17']
32,46,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
33,47,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
34,48,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
35,49,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
36,52,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
