,Index,Text,Dates
0,1,"['No', 'Do not sell', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
1,4,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
2,6,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
3,12,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
4,13,"['Ambiguous', 'Do not sell', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
5,14,"['Do not sell', 'No', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
6,15,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
7,16,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
8,26,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
9,31,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
10,32,"['Do not sell or share', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
11,34,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
12,41,"['Do not sell or share', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
13,42,"['No', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
14,50,"['No', 'Do not sell', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
15,51,"['No', 'No', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
16,53,"['No', 'Ambiguous', 'No']","['2023-03-05', '2023-03-17', '2023-03-30']"
17,56,"['No', 'Do not sell', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
18,62,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
19,64,"['No', 'Ambiguous', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
20,66,"['No', 'Ambiguous', 'Opt out']","['2023-03-05', '2023-03-17', '2023-03-30']"
21,69,"['Do not sell', 'Do not sell', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
22,71,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
23,73,"['No', 'No', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
24,76,"['No', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
25,78,"['Do not sell', 'Ambiguous', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
26,79,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
27,85,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
28,86,"['Do not sell', 'No', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
29,90,"['No', 'Opt out', 'No']","['2023-03-05', '2023-03-17', '2023-03-30']"
30,96,"['No', 'Do not sell', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
31,99,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
32,100,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
33,103,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
34,107,"['Do not sell or share', 'No', 'No']","['2023-03-05', '2023-03-17', '2023-03-30']"
35,109,"['No', 'No', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
