,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present, Presence confirm, Text,Index
0,761,1800petmeds_197,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,197
1,974,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
2,45,90min_501,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell my personal information,501
3,788,abcya_470,2-Apr,Check,"do not sell

1/2",No,No,,470
4,200,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
5,855,allure_874,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,874
6,651,alternet_173,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,173
7,758,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
8,294,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
9,245,asknumbers_463,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,463
10,86,asos_685,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,685
11,95,bizjournals_1025,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1025
12,222,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
13,963,boldsky_867,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,867
14,1043,bonappetit_16,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,16
15,609,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell my personal information,949
16,3,breitbart_145,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,145
17,614,broadcom_637,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,637
18,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
19,957,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,999
20,753,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
21,422,cntraveler_586,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,586
22,330,co_849,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,849
23,529,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,717
24,675,com_1006,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1006
25,1069,com_149,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,149
26,380,com_161,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,161
27,856,com_271,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,271
28,79,com_391,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,391
29,243,com_483,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,483
30,990,com_587,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,587
31,1047,com_73,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,73
32,983,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
33,1,com_981,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,981
34,684,convertunits_467,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,467
35,853,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
36,465,dailymotion_970,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,970
37,89,discogs_979,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell or share my personal information,979
38,871,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
39,128,dsw_759,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,759
40,575,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742
41,409,economist_1029,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1029
42,890,entrepreneur_1023,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1023
43,942,epicurious_6,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,6
44,997,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772
45,185,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774
46,436,fandango_986,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,986
47,641,flashscore_46,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,46
48,637,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
49,629,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0
50,634,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971
51,952,forever21_690,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,690
52,506,freejobalert_923,1,Yes,"do not sell

""1",No,No,,923
53,483,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691
54,1012,glamour_868,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,868
55,962,gq_861,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,861
56,980,gsmarena_667,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,667
57,600,guru_907,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,907
58,123,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32
59,846,hemmings_807,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,807
60,912,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120
61,1075,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444
62,704,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940
63,196,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
64,1074,josbank_738,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,738
65,546,katespade_715,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,715
66,327,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,708
67,851,livinglocurto_134,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,134
68,599,llbean_370,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,370
69,220,llbean_699,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,699
70,100,lumen_510,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,510
71,676,makeupalley_856,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,856
72,1015,malwarebytes_639,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,639
73,130,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739
74,116,metric-conversions_472,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,472
75,1034,mindbodygreen_14,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,14
76,794,mindbodygreen_86,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,86
77,485,monster_921,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,921
78,61,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400
79,231,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426
80,492,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478
81,343,net_657,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,657
82,42,newyorker_171,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,171
83,374,nutrisystem_56,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,56
84,1030,payscale_927,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,927
85,1066,pcworld_674,13,Yes,"do not sell

13",No,Yes,California residents: do not sell my info,674
86,336,petco_206,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,206
87,656,rapidtables_461,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,461
88,205,rawstory_168,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,168
89,850,rsc_419,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,419
90,574,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26
91,461,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4
92,271,saksfifthavenue_376,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,376
93,898,salon_170,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,170
94,1011,saveur_585,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,585
95,774,schwab_1049,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1049
96,647,self_842,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,842
97,1013,shutterstock_1005,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1005
98,58,si_502,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,502
99,305,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113
100,274,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230
101,984,swarovski_713,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,713
102,847,techadvisor_676,2-Apr,Check,"do not sell

1/2",No,Yes,California residents: do not sell my info,676
103,885,teenvogue_870,13,Yes,"do not sell

13",No,Yes,Do not sell my personal information,870
104,573,thedailybeast_172,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,172
105,417,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277
106,754,toryburch_710,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,710
107,445,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848
108,153,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583
