,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,sparknotes_888,o/o,No,Do Not Sell My Personal Information| 0/0,Yes,Yes,Do not sell my personal information,888
1,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,50
2,drugs_75,o/o,No,3Do not sell my personal information| 0/0,Yes,Yes,Do not sell my personal information,75
3,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,899
4,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,898
5,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,Do not sell or share my personal information,1074
6,politico_160,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,160
7,tasteofhome_11,o/o,No,7Personal information CAResidents| 0/0,Yes,Yes,California residents: do not sell my info,11
8,tomsguide_673,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,673
9,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,920
10,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,668
11,com_152,o/o,No,Do Not Sell My information| 0/0,Yes,Yes,Do not sell my personal information,152
