,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,breitbart_145,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,145
1,90min_501,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell my personal information,501
2,si_502,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,502
3,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400
4,usatoday_182,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,182
5,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
6,asos_685,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,685
7,discogs_979,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell or share my personal information,979
8,bizjournals_1025,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1025
9,lumen_510,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,510
10,metric-conversions_472,1,Yes,"do not sell

""1",No,No,,472
11,mlb_503,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell my personal information,503
12,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739
13,sears_366,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,366
14,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583
15,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
16,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
17,rawstory_168,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,168
18,llbean_699,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,699
19,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
20,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426
21,com_483,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,483
22,asknumbers_463,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,463
23,saksfifthavenue_376,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,376
24,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230
25,prada_773,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,773
26,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
27,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679
28,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578
29,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113
30,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,708
31,co_849,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,849
32,zara_692,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,692
33,net_657,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,657
34,nutrisystem_56,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,56
35,com_161,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,161
36,0calc_469,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,469
37,economist_1029,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1029
38,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277
39,fandango_986,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,986
40,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848
41,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4
