,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm, Text,Index
0,980,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
1,201,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
2,763,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
3,295,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
4,223,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
5,611,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949
6,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
7,963,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,999
8,758,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
9,531,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717
10,989,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
11,858,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
12,876,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
13,577,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742
14,411,economist_1029,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1029
15,1003,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772
16,186,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774
17,592,finishline_761,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,761
18,639,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
19,631,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0
20,636,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971
21,485,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691
22,735,gilt_847,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,847
23,123,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32
24,918,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120
25,1081,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444
26,708,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940
27,44,jared_718,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,718
28,197,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
29,548,katespade_715,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,715
30,329,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,708
31,479,libertymutual_1059,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1059
32,497,libertymutual_1061,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1061
33,130,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739
34,129,mlb_503,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,503
35,487,monster_921,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,921
36,61,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400
37,232,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426
38,494,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478
39,1072,pcworld_674,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,674
40,940,petco_195,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,195
41,338,petco_206,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,206
42,280,prada_773,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,773
43,576,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26
44,463,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4
45,1017,saveur_585,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,585
46,144,sears_366,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,366
47,306,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113
48,275,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230
49,852,techadvisor_676,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,676
50,419,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277
51,759,toryburch_710,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,710
52,447,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848
53,153,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583
54,304,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578
55,652,udemy_885,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,885
56,504,udemy_939,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,939
57,911,westmarine_837,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,837
58,562,wonderhowto_947,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,947
59,678,zales_706,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,706
60,343,zara_692,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,692
61,301,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679
