,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,396,0calc_469,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,469
1,762,1800petmeds_197,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,197
2,976,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
3,45,90min_501,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell my personal information,501
4,336,airforce_786,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,786
5,201,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
6,652,alternet_173,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,173
7,759,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
8,295,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
9,246,asknumbers_463,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,463
10,86,asos_685,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,685
11,223,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
12,965,boldsky_867,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,867
13,609,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949
14,3,breitbart_145,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,145
15,614,broadcom_637,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,637
16,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
17,959,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,999
18,754,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
19,332,co_849,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,849
20,529,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717
21,676,com_1006,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1006
22,561,com_1011,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1011
23,1071,com_149,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,149
24,382,com_161,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,161
25,857,com_271,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,271
26,992,com_587,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,587
27,985,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
28,530,com_997,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,997
29,147,competitor_496,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,496
30,685,convertunits_467,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,467
31,854,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
32,467,dailymotion_970,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,970
33,998,deviantart_96,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,96
34,359,deviantart_968,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,968
