,filename,Index,Check,Text, Presence confirm
0,,0,True,,
1,,1,True,,
2,,2,True,,
3,com_3,3,True,Do not sell or share my personal information,Yes
4,,4,True,,
5,seriouseats_5,5,True,Do not sell my personal information,Yes
6,,6,True,,
7,eater_7,7,True,Do not sell or share my personal information,Yes
8,thrillist_8,8,True,Do not sell or share my personal information,Yes
9,myrecipes_9,9,True,California residents: do not sell my info,Yes
10,,10,True,,
11,,11,True,,
12,,12,True,,
13,marthastewart_13,13,True,California residents: do not sell my info,Yes
14,,14,True,,
15,,15,True,,
16,,16,True,,
17,grubhub_17,17,True,Do not sell my personal information,Yes
18,grubhub_18,18,True,Do not sell my personal information,Yes
19,seamless_19,19,True,Do not sell my personal information,Yes
20,,20,True,,
21,com_21,21,True,Do not sell or share my personal information,Yes
22,doordash_22,22,True,Do not sell or share my personal information,Yes
23,,23,True,,
24,trycaviar_24,24,True,Do not sell or share my personal information,Yes
25,,25,True,,
26,,26,True,,
27,,27,True,,
28,,28,True,,
29,,29,True,,
30,,30,True,,
31,berries_31,31,True,Do not sell my personal information,Yes
32,,32,True,,
33,,33,True,,
34,,34,True,,
35,,35,True,,
36,,36,True,,
37,,37,True,,
38,,38,True,,
39,mcdonalds_39,39,True,Do not sell or share my personal information,Yes
40,,40,True,,
41,,41,True,,
42,,42,True,,
43,jimmyjohns_43,43,True,Do not sell my personal information,Yes
44,,44,True,,
45,,45,True,,
46,,46,True,,
47,,47,True,,
48,,48,True,,
49,,49,True,,
50,,50,True,,
51,,51,True,,
52,myfitnesspal_52,52,True,Do not sell my personal information,Yes
53,healthline_53,53,True,Do not sell my personal information,Yes
54,weightwatchers_54,54,True,Do not sell my personal information,Yes
55,,55,True,,
56,,56,True,,
57,,57,True,,
58,,58,True,,
59,,59,True,,
60,,60,True,,
61,,61,True,,
62,healthgrades_62,62,True,Do not sell my personal information,Yes
63,,63,True,,
64,,64,True,,
65,,65,True,,
66,webmd_66,66,True,Do not sell my personal information,Yes
67,,67,True,,
68,,68,True,,
69,medicinenet_69,69,True,Do not sell my personal information,Yes
70,,70,True,,
71,medscape_71,71,True,Do not sell my personal information,Yes
72,,72,True,,
73,,73,True,,
74,everydayhealth_74,74,True,Do not sell my personal information,Yes
75,,75,True,,
76,walgreens_76,76,True,Do not sell or share my personal information,Yes
77,,77,True,,
78,rxlist_78,78,True,Do not sell my personal information,Yes
79,,79,True,,
80,riteaid_80,80,True,Do not sell or share my personal information,Yes
81,,81,True,,
82,,82,True,,
83,,83,True,,
84,,84,True,,
85,,85,True,,
86,,86,True,,
87,everydayhealth_87,87,True,Do not sell my personal information,Yes
88,,88,True,,
89,,89,True,,
90,,90,True,,
91,,91,True,,
92,,92,True,,
93,com_93,93,True,Do not sell or share my personal information,Yes
94,,94,True,,
95,etsy_95,95,True,Do not sell my personal information,Yes
96,,96,True,,
97,redbubble_97,97,True,Do not sell my personal information,Yes
98,1stdibs_98,98,True,Do not sell my personal information,Yes
99,com_99,99,True,Do not sell my personal information,Yes
100,,100,True,,
101,,101,True,,
102,,102,True,,
103,,103,True,,
104,saatchiart_104,104,True,Do not sell my personal information,Yes
105,,105,True,,
106,,106,True,,
107,potterybarn_107,107,True,Do not sell or share my personal information,Yes
108,,108,True,,
109,,109,True,,
110,biglots_110,110,True,Do not sell my personal information,Yes
111,worldmarket_111,111,True,Do not sell or share my personal information,Yes
112,,112,True,,
113,,113,True,,
114,anthropologie_114,114,True,Do not sell my personal information,Yes
115,gardeningknowhow_115,115,True,Do not sell or share my personal information,Yes
116,,116,True,,
117,gardenweb_117,117,True,Do not sell or share my personal information,Yes
118,,118,True,,
119,houzz_119,119,True,Do not sell or share my personal information,Yes
120,,120,True,,
121,apartmenttherapy_121,121,True,Do not sell my personal information,Yes
122,urbanoutfitters_122,122,True,Do not sell my personal information,Yes
123,marthastewart_123,123,True,California residents: do not sell my info,Yes
124,,124,True,,
125,,125,True,,
126,curbed_126,126,True,Do not sell or share my personal information,Yes
127,,127,True,,
128,etsy_128,128,True,Do not sell my personal information,Yes
129,,129,True,,
130,hobbylobby_130,130,True,Do not sell or share my personal information,Yes
131,joann_131,131,True,Do not sell my personal information,Yes
132,craftsy_132,132,True,Do not sell my personal information,Yes
133,,133,True,,
134,,134,True,,
135,officedepot_135,135,True,Do not sell my personal information,Yes
136,staples_136,136,True,Do not sell or share my personal information,Yes
137,vistaprint_137,137,True,Do not sell my personal information,Yes
138,,138,True,,
139,,139,True,,
140,,140,True,,
141,com_141,141,True,Do not sell or share my personal information,Yes
142,dailywire_142,142,True,Do not sell or share my personal information,Yes
143,,143,True,,
144,,144,True,,
145,,145,True,,
146,wsj_146,146,True,Do not sell or share my personal information,Yes
147,,147,True,,
148,com_148,148,True,California residents: do not sell my info,Yes
149,,149,True,,
150,theblaze_150,150,True,Do not sell or share my personal information,Yes
151,,151,True,,
152,com_152,152,True,Do not sell my personal information,Yes
153,,153,True,,
154,,154,True,,
155,,155,True,,
156,,156,True,,
157,,157,True,,
158,huffpost_158,158,True,Do not sell or share my personal information,Yes
159,,159,True,,
160,politico_160,160,True,Do not sell my personal information,Yes
161,,161,True,,
162,,162,True,,
163,go_163,163,True,Do not sell or share my personal information,Yes
164,dailykos_164,164,True,Do not sell my personal information,Yes
165,,165,True,,
166,com_166,166,True,Do not sell my personal information,Yes
167,theatlantic_167,167,True,Do not sell my personal information,Yes
168,,168,True,,
169,nbcnews_169,169,True,Do not sell my personal information,Yes
170,,170,True,,
171,,171,True,,
172,,172,True,,
173,,173,True,,
174,,174,True,,
175,,175,True,,
176,org_176,176,True,Do not sell or share my personal information,Yes
177,,177,True,,
178,dailymail_178,178,True,Do not sell or share my personal information,Yes
179,com_179,179,True,Do not sell or share my personal information,Yes
180,nydailynews_180,180,True,Do not sell or share my personal information,Yes
181,,181,True,,
182,,182,True,,
183,,183,True,,
184,latimes_184,184,True,Do not sell or share my personal information,Yes
185,,185,True,,
186,kickstarter_186,186,True,Do not sell my personal information,Yes
187,,187,True,,
188,,188,True,,
189,,189,True,,
190,,190,True,,
191,,191,True,,
192,,192,True,,
193,,193,True,,
194,,194,True,,
195,,195,True,,
196,,196,True,,
197,,197,True,,
198,hillspet_198,198,True,Do not sell my personal information,Yes
199,,199,True,,
200,,200,True,,
201,,201,True,,
202,,202,True,,
203,,203,True,,
204,,204,True,,
205,petfinder_205,205,True,Do not sell or share my personal information,Yes
206,,206,True,,
207,,207,True,,
208,,208,True,,
209,,209,True,,
210,,210,True,,
211,,211,True,,
212,,212,True,,
213,,213,True,,
214,backyardchickens_214,214,True,Do not sell or share my personal information,Yes
215,dogster_215,215,True,Do not sell my personal information,Yes
216,,216,True,,
217,com_217,217,True,Do not sell or share my personal information,Yes
218,thedodo_218,218,True,Do not sell or share my personal information,Yes
219,,219,True,,
220,,220,True,,
221,,221,True,,
222,,222,True,,
223,,223,True,,
224,,224,False,,
225,,225,False,,
226,,226,True,,
227,,227,True,,
228,,228,False,,
229,,229,True,,
230,,230,True,,
231,com_231,231,True,Do not sell my personal information,Yes
232,,232,True,,
233,chegg_233,233,True,Do not sell my personal information,Yes
234,,234,True,,
235,scholastic_235,235,True,Do not sell my personal information,Yes
236,,236,True,,
237,,237,True,,
238,publishersweekly_238,238,True,Do not sell my personal information,Yes
239,,239,True,,
240,,240,True,,
241,,241,True,,
242,,242,True,,
243,,243,True,,
244,,244,True,,
245,,245,False,,
246,,246,True,,
247,,247,True,,
248,,248,True,,
249,,249,True,,
250,,250,True,,
251,,251,True,,
252,kobo_252,252,True,Do not sell or share my personal information,Yes
253,com_253,253,True,
254,,254,True,,
255,com_255,255,True,Do not sell my personal information,Yes
256,,256,True,,
257,,257,True,,
258,oreilly_258,258,True,Do not sell my personal information,Yes
259,,259,False,,
260,,260,False,,
261,cengage_261,261,True,Do not sell my personal information,Yes
262,,262,True,,
263,,263,True,,
264,,264,True,,
265,,265,True,,
266,,266,True,,
267,,267,True,,
268,,268,True,,
269,yellowpages_269,269,True,Do not sell my personal information,Yes
270,,270,True,,
271,,271,True,,
272,,272,True,,
273,manta_273,273,True,Do not sell my personal information,Yes
274,angi_274,274,True,Do not sell my personal information,Yes
275,homeadvisor_275,275,True,Do not sell my personal information,Yes
276,superpages_276,276,True,Do not sell my personal information,Yes
277,,277,True,,
278,,278,True,,
279,,279,True,,
280,addresses_280,280,True,Do not sell my personal information,Yes
281,,281,True,,
282,,282,True,,
283,manta_283,283,True,Do not sell my personal information,Yes
284,,284,True,,
285,,285,True,,
286,,286,True,,
287,,287,True,,
288,,288,True,,
289,boattrader_289,289,True,Do not sell my personal information,Yes
290,,290,True,,
291,,291,True,,
292,,292,True,,
293,com_293,293,True,Do not sell my personal information,Yes
294,groupon_294,294,True,Do not sell or share my personal information,Yes
295,net_295,295,True,Do not sell my personal information,Yes
296,retailmenot_296,296,True,Do not sell my personal information,Yes
297,,297,True,,
298,,298,True,,
299,rakuten_299,299,True,Do not sell or share my personal information,Yes
300,zulily_300,300,True,Do not sell or share my personal information,Yes
301,com_301,301,True,Do not sell my personal information,Yes
302,us_302,302,True,Do not sell or share my personal information,Yes
303,offers_303,303,True,Do not sell my personal information,Yes
304,,304,True,,
305,,305,True,,
306,,306,True,,
307,,307,True,,
308,,308,True,,
309,,309,True,,
310,livingsocial_310,310,True,Do not sell or share my personal information,Yes
311,net_311,311,True,Do not sell my personal information,Yes
312,bizrate_312,312,True,Do not sell my personal information,Yes
313,,313,True,,
314,,314,True,,
315,,315,True,,
316,rakuten_316,316,True,Do not sell or share my personal information,Yes
317,,317,True,,
318,,318,True,,
319,mysimon_319,319,True,Do not sell my personal information,Yes
320,,320,True,,
321,shop_321,321,True,Do not sell my personal information,Yes
322,,322,True,,
323,,323,True,,
324,,324,True,,
325,com_325,325,True,Do not sell my personal information,Yes
326,,326,True,,
327,,327,True,,
328,,328,True,,
329,,329,True,,
330,,330,True,,
331,,331,True,,
332,,332,True,,
333,,333,True,,
334,dollardays_334,334,True,Do not sell my personal information,Yes
335,,335,True,,
336,,336,True,,
337,,337,True,,
338,,338,True,,
339,,339,True,,
340,,340,True,,
341,,341,True,,
342,,342,True,,
343,,343,True,,
344,,344,True,,
345,,345,True,,
346,,346,True,,
347,netflix_347,347,True,Do not sell or share my personal information,Yes
348,,348,True,,
349,,349,True,,
350,,350,True,,
351,bestbuy_351,351,True,Do not sell or share my personal information,Yes
352,,352,True,,
353,homedepot_353,353,True,Do not sell or share my personal information,Yes
354,etsy_354,354,True,Do not sell my personal information,Yes
355,,355,True,,
356,groupon_356,356,True,Do not sell or share my personal information,Yes
357,macys_357,357,True,Do not sell or share my personal information,Yes
358,net_358,358,True,Do not sell my personal information,Yes
359,lowes_359,359,True,Do not sell or share my personal information,Yes
360,,360,True,,
361,,361,True,,
362,,362,True,,
363,,363,True,,
364,kohls_364,364,True,Do not sell or share my personal information,Yes
365,jcpenney_365,365,True,Do not sell my personal information,Yes
366,,366,True,,
367,,367,True,,
368,cabelas_368,368,True,Do not sell or share my personal information,Yes
369,,369,True,,
370,,370,True,,
371,,371,True,,
372,bloomingdales_372,372,True,Do not sell or share my personal information,Yes
373,,373,True,,
374,,374,True,,
375,biglots_375,375,True,Do not sell my personal information,Yes
376,,376,True,,
377,,377,True,,
378,burlington_378,378,True,Do not sell or share my personal information,Yes
379,,379,True,,
380,horoscope_380,380,True,Do not sell my personal information,Yes
381,space_381,381,True,Do not sell my personal information,Yes
382,astrology_382,382,True,Do not sell my personal information,Yes
383,,383,True,,
384,,384,True,,
385,,385,True,,
386,,386,True,,
387,tarot_387,387,True,Do not sell my personal information,Yes
388,,388,True,,
389,,389,True,,
390,,390,True,,
391,,391,True,,
392,,392,True,,
393,,393,True,,
394,,394,True,,
395,sunsigns_395,395,True,Do not sell my personal information,Yes
396,org_396,396,True,Do not sell or share my personal information,Yes
397,,397,True,,
398,,398,True,,
399,,399,True,,
400,,400,True,,
401,,401,True,,
402,biomedcentral_402,402,True,Do not sell my personal information,Yes
403,innerbody_403,403,True,Do not sell my personal information,Yes
404,,404,True,,
405,,405,True,,
406,,406,True,,
407,,407,True,,
408,,408,True,,
409,,409,True,,
410,,410,True,,
411,,411,True,,
412,,412,True,,
413,,413,True,,
414,,414,True,,
415,,415,True,,
416,,416,True,,
417,,417,True,,
418,,418,True,,
419,,419,True,,
420,webqc_420,420,True,Do not sell my personal information,Yes
421,webqc_421,421,True,Do not sell my personal information,Yes
422,,422,True,,
423,,423,True,,
424,,424,True,,
425,livescience_425,425,True,Do not sell my personal information,Yes
426,,426,True,,
427,,427,True,,
428,,428,True,,
429,,429,True,,
430,,430,True,,
431,,431,True,,
432,,432,True,,
433,,433,True,,
434,,434,True,,
435,,435,True,,
436,,436,True,,
437,,437,True,,
438,,438,True,,
439,,439,True,,
440,,440,True,,
441,,441,True,,
442,,442,True,,
443,,443,True,,
444,,444,True,,
445,autodesk_445,445,True,Do not sell or share my personal information,Yes
446,space_446,446,True,Do not sell my personal information,Yes
447,,447,True,,
448,,448,True,,
449,,449,True,,
450,,450,True,,
451,,451,True,,
452,,452,True,,
453,,453,True,,
454,d2l_454,454,True,Do not sell my personal information,Yes
455,,455,True,,
456,,456,True,,
457,,457,True,,
458,,458,True,,
459,,459,True,,
460,,460,True,,
461,,461,True,,
462,,462,True,,
463,,463,True,
464,,464,True,,
465,,465,True,,
466,,466,True,,
467,,467,True,,
468,,468,True,,
469,,469,True,,
470,,470,True,,
471,,471,True,,
472,,472,True,,
473,,473,True,,
474,,474,True,,
475,,475,True,,
476,,476,True,,
477,,477,True,,
478,,478,True,,
479,,479,True,,
480,,480,True,,
481,com_481,481,True,Do not sell or share my personal information,Yes
482,com_482,482,True,Do not sell or share my personal information,Yes
483,,483,True,,
484,,484,True,,
485,,485,True,,
486,,486,True,,
487,nbcsports_487,487,True,Do not sell my personal information,Yes
488,,488,True,,
489,,489,True,,
490,nflshop_490,490,True,Do not sell or share my personal information,Yes
491,,491,True,,
492,,492,True,,
493,active_493,493,True,Do not sell my personal information,Yes
494,,494,True,,
495,,495,True,,
496,,496,True,,
497,,497,True,,
498,mapmyrun_498,498,True,Do not sell my personal information,Yes
499,espn_499,499,True,Do not sell or share my personal information,Yes
500,,500,True,,
501,,501,True,,
502,,502,True,,
503,,503,True,,
504,,504,True,,
505,cbssports_505,505,True,Do not sell my personal information,Yes
506,,506,True,,
507,sbnation_507,507,True,Do not sell or share my personal information,Yes
508,,508,True,,
509,,509,True,,
510,,510,True,,
511,,511,True,,
512,,512,True,,
513,,513,True,,
514,,514,True,,
515,,515,True,,
