,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Unnamed: 8,Unnamed: 9,Unnamed: 10,Index
0,113,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,,,,50
1,183,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,899
2,202,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,Do not sell my personal information,898
3,210,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,Do not sell or share my personal information,,,Do not sell or share my personal information,1074
4,322,livecareer_934,o/o,No,Do Not Sell or Share My Info| 0/0,Yes,Yes,Do not sell or share my personal information,,,California residents: do not sell my info,934
5,323,dealnews_304,o/o,No,Do not sell my data| 0/0,Yes,Yes,Do not sell my personal information,,,Do not sell or share my personal information(CA residents only),304
6,412,tomshardware_610,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,,,,610
7,686,tomshardware_665,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,,,,665
8,786,fodors_581,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,581
9,877,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,920
10,897,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,,,,668
11,926,scarymommy_90,o/o,No,"not sell

o/o",Yes,No,,,,,90
12,1053,lonelyplanet_554,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,554
