,Unnamed: 0,Index,2023-02-20_Check,2023-02-20_filename,2023-02-20_Text,2023-02-20_Presence confirm,2023-01-30_Check,2023-01-30_filename,2023-01-30_Text,2023-01-30_Presence confirm,2023-01-05_Check,2023-01-05_filename,2023-01-05_Text,2023-01-05_Presence confirm,2023-01-17_Check,2023-01-17_filename,2023-01-17_Text,2023-01-17_Presence confirm,2023-02-10_Check,2023-02-10_filename,2023-02-10_Text,2023-02-10_Presence confirm,2023-02-07_Check,2023-02-07_filename,2023-02-07_Text,2023-02-07_Presence confirm,2023-01-13_Check,2023-01-13_filename,2023-01-13_Text,2023-01-13_Presence confirm
3,3,3,True,com_3,Do not sell or share my personal information,Yes,True,com_3,Do not sell or share my personal information,Yes,True,,,,True,com_3,Do not sell or share my personal information,Yes,True,com_3,Do not sell or share my personal information,Yes,True,com_3,Do not sell or share my personal information,Yes,True,com_3,Do not sell or share my personal information,Yes
4,4,4,True,safeway_4,Do not sell or share my personal information,Yes,True,safeway_4,Do not sell or share my personal information,Yes,True,safeway_4,Do not sell or share my personal information,Yes,True,safeway_4,Do not sell or share my personal information,Yes,True,,,,True,safeway_4,Do not sell or share my personal information,Yes,True,safeway_4,Do not sell or share my personal information,Yes
5,5,5,True,seriouseats_5,Do not sell my personal information,Yes,True,seriouseats_5,Do not sell my personal information,Yes,True,seriouseats_5,Do not sell my personal information,Yes,True,seriouseats_5,Do not sell my personal information,Yes,True,seriouseats_5,Do not sell my personal information,Yes,True,,,,True,seriouseats_5,Do not sell my personal information,Yes
6,6,6,True,,,,True,,,,True,epicurious_6,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,epicurious_6,Do not sell my personal information,Yes
14,14,14,True,mindbodygreen_14,Do not sell my personal information,Yes,True,,,,True,mindbodygreen_14,Do not sell my personal information,Yes,True,mindbodygreen_14,Do not sell my personal information,Yes,True,mindbodygreen_14,Do not sell or share my personal information,Yes,True,mindbodygreen_14,Do not sell my personal information,Yes,True,mindbodygreen_14,Do not sell my personal information,Yes
16,16,16,True,,,,True,,,,True,bonappetit_16,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,bonappetit_16,Do not sell my personal information,Yes
26,26,26,True,safeway_26,Do not sell or share my personal information,Yes,True,safeway_26,Do not sell or share my personal information,Yes,True,safeway_26,Do not sell or share my personal information,Yes,True,safeway_26,Do not sell or share my personal information,Yes,True,,,,True,safeway_26,Do not sell or share my personal information,Yes,True,safeway_26,Do not sell or share my personal information,Yes
31,31,31,True,berries_31,Do not sell my personal information,Yes,True,berries_31,Do not sell my personal information,Yes,True,berries_31,Do not sell my personal information,Yes,True,berries_31,Do not sell my personal information,Yes,True,berries_31,Do not sell my personal information,Yes,True,,,,True,berries_31,Do not sell my personal information,Yes
32,32,32,True,harryanddavid_32,Do not sell or share my personal information,Yes,True,harryanddavid_32,Do not sell or share my personal information,Yes,True,harryanddavid_32,Do not sell or share my personal information,Yes,True,harryanddavid_32,Do not sell or share my personal information,Yes,True,harryanddavid_32,Do not sell or share my personal information,Yes,True,,,,True,harryanddavid_32,Do not sell or share my personal information,Yes
34,34,34,True,albertsons_34,Do not sell or share my personal information,Yes,True,albertsons_34,Do not sell or share my personal information,Yes,True,albertsons_34,Do not sell or share my personal information,Yes,True,albertsons_34,Do not sell or share my personal information,Yes,True,,,,True,albertsons_34,Do not sell or share my personal information,Yes,True,albertsons_34,Do not sell my personal information,Yes
40,40,40,True,subway_40,Do not sell my personal information,Yes,True,subway_40,Do not sell my personal information,Yes,True,subway_40,Do not sell my personal information,Yes,True,subway_40,Do not sell my personal information,Yes,True,,,,True,subway_40,Do not sell my personal information,Yes,True,subway_40,Do not sell my personal information,Yes
