,Unnamed: 0,Index,2023-02-20_Check,2023-02-20_filename,2023-02-20_Text,2023-02-20_Presence confirm,2023-01-30_Check,2023-01-30_filename,2023-01-30_Text,2023-01-30_Presence confirm,2023-01-05_Check,2023-01-05_filename,2023-01-05_Text,2023-01-05_Presence confirm,2023-01-17_Check,2023-01-17_filename,2023-01-17_Text,2023-01-17_Presence confirm,2023-02-10_Check,2023-02-10_filename,2023-02-10_Text,2023-02-10_Presence confirm,2023-02-07_Check,2023-02-07_filename,2023-02-07_Text,2023-02-07_Presence confirm,2023-01-13_Check,2023-01-13_filename,2023-01-13_Text,2023-01-13_Presence confirm
11,11,11,True,tasteofhome_11,Do not sell or share my personal information,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes,True,tasteofhome_11,Do not sell or share my personal information,Yes,True,tasteofhome_11,Do not sell or share my personal information,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes
102,102,102,True,artsy_102,Do not sell my personal information,Yes,True,artsy_102,Do not sell my personal information,Yes,True,artsy_102,Do not sell my personal information,Yes,True,artsy_102,Do not sell or share my personal information,Yes,True,artsy_102,Do not sell my personal information,Yes,True,artsy_102,Do not sell my personal information,Yes,True,artsy_102,Do not sell my personal information,Yes
107,107,107,True,potterybarn_107,Do not sell or share my personal information,Yes,True,potterybarn_107,Do not sell my personal information,Yes,True,potterybarn_107,Do not sell or share my personal information,Yes,True,potterybarn_107,Do not sell or share my personal information,Yes,True,potterybarn_107,Do not sell or share my personal information,Yes,True,potterybarn_107,Do not sell my personal information,Yes,True,potterybarn_107,Do not sell or share my personal information,Yes
117,117,117,True,gardenweb_117,Do not sell or share my personal information,Yes,True,gardenweb_117,Do not sell my personal information,Yes,True,gardenweb_117,Do not sell my personal information,Yes,True,gardenweb_117,Do not sell or share my personal information,Yes,True,gardenweb_117,Do not sell or share my personal information,Yes,True,gardenweb_117,Do not sell or share my personal information,Yes,True,gardenweb_117,Do not sell or share my personal information,Yes
119,119,119,True,houzz_119,Do not sell or share my personal information,Yes,True,houzz_119,Do not sell my personal information,Yes,True,houzz_119,Do not sell my personal information,Yes,True,houzz_119,Do not sell or share my personal information,Yes,True,houzz_119,Do not sell or share my personal information,Yes,True,houzz_119,Do not sell or share my personal information,Yes,True,houzz_119,Do not sell or share my personal information,Yes
130,130,130,True,hobbylobby_130,Do not sell or share my personal information,Yes,True,hobbylobby_130,Do not sell or share my personal information,Yes,True,hobbylobby_130,Do not sell my personal information,Yes,True,hobbylobby_130,Do not sell or share my personal information,Yes,True,hobbylobby_130,Do not sell or share my personal information,Yes,True,hobbylobby_130,Do not sell or share my personal information,Yes,True,hobbylobby_130,Do not sell or share my personal information,Yes
141,141,141,True,com_141,Do not sell or share my personal information,Yes,True,com_141,Do not sell or share my personal information,Yes,True,com_141,Do not sell my personal information,Yes,True,com_141,Do not sell or share my personal information,Yes,True,com_141,Do not sell or share my personal information,Yes,True,com_141,Do not sell my personal information,Yes,True,com_141,Do not sell or share my personal information,Yes
163,163,163,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes
167,167,167,True,theatlantic_167,Do not sell or share my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes
179,179,179,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes
