,Unnamed: 0,Index,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text
0,0,825,mazdausa_825,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
1,2,373,neimanmarcus_373,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
2,8,310,livingsocial_310,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
3,9,347,netflix_347,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
4,13,757,sorel_757,1,Yes,fornia Residents: Do Not Sell My Info| 1/1,Yes,Yes,California residents: do not sell my info
5,14,276,superpages_276,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
6,15,666,theverge_666,1,Yes,SELL OR SHARE MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell or share my personal information
7,20,69,medicinenet_69,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
8,27,378,burlington_378,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
9,29,1017,wsj_1017,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
10,30,446,space_446,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
11,38,169,nbcnews_169,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
12,40,862,marieclaire_862,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information
13,44,718,jared_718,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
14,46,226,wattpad_226,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
15,47,18,grubhub_18,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
16,50,857,refinery29_857,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
17,62,184,latimes_184,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
18,63,865,instyle_865,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
19,65,146,wsj_146,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
20,70,21,com_21,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
21,71,1084,niche_1084,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
22,76,926,salary_926,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information
