,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,0,mazdausa_825,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,825
1,7,com_3,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,3
2,8,livingsocial_310,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,310
3,9,netflix_347,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,347
4,13,sorel_757,1,Yes,fornia Residents: Do Not Sell My Info| 1/1,Yes,Yes,California residents: do not sell my info,757
5,14,superpages_276,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,276
6,15,theverge_666,1,Yes,SELL OR SHARE MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell or share my personal information,666
7,19,org_396,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,396
8,20,medicinenet_69,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,69
9,27,burlington_378,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,378
10,29,wsj_1017,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1017
11,30,space_446,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,446
12,38,nbcnews_169,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,169
13,40,marieclaire_862,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,862
14,47,grubhub_18,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,18
15,50,refinery29_857,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,857
16,62,latimes_184,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,184
17,65,wsj_146,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,146
18,70,com_21,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,21
19,71,niche_1084,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1084
20,76,salary_926,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,926
21,85,inc_1028,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information,1028
22,87,nbcsports_487,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,487
23,88,livescience_425,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,425
24,94,walgreens_76,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,76
25,97,victoriassecret_688,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,688
26,101,sparknotes_888,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,888
27,102,offers_303,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,303
28,105,com_141,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,141
29,108,mcdonalds_39,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,39
30,110,bmwusa_816,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,816
31,115,thedodo_218,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,218
32,117,com_864,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,864
33,118,healthgrades_62,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,62
