,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,213,com_213,[],[],[],[],[]
1,894,education_894,[],[],['Opt Out'],[],[]
2,542,jetblue_542,['Do not sell my info'],[],[],[],[]
3,1079,ehealthinsurance_1079,[],[],[],[],[]
4,95,etsy_95,['Privacy / Do not sell my personal info'],[],[],[],[]
5,65,zocdoc_65,[''],"['Your privacy choices', 'Manage your privacy choices.']",[],[],[]
6,1005,shutterstock_1005,['Do Not Sell My Personal Information'],[],[],[],[]
7,227,wiley_227,[],[],[],[],[]
8,928,co_928,[],[],[],[],[]
9,202,com_202,[],[],[],[],[]
10,803,com_803,['Do Not Sell My Personal Information'],[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.']",[],[]
11,350,diy_350,[],[],[],[],[]
12,820,audiusa_820,['Do Not Sell or Share My Personal Information'],[],"['If you have blocked cookies through your browser settings, we will be unable to comply with your Preference Center opt out request.']",[],[]
13,697,ssense_697,[],[],[],[],[]
14,1025,bizjournals_1025,['Do Not Sell or Share My Personal Information; Limit the Use of My Sensitive Personal Information'],['Your Privacy Choices'],"['opt out of online sales/shares that occur on this site', 'opt out of both types of sales/shares', 'If you opt out, your personal information may continue to be disclosed to our service providers as permitted under applicable law. You may also continue to see advertising that may include interest-based information about your visit and information from third parties.  Please remember that this opt out is brand-, browser-, and device-specific, so if you visit other ACBJ brands, visit this site from a different browser or device, or clear your cookies, you will need to opt out again.', '\nThe California Consumer Privacy Act (CCPA) grants California consumers the right to opt out of the “sale” and “sharing” (as those terms are defined under applicable law) of their personal information, and to limit the use and disclosure of their sensitive personal information. ACBJ may sell/share your personal information depending on the ways in which you interact with us. We may also use and disclose certain of your sensitive personal information for Online Behavioral Advertising (OBA) and cross-contextual behavioral advertising purposes. \n', ' Since your sensitive personal information may be used in some of the sales/shares described above, we treat your request to opt out of sales/shares as a request to limit the use of your sensitive personal information in that context.', 'provide your information on the Opt Out Form below, which will help us locate your records, and press submit.', 'This will also limit the use of your sensitive personal information. This opt out function is brand-, browser-, and device-specific. Therefore, if you visit other ACBJ brands, visit this site from a different browser or device, or clear your cookies, you will need to opt out of sales/shares through cookies again.\n', 'move the “Sell/Share My Personal Information On This Site Using Cookies” toggle to the left, submit the Opt Out Form, and press “Confirm my Choices.”', 'opt out of other sales/shares,']",[],[]
15,935,geeksforgeeks_935,[],[],[],[],[]
16,846,avon_846,[],[],[],[],[]
17,1065,acg_1065,[],[],[],[],[]
18,675,consumerreports_675,[' Do Not Sell or Share My Personal Information '],[],"['Opt Out of Facebook Commenting', 'Directions to Opt Out of Facebook Commenting', '\nFollow these directions to opt out of ', ' If you are a Print or All-Access Member and receive Consumer Reports magazine or Consumer Reports on Health through the mail, we may share your name and mailing address for direct mail purposes with selected companies offering products or services that we believe will be of interest to you. We do this to improve our customer list and help support our mission. If you prefer not to receive these offers, please click the Opt Out link ', 'CR shares personal information with third parties through the use of third party tracking technologies (or cookies) for online users and through sharing certain information about print members for marketing purposes. We do this to help support our nonprofit mission and do not accept third party advertising. But we understand that you may prefer that we not share your information in these ways. Here is how you can opt out of this type of data sharing:\n']",[],[]
19,74,everydayhealth_74,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
20,384,ganeshaspeaks_384,[],[],[],[],[]
21,990,stubhub_990,[],[],[],[],[]
22,1047,pnc_1047,[],[],[],['Read a summary of privacy rights for California residents'],[]
23,212,peta_212,[],[],['Current subscribers: You will continue to receive e-mail unless you explicitly opt out by clicking '],[],[]
24,838,ulta_838,"['', 'Do Not Sell My Personal Information', 'Do Not Sell My Info']",[],"[' Clearing your browser cookies at any time will undo preferences saved here. To re-save preferences, please return to this screen after clearing your cookies. Also, please note that the option selected here will only apply to the device you are currently using.  You may also opt out of advertising cookies from any other devices you use to access our website or mobile applications.']",[],[]
25,866,harpersbazaar_866,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
26,616,nvidia_616,[],[],[],[],[]
27,257,abebooks_257,[],[],[],[],[]
28,480,realgm_480,[],[],[],[],[]
29,260,vitalsource_260,[],[],[],[],[]
30,700,ae_700,[],[],[],[],[]
31,442,nasa_442,[],[],[],[],[]
32,354,etsy_354,['Privacy / Do not sell my personal info'],[],[],[],[]
33,989,amctheatres_989,[],[],[],[],[]
34,313,woot_313,[],[],[],[],[]
35,178,dailymail_178,['Do not sell or share my personal information'],[],[],[],[]
36,134,livinglocurto_134,['DO NOT SELL OR SHARE MY INFORMATION'],[],[],[],[]
37,30,com_30,[],[],[],[],[]
38,840,fragrantica_840,[],[],[],[],[]
39,949,brainpop_949,"['Do not sell or share my personal information', '\n          Do Not Sell My Personal Information\n        ']",[],[],[],[]
40,434,nature_434,[],[],[],[],[]
41,1080,collegeboard_1080,[],[],[],[],[]
42,295,net_295,['Do Not Sell or Share My Personal Information'],[],[],[],[]
43,743,com_743,[],[],[],[],[]
44,89,mom365_89,[],[],[],[],[]
45,543,airasia_543,[],[],[],[],[]
46,1059,libertymutual_1059,['Do Not Sell or Share My Personal Information (CA Residents Only)'],['Your California Privacy Choices'],[],[],[]
