,Index,Word list,Present in div
0,825,['Do not sell or share my personal information'],True
1,981,['Do Not Sell My Personal Info'],True
2,373,"['Do Not Sell My Personal Information', 'Do Not Sell My Personal Information|']",True
3,145,[],False
4,201,[],False
5,726,"['Your Privacy Choices', 'Do Not Share/Sell my Personal Information']",True
6,1052,['Your Opt Out Preference Signal is Honored'],True
7,3,['Do not sell or share my personal information'],True
8,310,['Do Not Sell or Share My Personal Information'],True
9,347,['Do Not Sell or Share My Personal Information'],True
10,524,['Your Privacy Choices'],True
11,916,[],False
12,64,['Your Privacy Choices'],True
13,757,[],False
14,666,['Do Not Sell Or Share My Personal Info'],True
15,534,[],False
16,567,"[""Don't sell or share my personal information""]",True
17,1010,[],False
18,396,['Do not sell or share my personal information'],True
19,69,['Do Not Sell or Share My Personal Information'],True
20,1073,[],False
21,486,[],False
22,506,[],False
23,819,['YOUR PRIVACY CHOICES'],True
24,1044,[],False
25,443,[],False
26,378,"['Do Not Sell or Share My Personal Information', 'Do Not Sell My Personal Information']",True
27,830,[],False
28,1017,['Do Not Sell or Share My Personal Information'],True
29,446,['Do not sell or share my personal information'],True
30,992,[],False
31,762,[],False
32,414,[],False
33,1078,[],False
34,236,[],False
35,965,[],False
36,196,"['Your Privacy Choices', 'Do Not Sell/Do Not Share or Opt-Out of Targeted Advertising']",True
37,169,['Your Privacy Choices'],True
38,386,[],False
39,862,['Do not sell or share my personal information'],True
40,305,[],False
41,171,['Your Privacy Choices'],True
42,1034,[],False
43,718,"['Do Not Sell My InformationThis action will open modal dialog', 'Privacy Policy \xa0\xa0\xa0 | \xa0\xa0\xa0 Do Not Sell My InformationThis action will open modal dialog']",True
44,501,['Do Not Sell My Personal Information'],True
45,226,[],False
46,18,"['Do Not Sell My Information', 'Terms of UsePrivacy PolicyNotice of Financial IncentiveDo Not Sell My InformationUnited States', 'Terms of UsePrivacy PolicyNotice of Financial IncentiveDo Not Sell My Information']",True
47,889,[],False
48,881,[],False
49,857,['Do Not Sell or Share My Info'],True
50,210,[],False
51,450,[],True
52,714,[],False
53,266,['Your California Privacy Choices'],True
54,204,[],False
55,404,"['Cookie settings | Your Privacy Choices', 'Cookie settings | Your Privacy Choices for this site']",True
56,929,[],False
57,502,[],False
58,649,['Your Privacy Choices'],True
59,339,[],False
60,400,['Manage cookies/Do not sell my data'],True
61,184,['Do Not Sell or Share My Personal Information'],True
62,865,['Do Not Sell My Personal Information'],True
63,410,[],False
64,146,['Do Not Sell or Share My Personal Information'],True
65,1039,[],False
66,547,[],False
67,1057,[],False
68,752,[],False
69,21,['Do not sell or share my personal information'],True
70,1084,['Do Not Sell My Personal Information'],True
71,182,"['Do Not Sell My Info/Cookie Policy', 'Do Not Sell My Data']",True
72,1016,['Your Privacy Choices'],True
73,672,['Do Not Sell My Personal Info'],True
74,882,[],True
75,926,['Do Not Sell or Share My Information'],True
76,626,['Your Privacy Choices'],True
77,616,[],False
78,391,[],False
79,808,['Your Privacy Choices'],True
80,455,[],False
