,Unnamed: 0,url,Index,2023-02-20 Selenium,2023-01-30 Selenium,2023-01-05 Selenium,2023-01-17 Selenium,2023-02-10 Selenium,2023-02-07 Selenium,2023-01-13 Selenium
0,0,https://www.theblaze.com/,150,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
1,1,https://www.westernjournal.com/,151,,,no,,,,
2,2,https://theweek.com/,152,Do Not Sell My Information,Do Not Sell My Information,yes,Do Not Sell My Information,Do Not Sell My Information,,Do Not Sell My Information
3,3,https://www.washingtontimes.com/,153,,,no,,,,
4,4,https://www.infowars.com/,154,,,yes,,,,
5,5,https://www.lifenews.com/,155,,,no,,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,
6,6,https://www.washingtonexaminer.com/,156,,,no,,,,
7,7,https://www.cnn.com/,157,,,yes,Do Not Sell Or Share My Personal Information,,,
8,8,https://www.huffpost.com/,158,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
9,9,https://www.nytimes.com/,159,,,no,Do Not Sell/Share My Personal Information,,,
10,10,https://www.politico.com/,160,Do not sell my info,Do not sell my info,yes,Do not sell my info,Do not sell my info,,Do not sell my info
11,11,https://slate.com/,161,,,yes,,,,
12,12,https://www.rollingstone.com/,162,,,no,,,,
13,13,https://abcnews.go.com/,163,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
14,14,https://www.dailykos.com/,164,Do Not Sell My Info,Do Not Sell My Info,yes,Do Not Sell My Info,Do Not Sell My Info,Do not sell or share my personal information.,Do Not Sell My Info
15,15,https://www.washingtonpost.com/,165,,,no,,,,
16,16,https://time.com/,166,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,,Do Not Sell My Personal Information
17,17,https://www.theatlantic.com/,167,Do Not Sell Or Share My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,Do not sell or share my personal information.,Do Not Sell My Personal Information
18,18,https://www.rawstory.com/,168,,,no,,,Do Not Sell or Share My Personal Information,
19,19,https://www.nbcnews.com/,169,DO NOT SELL MY PERSONAL INFORMATION,DO NOT SELL MY PERSONAL INFORMATION,yes,DO NOT SELL MY PERSONAL INFORMATION,DO NOT SELL MY PERSONAL INFORMATION,,DO NOT SELL MY PERSONAL INFORMATION
20,20,https://www.salon.com/,170,,,no,,,,
21,21,https://www.newyorker.com/,171,,,no,,,,
22,22,https://www.thedailybeast.com/,172,,,yes,,,,
23,23,https://www.alternet.org/,173,,,no,,,,
24,24,https://www.politifact.com/,174,,,no,,,Do not sell or share my personal information,
25,25,https://www.credoaction.com/,175,,,no,,,,
26,26,https://thinkprogress.org/,176,Do not sell or share my personal information.,Do not sell or share my personal information.,yes,Do not sell or share my personal information.,Do not sell or share my personal information.,,Do not sell or share my personal information.
27,27,https://www.nytimes.com/,177,,,no,Do Not Sell/Share My Personal Information,,,
28,28,https://www.dailymail.co.uk/ushome/index.html,178,Do not sell or share my personal information,Do not sell or share my personal information,yes,Do not sell or share my personal information,Do not sell or share my personal information,,Do not sell or share my personal information
29,29,https://thehill.com/,179,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
30,30,https://www.nydailynews.com/,180,Do Not Sell/Share My Personal Information,Do Not Sell/Share My Personal Information,no,Do Not Sell/Share My Personal Information,Do Not Sell/Share My Personal Information,,Do Not Sell/Share My Personal Information
31,31,https://www.independent.co.uk/us,181,,,no,,,Do Not Sell My Info,
32,32,https://www.usatoday.com/,182,,,no,,,,
33,33,https://www.telegraph.co.uk/,183,,,no,,,DO NOT SELL MY INFO,
34,34,https://www.latimes.com/,184,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
35,35,https://www.washingtonpost.com/,185,,,no,,,Do Not Sell My Info,
36,36,https://www.kickstarter.com/,186,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,,Do Not Sell My Personal Information
37,37,https://www.gofundme.com/,187,,,no,,,,
38,38,https://www.patreon.com/,188,,,no,,,Do Not Sell,
39,39,https://www.patreon.com/,189,,,no,,,,
40,40,https://www.lendingclub.com/,190,,,no,,,,
41,41,https://justgiving.com/,191,,,yes,,,,
42,42,https://www.allaboutbirds.org/news/,192,,,no,,,,
43,43,https://www.audubon.org/,193,,,no,,,,
44,44,https://www.petsmart.com/,194,,,no,,,,
45,45,https://www.petco.com/shop/en/petcostore,195,,,no,,,,
46,46,https://www.chewy.com/,196,,,no,,,,
47,47,https://www.1800petmeds.com/,197,,,no,,,,
48,48,https://www.hillspet.com/,198,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,,Do Not Sell My Personal Information
49,49,https://www.petcarerx.com/,199,,,no,,,,
50,50,https://www.petsuppliesplus.com/,200,,,no,,,Do Not Sell or Share My Personal Information,
51,51,https://www.akc.org/,201,,,no,,,,
52,52,https://iheartdogs.com/,202,,,yes,,,,
53,53,https://dogtime.com/,203,,,yes,,,,
54,54,https://www.petsmart.com/,204,,,no,,,,
55,55,https://www.petfinder.com/,205,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
56,56,https://www.petco.com/shop/en/petcostore,206,,,no,,,DO NOT SELL MY PERSONAL INFORMATION,
57,57,https://www.petmd.com/,207,,,no,,,,
58,58,https://www.adoptapet.com/,208,,,yes,Do not sell my information,,Do Not Sell or Share My Personal Info,Do not sell my information
59,59,https://www.cesarsway.com/,209,,,no,,,,
60,60,https://www.vetstreet.com/,210,,,no,,,,
61,61,http://dogbreedinfo.com/,211,,,yes,,,,
62,62,https://www.peta.org/,212,,,no,,,,
63,63,https://puppies.com/,213,,,yes,,,,
64,64,https://www.backyardchickens.com/,214,Do not sell or share my personal information.,Do not sell or share my personal information.,no,Do not sell or share my personal information.,Do not sell or share my personal information.,,Do not sell or share my personal information.
65,65,https://www.dogster.com/,215,,DO NOT SELL MY INFORMATION,yes,DO NOT SELL MY INFORMATION,DO NOT SELL MY INFORMATION,,
66,66,https://www.yourpurebredpuppy.com/,216,,,no,,,,
67,67,https://thecatsite.com/,217,Do not sell or share my personal information.,Do not sell or share my personal information.,yes,Do not sell or share my personal information.,Do not sell or share my personal information.,,Do not sell or share my personal information.
68,68,https://www.thedodo.com/,218,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
69,69,https://www.amazon.com/,219,,,no,,,,
70,70,https://about.proquest.com/en/products-services/ebooks-main/,220,,,no,,,,
71,71,https://www.goodreads.com/,221,,,no,,,,
72,72,https://www.cambridge.org/,222,,,no,,,,
73,73,https://www.overstock.com/,223,,,yes,,,,Do Not Sell My Information
74,74,https://www.scribd.com/,224,,Do not sell or share my personal information,no,Do not sell or share my personal information,,,Do not sell or share my personal information
75,75,https://www.barnesandnoble.com/,225,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,,,,Do Not Sell My Personal Information
76,76,https://www.wattpad.com/,226,,,no,,,,
77,77,https://www.wiley.com/en-us,227,,,no,,,,
78,78,http://ebook3000.com/,228,,,yes,,,,
79,79,https://www.hmhco.com/,229,,,no,,,,
80,80,https://www.springer.com/us,230,,,yes,,,,
81,81,https://issuu.com/,231,Do Not Sell My Info,,yes,Do Not Sell My Info,Do Not Sell My Info,,
82,82,https://www.audible.com/,232,,,no,,,,
83,83,https://www.chegg.com/,233,DO NOT SELL MY INFO,DO NOT SELL MY INFO,yes,DO NOT SELL MY INFO,DO NOT SELL MY INFO,,DO NOT SELL MY INFO
84,84,https://www.mheducation.com/,234,,,no,,,,
85,85,https://www.scholastic.com/home,235,Do Not Sell My Info,Do Not Sell My Info,yes,Do Not Sell My Info,Do Not Sell My Info,,Do Not Sell My Info
86,86,https://www.jstor.org/,236,,,no,,,,
87,87,https://www.goodreads.com/,237,,,no,,,,
88,88,https://www.publishersweekly.com/,238,Do Not Sell,Do Not Sell,yes,Do Not Sell,Do Not Sell,Do Not Sell/Share My Personal Information,Do Not Sell
89,89,https://westeros.org/,239,,,yes,,,,
90,90,https://www.nybooks.com/,240,,,no,,,,
91,91,https://www.librarything.com/,241,,,no,,,,
92,92,https://www.kirkusreviews.com/,242,,,no,,,,
93,93,https://ebookfriendly.com/,243,,,yes,,,Do not sell my info,
94,94,https://about.proquest.com/en/products-services/ebooks-main/,244,,,no,,,,
95,95,http://ebook3000.com/,245,,,yes,,,,
96,96,https://www.wikibooks.org/,246,,,no,,,,
97,97,https://www.overdrive.com/,247,,,no,,,,
98,98,https://www.freemake.com/,248,,,no,,,,
99,99,https://www.bookdepository.com/,249,,,no,,,,
100,100,https://www.espn.com/,499,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
101,101,https://sports.yahoo.com/,500,,,no,,,,
102,102,https://www.90min.com/,501,,,no,,,,
103,103,https://www.si.com/,502,,,no,,,Manage cookies/Do not sell my data,
104,104,https://www.mlb.com/,503,,,yes,,,Do Not Sell My Info,
105,105,https://www.foxsports.com/,504,,,yes,,,,
106,106,https://www.cbssports.com/,505,DO NOT SELL MY PERSONAL INFORMATION,DO NOT SELL MY PERSONAL INFORMATION,yes,DO NOT SELL MY PERSONAL INFORMATION,DO NOT SELL MY PERSONAL INFORMATION,,DO NOT SELL MY PERSONAL INFORMATION
107,107,https://skihood.com/,506,,,yes,,,,
108,108,https://www.sbnation.com/,507,Do Not Sell or Share My Personal Info,Do Not Sell or Share My Personal Info,yes,Do Not Sell or Share My Personal Info,Do Not Sell or Share My Personal Info,,Do Not Sell or Share My Personal Info
109,109,https://www.cloudflare.com/,508,,,no,,,,
110,110,https://www.akamai.com/,509,,,no,,,,
111,111,https://www.lumen.com/en-us/home.html,510,,,no,,,,
112,112,https://www.liquidweb.com/,511,,,no,,,,
113,113,https://edg.io/,512,,,no,,,,
114,114,https://www.keycdn.com/,513,,,no,,,,
115,115,https://www.equinix.com/,514,,,no,,,,
116,116,https://www.cdnetworks.com/,515,,,no,,,,
117,117,https://www.getambassador.com/,516,,,no,,,,
118,118,https://aws.amazon.com/?aws-products-all.sort-by=item.additionalFields.productNameLowercase&aws-products-all.sort-order=asc&awsf.re%3AInvent=*all&awsf.Free%20Tier%20Type=*all&awsf.tech-category=*all,517,,,no,,,,
119,119,https://outlook.live.com/owa/,518,,,no,,,,
120,120,https://www.icloud.com/,519,,,yes,,,,
121,121,https://www.zoho.com/,520,,,no,,,Do Not Sell My Personal Information,
122,122,http://www.inbox.com/tech/,521,,,no,,,Do Not Sell My Personal Information,
123,123,https://proton.me/mail,522,,,no,,,,
124,124,https://www.google.com/,523,,,no,,,,
125,125,https://www.yahoo.com/,524,,,no,,,,
126,126,https://www.bing.com/?toWww=1&redig=8625D14D06664A41A50493BB87348445,525,,,no,,,Do not sell my info,
127,127,https://www.ask.com/,526,,,yes,Do Not Sell My Personal Information,,,
128,128,https://hp.myway.com/myway/index.html,527,,,no,,,,
129,129,https://www.weebly.com/,528,,,no,,,,
130,130,https://www.wix.com/,529,,,no,,,,
131,131,https://www.squarespace.com/,530,,,no,,,,
132,132,https://www.jimdo.com/,531,,,no,,,,
133,133,https://www.smugmug.com/,532,,,no,,,,
134,134,http://www.wikidot.com/,533,,,no,,,,
135,135,https://www.webs.com/,534,,,no,,,,
136,136,https://www.tripod.lycos.com/,535,,,no,,,,
137,137,https://www.ucoz.com/#superFooter,536,,,no,,,,
138,138,https://www.southwest.com/,537,Do Not Sell/Share My Personal Information,Do Not Sell/Share My Personal Information,yes,Do Not Sell/Share My Personal Information,Do Not Sell/Share My Personal Information,,Do Not Sell/Share My Personal Information
139,139,https://www.aa.com/homePage.do,538,,,no,,,,
140,140,https://www.united.com/en/us,539,,,no,,,,
141,141,https://www.delta.com/,540,,,no,,,,
142,142,https://www.ryanair.com/us/en,541,,,yes,,,,
143,143,https://www.jetblue.com/,542,Do not sell my info,Do not sell my info,yes,Do not sell my info,Do not sell my info,,Do not sell my info
144,144,https://www.airasia.com/en/gb,543,,,no,,,,
145,145,https://www.spirit.com/,544,,,yes,,,,
146,146,https://www.emirates.com/us/english/,545,,,no,,,Do not sell or share my personal information,
147,147,https://www.qatarairways.com/en-us/homepage.html,546,,,no,,,Do not sell my info,
148,148,https://www.britishairways.com/travel/home/public/en_us/,547,,,no,,,,
149,149,https://www.alaskaair.com/,548,,,no,,,,
150,150,https://www.ncbi.nlm.nih.gov/,399,,,no,,,,
151,151,https://www.nature.com/,400,,,yes,,,,
152,152,https://plos.org/,401,,,yes,,,,
153,153,https://www.biomedcentral.com/,402,Manage cookies/Do not sell my data,Manage cookies/Do not sell my data,yes,Manage cookies/Do not sell my data,Manage cookies/Do not sell my data,,Manage cookies/Do not sell my data
154,154,https://www.innerbody.com/,403,Do Not Sell My Info,Do Not Sell My Info,yes,Do Not Sell My Info,Do Not Sell My Info,Do Not Sell My Personal Information,Do Not Sell My Info
155,155,https://www.cell.com/,404,,,no,,,,
156,156,https://www.expasy.org/,405,,,no,,,,
157,157,https://www.biologyonline.com/,406,,,no,,,Do Not Sell My Info,
158,158,https://www.jbc.org/,407,,,no,,,,
159,159,https://www.broadinstitute.org/,408,,,no,,,,
160,160,https://www.genome.gov/,409,,,no,,,California Customers Only: Do Not Sell My Info,
161,161,https://www.ornl.gov/,410,,,no,,,Do Not Sell or Share My Personal Information,
162,162,https://www.hhmi.org/,411,,,no,,,,
163,163,https://www.genecards.org/,412,,,no,,,,
164,164,http://cshlp.org/,413,,,yes,,,Do Not Sell My Info,
165,165,https://www.addgene.org/,414,,,no,,,Do not sell or share my personal information.,
166,166,https://www.neb.com/,415,,,no,,,,
167,167,https://medlineplus.gov/genetics/,416,,,no,,,Do not sell or share my info,
168,168,https://www.epa.gov/,417,,,no,,,,
169,169,https://www.acs.org/content/acs/en.html,418,,,no,,,Do not sell or share my info,
170,170,https://www.rsc.org/,419,,,no,,,,
171,171,https://www.webqc.org/,420,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,,Do Not Sell My Personal Information
172,172,https://www.webqc.org/,421,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,Do Not Sell My Info,Do Not Sell My Personal Information
173,173,https://www.cas.org/,422,,,no,,,California Do Not Sell,
174,174,https://www.noaa.gov/,423,,,no,,,,
175,175,https://www.nps.gov/index.htm,424,,,no,,,,
176,176,https://www.livescience.com/,425,Do not sell my info,Do not sell my info,yes,Do not sell my info,Do not sell my info,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,Do not sell my info
177,177,https://www.nature.com/,426,,,yes,,,,
178,178,https://www.epa.gov/,427,,,no,,,Privacy / Do not sell my personal info,
179,179,https://www.treehugger.com/,428,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,,,Do Not Sell My Personal Information
180,180,https://www.energy.gov/,429,,,no,,,Do Not Sell or Share My Personal Information,
181,181,https://www.ewg.org/,430,,,no,,,Do Not Sell My Info |,
182,182,https://www.eia.gov/,431,,,no,,,Do Not Sell My Info,
183,183,https://fws.gov/,432,,,no,,,,
184,184,https://inhabitat.com/page/3/,433,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,,,,
185,185,https://www.nature.org/en-us/,434,,,yes,,,Do Not Sell My Personal Information,
186,186,https://www.greenpeace.org/global/,435,,,no,,,Do Not Sell or Share My Personal Information,
187,187,https://www.sierraclub.org/,436,,,no,,,Do not sell my info,
188,188,http://nwf.org/,437,,,yes,,,,
189,189,https://www.worldwildlife.org/,438,,,no,,,,
190,190,https://icwb.com/one-life,439,,,yes,,,,
191,191,https://www.motherearthnews.com/,440,,,no,,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,
192,192,https://grist.org/,441,,,yes,,,Do Not Sell or Share My Personal Information,
193,193,https://www.nasa.gov/,442,,,no,,,,
194,194,https://www.ncbi.nlm.nih.gov/,443,,,no,,,,
195,195,https://www.howstuffworks.com/,444,,,yes,,,,
196,196,https://www.autodesk.com/,445,Do not sell or share my personal information,Do not sell or share my personal information,yes,Do not sell or share my personal information,Do not sell or share my personal information,Do Not Sell or Share My Personal Information,Do not sell or share my personal information
197,197,https://www.space.com/,446,Do not sell my info,Do not sell my info,yes,Do not sell my info,Do not sell my info,,Do not sell my info
198,198,https://www.popularmechanics.com/,447,,,yes,,,CA: Do Not Sell My Info,
199,199,https://www.osha.gov/,448,,,no,,,,
200,200,https://www.allposters.com/,100,,,yes,,,Do Not Sell or Share My Personal Information / Personal Data Opt-out,
201,201,https://fineartamerica.com/,101,,,yes,,,Do Not Sell or Share My Personal Information,
202,202,https://www.artsy.net/,102,,,yes,,,Do not sell my personal information.,
203,203,https://www.art.com/,103,,,yes,,,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,
205,205,https://www.ikea.com/,105,,,no,,,,
206,206,https://www.wayfair.com/,106,,,no,,,,
207,207,https://www.potterybarn.com/,107,Do Not Sell or Share My Personal Information,Do Not Sell My Info,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell My Info
208,208,https://www.la-z-boy.com/,108,,,no,,,,
209,209,https://www.pier1.com/,109,,,no,,,,
210,210,https://www.biglots.com/,110,California Customers Only: Do Not Sell My Info,California Customers Only: Do Not Sell My Info,yes,California Customers Only: Do Not Sell My Info,California Customers Only: Do Not Sell My Info,,California Customers Only: Do Not Sell My Info
212,212,https://www.ashleyfurniture.com/,112,,,no,,,Do Not Sell My Personal Information,
213,213,https://www.sleepnumber.com/,113,,,yes,,,Ad Opt out/ Do Not Sell My Personal Information,
214,214,https://www.anthropologie.com/,114,,,no,Do Not Sell My Info,Do Not Sell My Info,,
215,215,https://www.gardeningknowhow.com/,115,Do not sell or share my personal information.,Do not sell or share my personal information.,yes,Do not sell or share my personal information.,Do not sell or share my personal information.,,Do not sell or share my personal information.
216,216,https://www.treehugger.com/,116,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,,,Do Not Sell My Personal Information
217,217,https://www.gardenweb.com/,117,Do not sell or share my info,Do not sell my info,yes,Do not sell or share my info,Do not sell or share my info,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do not sell my info
218,218,https://www.gardeners.com/,118,,,no,,,,
219,219,https://www.houzz.com/,119,Do not sell or share my info,Do not sell my info,yes,Do not sell or share my info,Do not sell or share my info,,Do not sell my info
220,220,https://www.hgtv.com/,120,,,yes,,,Do Not Sell My Personal Information,
221,221,https://www.apartmenttherapy.com/,121,,,no,,DO NOT SELL MY PERSONAL INFORMATION,,
222,222,https://www.urbanoutfitters.com/,122,,,no,Do Not Sell My Info,Do Not Sell My Info,Do Not Sell My Information,
223,223,https://www.marthastewart.com/,123,California Do Not Sell,California Do Not Sell,yes,California Do Not Sell,California Do Not Sell,,California Do Not Sell
224,224,https://www.countryliving.com/,124,,,yes,,,,
225,225,https://www.bhg.com/,125,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,,,Do Not Sell My Personal Information
226,226,https://www.curbed.com/,126,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,Do Not Sell My Personal Information,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
227,227,https://www.michaels.com/,127,,,no,,,,
228,228,https://www.etsy.com/,128,Privacy / Do not sell my personal info,,no,Privacy / Do not sell my personal info,Privacy / Do not sell my personal info,,
229,229,https://www.instructables.com/,129,,,no,,,,
230,230,https://www.hobbylobby.com/,130,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
231,231,https://www.joann.com/,131,Do Not Sell My Info |,,yes,,,,
232,232,https://www.craftsy.com/,132,Do Not Sell My Info,Do Not Sell My Info,yes,Do Not Sell My Info,Do Not Sell My Info,,Do Not Sell My Info
233,233,https://makezine.com/,133,,,yes,,,,
234,234,https://www.livinglocurto.com/,134,,,no,,,,
235,235,https://www.officedepot.com/,135,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,Do Not Sell My Information,Do Not Sell My Personal Information
236,236,https://www.staples.com/,136,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
237,237,https://www.vistaprint.com/,137,Do not sell my info,Do not sell my info,yes,Do not sell my info,Do not sell my info,,Do not sell my info
238,238,https://www.uline.com/,138,,,no,,,,
239,239,https://www.avery.com/,139,,,no,,,,
240,240,https://www.foxnews.com/,140,,,yes,,,,
241,241,https://thehill.com/,141,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
242,242,https://www.dailywire.com/,142,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
243,243,https://www.westernjournal.com/commentary/?utm_source=redirect,143,,,no,,,,
244,244,https://www.theamericanconservative.com/,144,,,no,,,,
245,245,https://www.breitbart.com/,145,,,no,,,,
246,246,https://www.wsj.com/,146,Do Not Sell or Share My Personal Information,,no,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,
247,247,https://rare.us/page/7/,147,,,no,,,,
248,248,https://dailycaller.com/,148,CA: Do Not Sell My Info,CA: Do Not Sell My Info,yes,CA: Do Not Sell My Info,CA: Do Not Sell My Info,Do Not Sell or Share My Personal Information,CA: Do Not Sell My Info
249,249,https://nypost.com/,149,,,yes,,,,
250,250,https://www.rakuten.com/,299,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,yes,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,,Do Not Sell or Share My Personal Information / Personal Data Opt-out
251,251,https://www.zulily.com/,300,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,CCPA / Do Not Sell My Info,Do Not Sell or Share My Personal Information
252,252,https://thekrazycouponlady.com/,301,Do not sell my personal information.,Do not sell my personal information.,yes,Do not sell my personal information.,Do not sell my personal information.,,Do not sell my personal information.
253,253,https://getitfree.us/,302,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION
255,255,https://www.dealnews.com/,304,Do not sell my data,,no,,,Do Not Sell or Share My Personal Information,
256,256,https://www.woot.com/,305,,,no,,,Do Not Sell My Personal Information,
257,257,https://www.grabon.in/,306,,,no,,,Do Not Sell My Personal Information,
