,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,index,Index
0,0,615,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627,627
1,1,128,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34,34
2,2,472,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102,102
3,3,188,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112,112
4,4,468,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508,508
5,5,537,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77,77
6,6,547,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35,35
7,7,398,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2,2
8,8,394,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0,0
9,9,310,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691,691
10,10,573,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120,120
11,11,685,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444,444
12,12,37,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400,400
13,13,149,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426,426
14,14,313,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478,478
15,15,587,patriots_488,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,488,488
16,16,677,pcworld_674,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,674,674
17,17,589,petco_195,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,195,195
18,18,210,petco_206,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,206,206
19,19,359,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26,26
20,20,298,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4,4
21,21,638,saveur_585,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,585,585
22,22,196,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113,113
23,23,179,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230,230
24,24,532,techadvisor_676,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,676,676
25,25,264,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277,277
26,26,96,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583,583
27,27,194,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578,578
28,28,191,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679,679
