,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,index,Index
0,0,113,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,50,50
1,1,183,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,899,899
2,2,202,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,898,898
3,3,210,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,Do not sell or share my personal information,1074,1074
4,4,390,tomsguide_673,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,673,673
5,5,413,tomshardware_610,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,610,610
6,6,508,potterybarn_107,o/o,No,Do Not Sell My Info| 0/0,Yes,Yes,Do not sell my personal information,107,107
7,7,685,tomshardware_665,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,665,665
8,8,778,imore_671,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,671,671
9,9,874,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,920,920
10,10,894,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,668,668
11,11,924,scarymommy_90,o/o,No,"not sell

o/o",Yes,No,,90,90
12,12,1050,lonelyplanet_554,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,554,554
