,category,sub category,website,url,Index,Search key
0,,,Theblaze.Com,https://www.theblaze.com/,150,Do Not Sell or Share My Personal Information
1,,,Westernjournalism.Com,https://www.westernjournal.com/,151,
2,,,Theweek.Com,https://theweek.com/,152,Do Not Sell My Information
3,,,Washingtontimes.Com,https://www.washingtontimes.com/,153,
4,,,Infowars.Com,https://www.infowars.com/,154,
5,,,Lifenews.Com,https://www.lifenews.com/,155,
6,,,Washingtonexaminer.Com,https://www.washingtonexaminer.com/,156,
7,,Liberal Websites,Cnn.Com,https://www.cnn.com/,157,
8,,,Huffingtonpost.Com,https://www.huffpost.com/,158,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
9,,,Nytimes.Com,https://www.nytimes.com/,159,Do Not Sell/Share My Personal Information
10,,,Politico.Com,https://www.politico.com/,160,Do not sell my info
11,,,Slate.Com,https://slate.com/,161,
12,,,Rollingstone.Com,https://www.rollingstone.com/,162,
13,,,Abcnews.Go.Com,https://abcnews.go.com/,163,Do Not Sell or Share My Personal Information
14,,,Dailykos.Com,https://www.dailykos.com/,164,Do Not Sell My Info
15,,,Washingtonpost.Com,https://www.washingtonpost.com/,165,
16,,,Time.Com,https://time.com/,166,Do Not Sell My Personal Information
17,,,Theatlantic.Com,https://www.theatlantic.com/,167,Do Not Sell Or Share My Personal Information
18,,,Rawstory.Com,https://www.rawstory.com/,168,
19,,,Nbcnews.Com,https://www.nbcnews.com/,169,DO NOT SELL MY PERSONAL INFORMATION
20,,,Salon.Com,https://www.salon.com/,170,
21,,,Newyorker.Com,https://www.newyorker.com/,171,
22,,,Thedailybeast.Com,https://www.thedailybeast.com/,172,
23,,,Alternet.Org,https://www.alternet.org/,173,
24,,,Politifact.Com,https://www.politifact.com/,174,
25,,,Credoaction.Com,https://www.credoaction.com/,175,
26,,,Thinkprogress.Org,https://thinkprogress.org/,176,Do not sell or share my personal information.
27,,Newspapers Websites,Nytimes.Com,https://www.nytimes.com/,177,Do Not Sell/Share My Personal Information
28,,,Dailymail.Co.Uk,https://www.dailymail.co.uk/ushome/index.html,178,Do not sell or share my personal information
29,,,Thehill.Com,https://thehill.com/,179,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
30,,,Nydailynews.Com,https://www.nydailynews.com/,180,Do Not Sell/Share My Personal Information
31,,,Independent.Co.Uk,https://www.independent.co.uk/us,181,
32,,,Usatoday.Com,https://www.usatoday.com/,182,
33,,,Telegraph.Co.Uk,https://www.telegraph.co.uk/,183,
34,,,Latimes.Com,https://www.latimes.com/,184,Do Not Sell or Share My Personal Information
35,,,Washingtonpost.Com,https://www.washingtonpost.com/,185,
36,,Crowdfunding Sites Websites,Kickstarter.Com,https://www.kickstarter.com/,186,Do Not Sell My Personal Information
37,,,Gofundme.Com,https://www.gofundme.com/,187,
38,,,Patreon.Com,https://www.patreon.com/,188,
39,,,Angel.Co,https://www.patreon.com/,189,
40,,,Lendingclub.Com,https://www.lendingclub.com/,190,
41,,,Justgiving.Com,https://justgiving.com/,191,
42,Pets & Animals,Birding Websites,Allaboutbirds.Org,https://www.allaboutbirds.org/news/,192,
43,,,Audubon.Org,https://www.audubon.org/,193,
44,,Pet Stores,Petsmart.Com,https://www.petsmart.com/,194,
45,,,Petco.Com,https://www.petco.com/shop/en/petcostore,195,
46,,,Chewy.Com,https://www.chewy.com/,196,
47,,,1800Petmeds.Com,https://www.1800petmeds.com/,197,
48,,,Hillspet.Com,https://www.hillspet.com/,198,Do Not Sell My Personal Information
49,,,Petcarerx.Com,https://www.petcarerx.com/,199,
50,,,Petsuppliesplus.Com,https://www.petsuppliesplus.com/,200,
51,,Pet Websites,Akc.Org,https://www.akc.org/,201,
52,,,Iheartdogs.Com,https://iheartdogs.com/,202,
53,,,Dogtime.Com,https://dogtime.com/,203,
54,,,Petsmart.Com,https://www.petsmart.com/,204,
55,,,Petfinder.Com,https://www.petfinder.com/,205,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
56,,,Petco.Com,https://www.petco.com/shop/en/petcostore,206,
57,,,Petmd.Com,https://www.petmd.com/,207,
58,,,Adoptapet.Com,https://www.adoptapet.com/,208,
59,,,Cesarsway.Com,https://www.cesarsway.com/,209,
60,,,Vetstreet.Com,https://www.vetstreet.com/,210,
61,,,Dogbreedinfo.Com,http://dogbreedinfo.com/,211,
62,,,Peta.Org,https://www.peta.org/,212,
63,,,Puppyfind.Com,https://puppies.com/,213,
64,,,Backyardchickens.Com,https://www.backyardchickens.com/,214,Do not sell or share my personal information.
65,,,Dogster.Com,https://www.dogster.com/,215,
66,,,Yourpurebredpuppy.Com,https://www.yourpurebredpuppy.com/,216,
67,,,Thecatsite.Com,https://thecatsite.com/,217,Do not sell or share my personal information.
68,,,Thedodo.Com,https://www.thedodo.com/,218,Do Not Sell or Share My Personal Information
69,Publishing,Best Book Websites,Amazon.Com,https://www.amazon.com/,219,
70,,,Ebrary.Com,https://about.proquest.com/en/products-services/ebooks-main/,220,
71,,,Goodreads.Com,https://www.goodreads.com/,221,
72,,,Cambridge.Org,https://www.cambridge.org/,222,
73,,,Overstock.Com,https://www.overstock.com/,223,
74,,,Scribd.Com,https://www.scribd.com/,224,Do not sell or share my personal information
75,,,Barnesandnoble.Com,https://www.barnesandnoble.com/,225,
76,,,Wattpad.Com,https://www.wattpad.com/,226,
77,,,Wiley.Com,https://www.wiley.com/en-us,227,
78,,,Ebook3000.Com,http://ebook3000.com/,228,
79,,,Hmhco.Com,https://www.hmhco.com/,229,
80,,,Springer.Com,https://www.springer.com/us,230,
81,,,Issuu.Com,https://issuu.com/,231,
82,,,Audible.Com,https://www.audible.com/,232,
83,,,Chegg.Com,https://www.chegg.com/,233,DO NOT SELL MY INFO
84,,,Mheducation.Com,https://www.mheducation.com/,234,
85,,,Scholastic.Com,https://www.scholastic.com/home,235,Do Not Sell My Info
86,,,Jstor.Org,https://www.jstor.org/,236,
87,,Book Review Websites,Goodreads.Com,https://www.goodreads.com/,237,
88,,,Publishersweekly.Com,https://www.publishersweekly.com/,238,Do Not Sell
89,,,Westeros.Org,https://westeros.org/,239,
90,,,Nybooks.Com,https://www.nybooks.com/,240,
91,,,Librarything.Com,https://www.librarything.com/,241,
92,,,Kirkusreviews.Com,https://www.kirkusreviews.com/,242,
93,,,Ebookfriendly.Com,https://ebookfriendly.com/,243,
94,,EBook Sites,Ebrary.Com,https://about.proquest.com/en/products-services/ebooks-main/,244,
95,,,Ebook3000.Com,http://ebook3000.com/,245,
96,,,Wikibooks.Org,https://www.wikibooks.org/,246,
97,,,Overdrive.Com,https://www.overdrive.com/,247,
98,,,Freemake.Com,https://www.freemake.com/,248,
99,,,Bookdepository.Com,https://www.bookdepository.com/,249,
100,,Sports Websites,Espn.Com,https://www.espn.com/,499,Do Not Sell or Share My Personal Information
101,,,Sports.Yahoo.Com,https://sports.yahoo.com/,500,
102,,,90Min.Com,https://www.90min.com/,501,
103,,,Si.Com,https://www.si.com/,502,
104,,,Mlb.Com,https://www.mlb.com/,503,
105,,,Foxsports.Com,https://www.foxsports.com/,504,
106,,,Cbssports.Com,https://www.cbssports.com/,505,DO NOT SELL MY PERSONAL INFORMATION
107,,,Skihood.Com,https://skihood.com/,506,
108,,,Sbnation.Com,https://www.sbnation.com/,507,Do Not Sell or Share My Personal Info
109,,Telecommunication,Cloudflare.Com,https://www.cloudflare.com/,508,
110,,,Akamai.Com,https://www.akamai.com/,509,
111,,,Level3.Com,https://www.lumen.com/en-us/home.html,510,
112,,,Liquidweb.Com,https://www.liquidweb.com/,511,
113,,,Limelight.Com,https://edg.io/,512,
114,,,Keycdn.Com,https://www.keycdn.com/,513,
115,,,Equinix.Com,https://www.equinix.com/,514,
116,,,Cdnetworks.Com,https://www.cdnetworks.com/,515,
117,,,Getambassador.Com,https://www.getambassador.com/,516,
