,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,213,com_213,[],[],[],[],[]
1,928,co_928,[],[],[],[],[]
2,202,com_202,[],[],[],[],[]
3,803,com_803,[],[],[],[],[]
4,350,diy_350,[],[],[],[],[]
5,820,audiusa_820,['Do Not Sell or Share My Personal Information'],[],"['If you have blocked cookies through your browser settings, we will be unable to comply with your Preference Center opt out request.']",[],[]
6,1025,bizjournals_1025,[],['Your Privacy Choices'],"['If you are a consumer in certain U.S. states you may have the right to opt out of targeted advertising and our “sale” (as that term is defined under applicable law) of your personal information.  If you do not see an ability to opt out below, your detected location is outside of a region with an applicable privacy law.  For more information on our privacy practices, read our ']",[],[]
7,846,avon_846,[],[],[],[],[]
8,675,consumerreports_675,[' Do Not Sell or Share My Personal Information '],[],"['Directions to Opt Out of Facebook Commenting', '\nFollow these directions to opt out of ', 'Opt Out of Facebook Commenting', ' If you are a Print or All-Access Member and receive Consumer Reports magazine or Consumer Reports on Health through the mail, we may share your name and mailing address for direct mail purposes with selected companies offering products or services that we believe will be of interest to you. We do this to improve our customer list and help support our mission. If you prefer not to receive these offers, please click the Opt Out link ', 'CR shares personal information with third parties through the use of third party tracking technologies (or cookies) for online users and through sharing certain information about print members for marketing purposes. We do this to help support our nonprofit mission and do not accept third party advertising. But we understand that you may prefer that we not share your information in these ways. Here is how you can opt out of this type of data sharing:\n']",[],[]
9,989,amctheatres_989,[],[],[],[],[]
10,178,dailymail_178,['Do not sell or share my personal information'],[],[],[],[]
11,30,com_30,[],[],[],[],[]
12,949,brainpop_949,"['Do not sell or share my personal information', '\n          Do Not Sell My Personal Information\n        ']",[],[],[],[]
13,1080,collegeboard_1080,[],[],[],[],[]
14,743,com_743,[],[],[],[],[]
15,951,com_951,[],[],[],[],[]
16,219,amazon_219,[],['Your Ads Privacy Choices'],[],[],[]
17,133,com_133,[],[],[],[],[]
18,345,apple_345,[],[],[],[],[]
19,978,allmusic_978,[''],[],[],[],[]
20,93,com_93,"['Do not sell or share my personal information.', 'Do Not Sell Or Share My Personal Information']",[],[],[],[]
21,215,dogster_215,['DO NOT SELL MY INFORMATION'],[],[],[],[]
22,593,bestbuy_593,"['', 'CA Do Not Sell/Share My Personal Information']",[],"['', 'Targeted Advertising Opt Out']",[],[]
23,953,com_953,[],[],[],[],[]
24,547,britishairways_547,[],[],[],[],[]
25,126,curbed_126,['Do Not Sell or Share My Personal Information'],[],[],[],[]
26,324,comparethemarket_324,[],[],[],[],[]
27,1016,businessinsider_1016,[''],['\n            Your Privacy Choices\n              '],[],[],[]
28,191,com_191,['Do not sell or share my personal information'],[],[],[],[]
29,833,boatshop24_833,['Do Not Sell My Personal Information'],[],[],[],[]
30,970,dailymotion_970,[],[],[],[],[]
31,16,bonappetit_16,[''],[],[],[],[]
32,1014,com_1014,[],[],[],[],[]
33,963,com_963,[],[],[],[],[]
34,192,allaboutbirds_192,[],[],[],[],[]
35,915,com_915,[],[],[],[],[]
36,21,com_21,"['', 'Do not sell or share my personal information']",[],[''],[],[]
37,433,com_433,[],[],[],[],[]
38,343,amazon_343,[],['Your Ads Privacy Choices'],[],[],[]
39,810,chevrolet_810,[],[],[],[],[]
40,228,com_228,[],[],[],[],[]
41,3,com_3,"['Do not sell or share my personal information.', 'Do Not Sell Or Share My Personal Information']",[],[],[],[]
42,59,calorieking_59,[],[],[],[],[]
43,397,com_397,[],[],[],[],[]
44,48,bet-at-home_48,[],[],[],[],[]
45,793,autotrader_793,[],[],[],[],[]
46,794,caranddriver_794,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'DAA Industry Opt Out']",[],[]
47,608,bissell_608,[],[],[],[],[]
48,99,com_99,[],[],[],[],[]
49,282,craigslist_282,[],[],[],[],[]
50,983,deezer_983,[],[],[],[],[]
51,784,airliners_784,['Do Not Sell My Data'],[],[],[],[]
52,780,com_780,[],[],[],[],[]
53,142,dailywire_142,['Do Not Sell or Share My Personal Information'],[],[],[],[]
54,12,delish_12,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'DAA Industry Opt Out']",[],[]
55,576,choicehotels_576,"['Do Not Sell My Personal Information', 'Do Not Sell Preferences']",[],"['  Within Choice Hotels, selling of personal information is limited to allowing a restricted number of media companies access to our website’s information such as browsing history, search history and information regarding consumers’ interaction on our website.  You can opt out of this sharing via the sliding selector above.', '\n\nPlease be aware that opting out on the device you are currently using will opt you out only on that device.  To opt out on other devices, please return to choicehotels.com on each device and opt out.  Also, if you clear cookies, or if your browser automatically deletes cookies, you will need to opt out again the next time you visit our site.\n                ', 'Many websites use cookies or other tags to collect information that make the websites work as visitors expect and generally enhance visitors’ website experience.  In some situations, the collected information could be defined as ‘personal information’ under the California Consumer Privacy Act of 2018 (CCPA).  Business partners might be allowed to access and use the information, which could be defined as ‘selling personal information’ under the CCPA.  The Act enables Californians to opt out of selling personal information.', '\n\nWithin Choice Hotels, selling of personal information is limited to allowing a restricted number of media companies access to our website’s information such as browsing history, search history and information regarding consumers’ interaction on our website.  You can opt out of this sharing via the sliding selector above.', '  Please be aware that opting out on the device you are currently using will opt you out only on that device.  To opt out on other devices, please return to choicehotels.com on each device and opt out.  Also, if you clear cookies, or if your browser automatically deletes cookies, you will need to opt out again the next time you visit our site. ']",[],[]
56,209,cesarsway_209,[],[],[],[],[]
57,161,com_161,[],[],[''],[],[]
58,563,com_563,[],[],[],[],[]
59,232,audible_232,[],['Your Ads Privacy Choices'],[],[],[]
60,231,com_231,[],[],[],[],[]
61,382,astrology_382,['Do Not Sell My Info'],[],[],[],[]
62,164,dailykos_164,['Do Not Sell My Info'],[],[],[],[]
63,802,carwale_802,[],[],[],[],[]
64,997,com_997,['Do Not Sell'],[],[],[],[]
65,617,computerhope_617,[],[],[],[],[]
66,477,calculatorsoup_477,[],[],[],[],[]
67,467,convertunits_467,[],[],[],[],[]
68,70,cdc_70,[],[],[],[],[]
69,909,designcrowd_909,[],[],[],[],[]
70,334,dollardays_334,['Do Not Sell My Information'],[],[],[],[]
71,796,carmax_796,['Do Not Sell or Share My Information'],[],[],[],[]
72,110,biglots_110,['California Customers Only: Do Not Sell My Info'],[],[],[],[]
73,632,com_632,['Do Not Sell or Share My Personal Information'],[],[],[],[]
74,318,com_318,[],[],[],[],[]
75,112,ashleyfurniture_112,[],[],[''],[],[]
76,1053,chase_1053,[],[],[],[],[]
77,328,aliexpress_328,[],[],[],[],[]
78,898,behance_898,[],[],[],[],[]
79,858,cosmopolitan_858,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'DAA Industry Opt Out']",[],[]
80,999,cirquedusoleil_999,"['Do Not Sell or Share My Personal Data', 'Do Not Sell or Share My Personal Information']",[],"['Under the CPRA, you have the right to opt-out of the sale or sharing of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale or sharing of personal information by using this toggle switch. If you opt out we will not be able to offer you personalized ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
81,141,com_141,"[' Do Not Sell or Share My Personal Information', 'Do Not Sell or Share My Personal Information']",[],"['Under the California Consumer Privacy Act (CCPA) you have the right to opt-out of the sale of your personal information and the sharing of your personal information to third parties for cross-context behavioral advertsing. Other state privacy laws similar to the CCPA allow individuals similar rights. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
82,587,com_587,[],[],[],[],[]
