,Index,Word list
0,825,['Do not sell or share my personal information']
1,981,[]
2,373,['Do Not Sell My Personal Information']
3,145,[]
4,201,[]
5,726,['Your Privacy Choices ']
6,1052,[]
7,3,['Do not sell or share my personal information']
8,310,['Do Not Sell or Share My Personal Information']
9,347,['Do Not Sell or Share My Personal Information']
10,524,[]
11,916,[]
12,64,['Your Privacy Choices']
13,757,[]
14,276,['Do Not Sell My Personal Information']
15,666,['Do Not Sell Or Share My Personal Info']
16,534,[]
17,567,[]
18,1010,[]
19,396,['Do not sell or share my personal information']
20,69,['Do Not Sell My Personal Information']
21,1073,[]
22,486,[]
23,506,[]
24,819,['YOUR PRIVACY CHOICES ']
25,1044,[]
26,443,[]
27,378,"[' Do Not Sell or Share My Personal Information', 'Do Not Sell My Personal Information']"
28,830,[]
29,1017,[]
30,446,['Do not sell or share my personal information']
31,992,[]
32,762,"['Do Not Sell or Share My Personal Information', 'Submit Do Not Sell or Share Request']"
33,414,[]
34,1078,[]
35,236,[]
36,965,[]
37,196,['Your Privacy Choices']
38,169,['Your Privacy Choices']
39,386,[]
40,862,['Do not sell or share my personal information']
41,305,[]
42,171,[]
43,1034,[]
44,718,[]
45,501,[]
46,226,[]
47,18,['Do Not Sell My Information']
48,889,[]
49,881,[]
50,857,['Do Not Sell or Share My Info']
51,210,[]
52,450,[]
53,714,[]
54,266,['Your California Privacy Choices']
55,204,['Your Privacy Choices']
56,404,['Cookie settings | Your Privacy Choices']
57,929,[]
58,502,[]
59,649,[]
60,339,[]
61,400,[]
62,184,['Do Not Sell or Share My Personal Information']
63,865,['Do Not Sell My Personal Information']
64,410,[]
65,146,[]
66,1039,[]
67,547,[]
68,1057,[]
69,752,[]
70,21,['Do not sell or share my personal information']
71,1084,['Do Not Sell My Personal Information']
72,182,[]
73,1016,['            Your Privacy Choices']
74,672,[]
75,882,[]
76,926,['Do Not Sell or Share My Information']
77,626,['Your Privacy Choices']
78,616,[]
79,391,[]
80,808,['Your Privacy Choices']
81,455,[]
82,763,['                Your Privacy Choices']
83,601,[]
84,57,[]
85,1028,['do not sell my data']
86,685,[]
87,487,['Your Privacy Choices']
88,425,['Do not sell or share my personal information']
89,979,[]
90,978,[]
91,518,[]
92,803,[]
93,133,[]
94,76,"['Your Privacy Choices ', 'Do Not Sell or Share My Personal Information ']"
95,1025,[]
96,453,[]
97,688,['Do Not Sell or Share My Personal Information']
98,511,[]
99,260,[]
100,510,[]
101,888,['Do Not Sell My Personal Information']
102,303,['Do Not Sell My Personal Information']
103,208,['                                        Your privacy choices']
104,1060,[]
105,141,[' Do Not Sell or Share My Personal Information']
106,905,[]
107,313,[]
108,39,['Do Not Sell or Share My Personal Information']
109,536,[]
110,816,[' Do Not Sell My Personal Information']
111,956,[]
112,51,['        Do Not Sell My Personal Information']
113,50,[' Do Not Sell or Share My Personal Information or Limit the Use of My Sensitive Personal Information ']
114,827,['Your Privacy Choices & Opt-Out Rights']
115,218,['Do Not Sell or Share My Personal Information']
116,472,[]
117,864,['California Notice / Do Not Sell My Personal Information']
118,62,['Do Not Sell My Personal Information']
119,1080,[]
120,40,['Do Not Sell or Share My Personal Information']
121,982,['Do Not Sell My Personal Information']
122,811,['    YOUR PRIVACY CHOICES ']
123,32,['Do Not Sell or Share My Personal Information']
124,82,[]
125,445,['Do not sell or share my personal information']
126,696,[]
127,227,[]
128,759,[' Do Not Sell or Share My Personal Information ']
129,503,['Do not Sell or Share My Personal Data']
130,739,[]
131,505,['Do Not Sell My Personal Information']
132,413,[]
133,537,['Do Not Sell/Share My Personal Information']
134,1043,[]
135,904,[]
136,532,[]
137,689,[') Do Not Sell or Share my Personal Information']
138,994,['Do Not Sell or Share My Information']
139,13,[]
140,25,[]
141,350,[]
142,1003,[]
143,441,[]
144,366,['Do not Sell or Share My Personal Information']
145,130,['Do Not Sell or Share My Personal Information']
146,1036,[]
147,496,[]
148,154,[]
149,267,['            Your California Privacy Choices']
150,584,[]
151,280,['Do not sell my info']
152,669,[]
153,583,[]
154,977,[]
155,324,[]
156,943,['            Your California Privacy Choices']
157,314,[]
158,951,[]
159,142,['Do Not Sell or Share My Personal Information']
160,967,[]
161,71,['Do Not Sell My Personal Information']
162,407,[]
163,783,[]
164,75,[]
165,954,[]
166,124,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
167,613,['Do Not Sell or Share My Personal Information - Currently Sharing']
168,522,[]
169,548,[]
170,648,[]
171,252,['Do Not Sell or Share My Personal Information (Personal Data Opt-out)']
172,439,[]
173,144,[]
174,602,['Do Not Sell Or Share My Personal Information']
175,908,[]
176,357,['Do Not Sell or Share My Personal Information']
177,878,[]
178,903,[]
179,612,[]
180,287,[]
181,234,[]
182,394,[]
183,899,[]
184,751,[]
185,775,['Do Not Sell My Personal Information']
186,774,[]
187,624,[]
188,436,[]
189,438,[]
190,126,['Do Not Sell or Share My Personal Information']
191,390,[]
192,116,[]
193,721,['Do Not Sell or Share My Personal Information']
194,296,['Do Not Sell My Personal Information']
195,202,[]
196,1088,[]
197,131,['Do Not Sell My Info | ']
198,630,['Your Privacy Choices']
199,958,[]
200,480,[]
201,34,['Do Not Sell or Share My Personal Information']
202,898,[]
203,1050,[]
204,294,['Do Not Sell or Share My Personal Information']
205,119,['Do not sell my info']
206,168,[]
207,411,[]
208,621,[]
209,998,[]
210,1074,['                Do Not Sell/Share My Personal Information opens in new window']
211,67,[]
212,382,['Do Not Sell My Info']
213,346,['Do Not Sell My Personal Information']
214,727,[]
215,766,['Do not sell my info']
216,493,['Do Not Sell My Personal Information']
217,166,['Do Not Sell My Personal Information']
218,482,['Do not sell or share my personal information']
219,678,[]
220,297,[]
221,699,['Targeted Advertising Opt Out']
222,1072,[]
223,1018,[]
224,333,[]
225,417,[]
226,340,[]
227,631,['Do not sell my info']
228,512,[]
229,651,[]
230,485,['Your Privacy Choices ']
231,1002,[]
232,426,[]
233,654,[]
234,217,['Do not sell or share my personal information']
235,12,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
236,952,[]
237,618,[]
238,931,[]
239,768,['Do Not Sell My Personal Information']
240,1027,['Do Not Sell/Share My Personal Information']
241,1076,[]
242,681,[]
243,312,['Ad Opt out/ Do Not Sell My Personal Information']
244,483,[]
245,300,['          Do Not Sell or Share My Personal Information        ']
246,463,[]
247,160,['Do not sell my info']
248,833,['Do Not Sell My Personal Information']
249,489,['Your Privacy Choices']
250,190,['Your Privacy Choices']
251,223,['Do Not Share My Information/SPI']
252,523,[]
253,321,['Do Not Sell My Information']
254,625,[]
255,263,[]
256,603,['Do Not Sell My Personal Information']
257,782,[]
258,909,[]
259,858,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
260,969,[]
261,254,[]
262,520,[]
263,434,[]
264,698,[]
265,644,[]
266,731,[]
267,514,[]
268,565,[]
269,529,[]
270,694,['For CA and VA Residents']
271,70,[]
272,376,['request for further opt out of sale of your personal information']
273,769,['Do Not Sell My Personal Information']
274,97,['Do not sell my personal information']
275,230,[]
276,1058,[]
277,84,[]
278,995,[]
279,798,['Do Not Sell My Personal Information']
280,773,['Do not sell or share my personal information']
281,95,[]
282,799,[]
283,1001,[]
284,1085,[]
285,1070,[]
286,356,['Do Not Sell or Share My Personal Information']
287,549,[]
288,114,['For CA and VA Residents']
289,335,[]
290,756,[]
291,755,['Do Not Sell or Share My Personal Information']
292,658,['Your California Privacy Choices']
293,421,['Do Not Sell My Personal Information']
294,851,[]
295,112,[]
296,1056,[]
297,815,['Your Privacy Choices']
298,359,[]
299,338,[]
300,991,['Do Not Sell My Personal Information']
301,679,['Do Not Sell or Share My Personal Information']
302,331,[]
303,29,[]
304,578,[]
305,253,[]
306,113,['Do Not Sell or Share My Personal Information']
307,656,['Do Not Sell My']
308,957,['Your Ads Privacy Choices']
309,358,['Do Not Sell or Share My Personal Information']
310,750,[]
311,348,[]
312,887,[]
313,1012,[]
314,643,[]
315,1035,[]
316,697,[]
317,839,[]
318,953,[]
319,834,['Do Not Sell My Personal Information']
320,24,['Do Not Sell or Share My Personal Information']
321,281,[]
322,701,[]
323,934,['Do Not Sell or Share My Info']
324,304,['DO NOT SELL MY DATA']
325,479,[]
326,843,['Do Not Sell My Personal Information']
327,83,[]
328,708,[]
329,452,[]
330,1033,[]
331,849,[]
332,564,[]
333,1064,[]
334,561,[]
335,786,[]
336,693,['\t\t Your Privacy Choices']
337,206,[]
338,605,[]
339,918,['Your Privacy Choices ']
340,735,[]
341,1019,[]
342,692,[]
343,558,[]
344,657,['Opt Out']
345,344,['Your Privacy Choices']
346,364,['Do Not Sell or Share My Personal Information']
347,976,['Your Privacy Choices']
348,399,[]
349,855,['Do Not Sell']
350,494,[]
351,577,[]
352,996,[]
353,876,['Do Not Sell or Share My Personal Info']
354,1069,[]
355,709,['Do Not Sell My Info']
356,180,['Do Not Sell/Share My Personal Information']
357,779,[]
358,968,[]
359,233,"['Your Privacy Choices', 'DO NOT SELL MY INFO', 'Go to Opt Out Form ']"
360,23,[]
361,572,['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDo Not Sell or Share My Personal Information']
362,164,['Do Not Sell My Info']
363,289,['Do Not Sell My Personal Information']
364,42,['    Your Privacy Choices']
365,877,[]
366,642,[]
367,711,[]
368,622,[]
369,11,['Do not Sell or Share My Personal Information']
370,398,[]
371,545,[]
372,250,['Your Privacy Choices']
373,900,[]
374,56,['Do Not Sell My Personal Information']
375,770,[]
376,290,[]
377,65,[]
378,901,[]
379,539,[]
380,161,[]
381,789,[]
382,188,[]
383,824,['Do Not Sell or Share My Personal Information']
384,542,['Do not sell my info']
385,422,[]
386,632,['Do Not Sell or Share My Personal Information']
387,629,['Do Not Sell or Share My Personal Data']
388,222,[]
389,673,['Do not sell or share my personal information']
390,845,['Do Not Sell or Share My Personal Info']
391,270,[]
392,645,[]
393,60,[]
394,469,[]
395,53,[]
396,93,['Do not sell or share my personal information']
397,980,[]
398,5,[]
399,924,['Do Not Sell or Share My Personal Information']
400,1065,[]
401,63,[]
402,840,[]
403,213,[]
404,221,[]
405,1071,[]
406,794,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
407,33,[]
408,550,['        CCPA / Do Not Sell My Info']
409,1029,['California: Do Not Sell My Personal Information']
410,509,[]
411,527,[]
412,610,['Do not sell or share my personal information']
413,235,['Do Not Sell My Info']
414,922,[]
415,499,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights']"
416,397,[]
417,277,['Do not Sell or Share My Personal Information']
418,989,[]
419,384,[]
420,1,[]
421,573,['Your Privacy Choices']
422,586,[]
423,374,['                        Your Privacy Choices']
424,420,['Do Not Sell My Personal Information']
425,286,[]
426,650,[]
427,530,[]
428,109,['          Do not sell or share my personal information']
429,288,[]
430,429,[]
431,797,[]
432,589,[]
433,559,[]
434,670,['Do Not Sell or Share My Information']
435,801,['Do Not Sell My Personal Information']
436,986,[]
437,278,[]
438,165,[]
439,349,[]
440,724,[]
441,117,['Do not sell my info']
442,863,[]
443,1024,[]
444,327,[]
445,848,[]
446,325,['Do Not Sell My Personal Information']
447,687,['Do Not Sell Or Share My Personal Data']
448,372,['Do Not Sell or Share My Personal Information']
449,1051,[]
450,189,[]
451,459,[]
452,31,['Do Not Sell My Personal Information']
453,1079,[]
454,362,['Your California Privacy Choices']
455,507,['Do Not Sell or Share My Personal Info']
456,205,['Do Not Sell Or Share My Personal Information']
457,465,[]
458,148,[]
459,8,['Do Not Sell or Share My Personal Information']
460,686,[]
461,4,['Do Not Sell or Share My Personal Information']
462,268,['Your Privacy Choices']
463,594,['Do Not Sell or Share My Personal Information']
464,705,[]
465,970,[]
466,596,['Do Not Sell My Data']
467,1013,[]
468,262,[]
469,664,['      Do Not Sell or Share My Personal Information']
470,315,[]
471,780,[]
472,28,[]
473,1089,['Do Not Sell My Personal Information']
474,1075,[]
475,301,['Do not sell my personal information']
476,513,[]
477,1059,['Your California Privacy Choices']
478,412,[]
479,1007,[]
480,760,[]
481,597,['Do Not Sell or Share My Personal information']
482,734,[]
483,691,[]
484,716,[]
485,921,[]
486,720,['Do Not Sell or Share My Personal Information']
487,800,"['CA Do Not Sell or Share My Information', 'Offline Do Not Sell or Share My Information']"
488,599,['Do Not Sell Or Share My Personal Information']
489,910,[]
490,990,[]
491,155,[]
492,478,[]
493,950,[]
494,633,[]
495,1061,['Your California Privacy Choices']
496,743,[]
497,569,['Your Privacy Choices']
498,94,[]
499,191,[]
500,418,[]
501,476,[]
502,939,[]
503,92,[]
504,591,[]
505,744,[]
506,923,[]
507,107,"['    Do Not Sell My Personal Information', 'Do Not Sell Your Info']"
508,211,[]
509,1022,['Do Not Sell My Personal Information']
510,984,['Ad Data Opt Out']
511,495,[]
512,707,['                Your Privacy Choices']
513,323,[]
514,1000,[]
515,528,[]
516,961,[]
517,519,[]
518,490,['Do Not Sell or Share My Personal Information']
519,181,[]
520,237,[]
521,245,[]
522,257,[]
523,317,[]
524,1008,[]
525,810,[]
526,655,[]
527,607,[]
528,535,[]
529,717,['DO NOT SELL OR SHARE MY PERSONAL INFO']
530,997,[]
531,677,['Do not sell or share my personal information']
532,608,[]
533,174,[]
534,635,['Do not sell or share my personal information']
535,48,[]
536,342,[]
537,937,[]
538,81,[]
539,466,[]
540,531,[]
541,817,['Your Privacy Choices & Opt-Out Rights']
542,869,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
543,828,[]
544,1086,['Do not sell or share my personal information']
545,43,['Do Not Sell My Info']
546,715,[' DO NOT SELL OR SHARE MY PERSONAL INFO ']
547,809,['Your Privacy Choices ']
548,703,['Do Not Sell or Share My Personal Information']
549,872,['Do Not Sell']
550,207,['My Privacy Choices']
551,777,[]
552,932,['Your Privacy Choices']
553,475,[]
554,831,[]
555,464,[]
556,292,[]
557,432,[]
558,68,[]
559,883,[]
560,947,[]
561,1011,[]
562,7,['Do Not Sell or Share My Personal Info']
563,792,['Do Not Sell or Share My Personal Information']
564,975,[]
565,945,[]
566,37,[]
567,836,['Do not sell my personal information']
568,802,[]
569,369,[]
570,246,[]
571,371,[]
572,402,['Manage cookies/Do not sell my data']
573,172,[]
574,26,['Do Not Sell or Share My Personal Information']
575,742,['Do Not Sell My Personal Information']
576,638,[]
577,209,[]
578,232,['Your Ads Privacy Choices']
579,311,['Do Not Sell or Share My Personal Information']
580,219,['Your Ads Privacy Choices']
581,332,[]
582,653,[]
583,55,[]
584,100,[' Your Privacy Choices']
585,1042,[]
586,249,[]
587,925,['Do Not Sell My Personal Information']
588,562,[]
589,761,['Do Not Sell or Share My Personal Information']
590,87,['Do Not Sell My Personal Information']
591,556,['Do Not Sell My Personal Information']
592,251,[]
593,914,[]
594,30,[]
595,1026,['Do Not Sell My Personal Information']
596,1004,[]
597,517,[]
598,370,['Targeted Advertising Opt Out']
599,907,[]
600,806,[]
601,785,[]
602,54,['Do Not Sell My Personal Info']
603,879,[]
604,1082,[]
605,135,['Do Not Sell My Personal Information']
606,405,[]
607,516,[]
608,949,[]
609,108,[]
610,946,[]
611,244,[]
612,192,[]
613,637,[]
614,838,['Do Not Sell My Personal Information']
615,712,[]
616,619,[]
617,273,[]
618,365,['Do Not Sell or Share My Personal Information']
619,987,['Do Not Sell or Share My Personal Information']
620,98,['Do Not Sell My Info']
621,675,"[' Do Not Sell or Share My Personal Information ', 'Opt Out of Facebook Commenting', 'Directions to Opt Out of Facebook Commenting']"
622,159,['Do Not Sell/Share My Personal Information']
623,1045,['Your California privacy choices']
624,194,['Your Privacy Choices']
625,284,[]
626,912,[]
627,894,['Opt Out']
628,0,[]
629,395,['Do Not Sell My Info']
630,993,['Do Not Sell or Share My Personal Information']
631,732,[]
632,832,[]
633,971,[]
634,353,['Do Not Sell or Share My Personal Information']
635,203,[]
636,2,[]
637,186,['Do Not Sell My Personal Information']
638,136,['Do Not Sell or Share My Personal Information']
639,552,['Do Not Sell or Share My Info']
640,46,[]
641,680,['Do Not Sell or Share My Personal Info']
642,433,[]
643,571,['Do Not Sell My Personal Information']
644,776,[]
645,392,[]
646,842,[]
647,959,['Do Not Sell or Share My Personal Information']
648,885,[]
649,960,[]
650,173,[]
651,538,[]
652,22,['Do Not Sell or Share My Personal Information']
653,1055,[]
654,101,[]
655,461,[]
656,440,[]
657,447,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
658,788,[]
659,854,[]
660,255,[]
661,662,[]
662,963,[]
663,640,[]
664,401,[]
665,185,[]
666,1054,['Do Not Sell or Share My Personal Information']
667,663,[]
668,449,[]
669,933,['                                Do not sell my personal information']
670,454,['Do Not Sell My PI']
671,580,['Do not sell my information']
672,1077,['Do Not Sell My Personal Information']
673,706,[]
674,1006,[]
675,856,[]
676,248,[]
677,574,[]
678,1014,[]
679,1046,['Do Not Sell or Share My Personal Information']
680,279,[]
681,702,['          Do Not Sell or Share My Personal Information        ']
682,823,['Do Not Sell or Share My Personal Information ']
683,467,[]
684,665,['Do not sell or share my personal information']
685,431,[]
686,1083,[]
687,10,[]
688,944,['Do Not Sell My Personal Information']
689,614,[]
690,893,[]
691,1063,['Do Not Sell or Share My Personal Information (CA residents only)']
692,89,[]
693,261,['                        Do Not Sell']
694,700,['Do Not Sell or Share My Personal Information']
695,941,[]
696,820,['Do Not Sell or Share My Personal Information']
697,91,[]
698,163,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights']"
699,175,[]
700,620,[]
701,795,['Do Not Sell My Personal Information']
702,121,[]
703,940,['Do Not Sell My Info']
704,220,[]
705,138,[]
706,730,[]
707,634,[]
708,875,[]
709,229,[]
710,778,[]
711,214,['Do not sell or share my personal information']
712,628,['Do not sell or share my info']
713,492,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
714,1081,[]
715,458,[]
716,258,['Do not sell my personal information']
717,435,[]
718,884,[]
719,176,['Do not sell or share my personal information']
720,66,[]
721,111,['Do Not Sell or Share My Personal Information']
722,880,['Do Not Sell My PI']
723,733,['Do not sell my personal information']
724,430,[]
725,930,[]
726,200,[]
727,852,['Your Privacy Choices']
728,274,['Do Not Sell']
729,818,['Your Privacy Choices']
730,847,[]
731,579,['Do Not Sell or Share My Personal Information']
732,78,['Do Not Sell My Personal Information']
733,985,[]
734,460,[]
735,593,"['CA Do Not Sell/Share My Personal Information', 'Targeted Advertising Opt Out']"
736,1009,[]
737,955,[]
738,474,[]
