,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,213,com_213,[],[],[],[],[]
1,95,etsy_95,[],[],[],[],[]
2,65,zocdoc_65,[],[],[],[],[]
3,227,wiley_227,[],[],[],[],[]
4,202,com_202,[],[],[],[],[]
5,225,barnesandnoble_225,[],[],[],[],[]
6,350,diy_350,[],[],[],[],[]
7,74,everydayhealth_74,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
8,384,ganeshaspeaks_384,[],[],[],[],[]
9,212,peta_212,[],[],['Current subscribers: You will continue to receive e-mail unless you explicitly opt out by clicking '],[],[]
10,257,abebooks_257,[],['Your Ads Privacy Choices'],[],[],[]
11,260,vitalsource_260,[],[],[],[],[]
12,354,etsy_354,[],[],[],[],[]
13,313,woot_313,[],[],[],[],[]
14,178,dailymail_178,"['If you do not wish for us or our partners to use and disclose your personal information to third parties in this manner, which is considered a “sale” under the CCPA, select the applicable control from the “Do Not Sell My Info” link.', 'Do Not Sell My Info”', 'Additionally, although clicking the “Do Not Sell My Info” link will opt you out of the sale of your personal information for advertising purposes, it will not opt you out of the use of previously collected and sold personal information or all context-based advertising.', 'Do not sell or share my personal information']",[],"['In relation to email marketing communications, we may send you such communications when we have your consent, or when you are an existing customer who has previously bought or subscribed to a similar product or service from us. You may opt out of email marketing communications when your personal information is first collected as part of that purchase or subscription.', 'We may match your data with data held by CACI, to add extra lifestyle and demographic insight information to your account with us which we then use to make our marketing more relevant to you (subject to your communication preferences and our internal policies and procedures). We can only obtain this information where they have your permission to share this information with us in line with their privacy policies. You can opt-out of having your personal information profiled in this way by contacting us, or our joint controllers, or adjusting your account settings. For more information about these activities and the data provided, and to opt out of their programmes directly, please visit them at CACI.', '. You can also control their use on our sites, or opt out of all non-essential site tracking, via our Cookie Settings Tool linked to above. Our Cookie Settings Tool also specifies which partners rely on your consent and which partners rely on legitimate interests to use your data.', 'Opt out of interest-based ads', 'To withdraw your consent for those cookies or to otherwise opt out of their services directly, please visit ', ' tool where we provide you with their details, links to their privacy notices and the ability to opt out of their use.', 'If you access this site or app from other devices or browsers, visit the link below from those devices or browsers to ensure your choice applies to the data collected when you use those devices or browsers. If you use different browsers, devices or platforms, you will need to opt out on each browser, device or platform.']",['11. Your rights under the CCPA (for California residents only)'],[]
15,134,livinglocurto_134,[],[],[],[],[]
16,30,com_30,[],[],[],[],[]
17,295,net_295,"['Do Not Sell or Share My Personal Data', 'Do Not Sell or Share My Personal Information']",[],"['OPT OUT OF SALES REQUEST', 'Welcome! Please complete this form to opt out of Slickdeals sales of personal information subject to state privacy laws, including sharing for targeted (cross-context behavioral) advertising. We will respond to such requests to the extent required by law.', 'This opt-out request does not apply to third parties that may continue to use cookies or other non-cookie technologies to collect personal information from Slickdeals properties, emails, and texts for interest-based advertising. \xa0To opt out of these third-party practices, you should also use the industry tools that are linked below.']",[],[]
18,89,mom365_89,[],[],[],[],[]
19,336,salehoo_336,[],[],[],[],[]
