,Unnamed: 0,url,Index,2023-01-31 Selenium,2023-02-18 Selenium
17,17,https://www.theatlantic.com/,167,Do Not Sell My Personal Information,Do Not Sell Or Share My Personal Information
65,65,https://www.dogster.com/,215,DO NOT SELL MY INFORMATION,
74,74,https://www.scribd.com/,224,,Do not sell or share my personal information
530,530,https://www.economist.com/,1029,,Do Not Sell My Personal Information
605,605,https://www.tasteofhome.com/,11,Do Not Sell My Personal Information – CA Residents,
638,638,https://www.tacobell.com/,44,,Do Not Sell or Share My Personal Information
708,708,https://www.sorel.com/,757,California Residents: Do Not Sell My Info,Do Not Sell or Share My Information
737,737,https://www.airforce.com/,786,Do Not Sell or Share My Personal Information,
772,772,https://www.porsche.com/usa/,821,Do Not Sell or Share My Personal Information,
813,813,https://www.cabelas.com/shop/en#,368,Do Not Sell My Personal Information,Do Not Sell Or Share My Personal Information
819,819,https://www.hsn.com/,374,Do Not Sell My Personal Information,
901,901,https://www.ae.com/us/en,700,,Do Not Sell or Share My Personal Information
908,908,https://www.thenorthface.com/en-us?_sr=1,707,Do Not Sell My Personal Information,
916,916,https://www.katespade.com/,715,,DO NOT SELL OR SHARE MY PERSONAL INFO
921,921,https://www.glassesusa.com/,720,,Do Not Sell or Share My Personal Information
1066,1066,https://www.progressive.com/,1066,Do Not Sell or Share My Personal Information (CA Residents Only),
