,Index,Text,Dates
0,0,Do not sell,"['2023-04-05', '2023-04-17']"
1,1,No,"['2023-04-05', '2023-04-17']"
2,2,Do not sell,"['2023-04-05', '2023-04-17']"
3,3,Do not sell or share,"['2023-04-05', '2023-04-17']"
4,4,Do not sell or share,"['2023-04-05', '2023-04-17']"
5,5,Do not sell,"['2023-04-05', '2023-04-17']"
6,6,No,"['2023-04-05', '2023-04-17']"
7,7,Do not sell or share,"['2023-04-05', '2023-04-17']"
8,8,Do not sell or share,"['2023-04-05', '2023-04-17']"
9,9,Do not sell,"['2023-04-05', '2023-04-17']"
10,10,No,"['2023-04-05', '2023-04-17']"
11,11,Do not sell,"['2023-04-05', '2023-04-17']"
12,12,No,"['2023-04-05', '2023-04-17']"
13,13,Do not sell,"['2023-04-05', '2023-04-17']"
14,14,No,"['2023-04-05', '2023-04-17']"
15,15,No,"['2023-04-05', '2023-04-17']"
16,16,No,"['2023-04-05', '2023-04-17']"
17,17,Do not sell,"['2023-04-05', '2023-04-17']"
18,18,Do not sell,"['2023-04-05', '2023-04-17']"
19,19,Do not sell,"['2023-04-05', '2023-04-17']"
20,20,No,"['2023-04-05', '2023-04-17']"
21,21,Do not sell or share,"['2023-04-05', '2023-04-17']"
22,22,Do not sell or share,"['2023-04-05', '2023-04-17']"
23,23,No,"['2023-04-05', '2023-04-17']"
24,24,Do not sell or share,"['2023-04-05', '2023-04-17']"
25,25,No,"['2023-04-05', '2023-04-17']"
26,26,Do not sell or share,"['2023-04-05', '2023-04-17']"
27,27,No,"['2023-04-05', '2023-04-17']"
28,28,No,"['2023-04-05', '2023-04-17']"
29,29,No,"['2023-04-05', '2023-04-17']"
30,30,No,"['2023-04-05', '2023-04-17']"
31,31,Do not sell,"['2023-04-05', '2023-04-17']"
32,32,Do not sell or share,"['2023-04-05', '2023-04-17']"
33,33,No,"['2023-04-05', '2023-04-17']"
34,34,Do not sell or share,"['2023-04-05', '2023-04-17']"
35,35,Do not sell,"['2023-04-05', '2023-04-17']"
36,36,No,"['2023-04-05', '2023-04-17']"
37,37,No,"['2023-04-05', '2023-04-17']"
38,38,Do not sell,"['2023-04-05', '2023-04-17']"
39,39,Do not sell or share,"['2023-04-05', '2023-04-17']"
40,40,Do not sell or share,"['2023-04-05', '2023-04-17']"
41,41,Do not sell or share,"['2023-04-05', '2023-04-17']"
42,42,No,"['2023-04-05', '2023-04-17']"
43,43,Do not sell,"['2023-04-05', '2023-04-17']"
