,Index,Text,Dates
0,0,Do not sell,"['2023-02-16', '2023-02-21']"
1,1,No,"['2023-02-16', '2023-02-21']"
2,2,Do not sell,"['2023-02-16', '2023-02-21']"
3,3,Do not sell or share,['2023-02-21']
4,4,Do not sell,"['2023-02-16', '2023-02-21']"
5,5,Do not sell,"['2023-02-16', '2023-02-21']"
6,6,No,"['2023-02-16', '2023-02-21']"
7,7,Do not sell or share,"['2023-02-16', '2023-02-21']"
8,8,Do not sell or share,"['2023-02-16', '2023-02-21']"
9,9,Do not sell,"['2023-02-16', '2023-02-21']"
10,10,No,"['2023-02-16', '2023-02-21']"
11,11,Do not sell,"['2023-02-16', '2023-02-21']"
12,12,No,"['2023-02-16', '2023-02-21']"
13,13,Do not sell,"['2023-02-16', '2023-02-21']"
14,14,No,"['2023-02-16', '2023-02-21']"
15,15,No,"['2023-02-16', '2023-02-21']"
16,16,No,"['2023-02-16', '2023-02-21']"
17,17,Do not sell,"['2023-02-16', '2023-02-21']"
18,18,Do not sell,['2023-02-21']
19,19,Do not sell,"['2023-02-16', '2023-02-21']"
20,20,No,"['2023-02-16', '2023-02-21']"
21,21,Do not sell or share,['2023-02-21']
22,22,Do not sell or share,"['2023-02-16', '2023-02-21']"
23,23,No,"['2023-02-16', '2023-02-21']"
24,24,Do not sell or share,"['2023-02-16', '2023-02-21']"
25,25,No,['2023-02-21']
26,26,Do not sell,"['2023-02-16', '2023-02-21']"
27,27,No,"['2023-02-16', '2023-02-21']"
28,28,No,"['2023-02-16', '2023-02-21']"
29,29,No,"['2023-02-16', '2023-02-21']"
30,30,No,"['2023-02-16', '2023-02-21']"
31,31,Do not sell,"['2023-02-16', '2023-02-21']"
32,32,Do not sell,['2023-02-21']
33,33,No,"['2023-02-16', '2023-02-21']"
34,34,Do not sell,"['2023-02-16', '2023-02-21']"
35,35,Do not sell,"['2023-02-16', '2023-02-21']"
36,36,No,"['2023-02-16', '2023-02-21']"
37,37,No,"['2023-02-16', '2023-02-21']"
38,38,No,"['2023-02-16', '2023-02-21']"
39,39,Do not sell or share,"['2023-02-16', '2023-02-21']"
40,41,Do not sell or share,"['2023-02-16', '2023-02-21']"
41,42,No,"['2023-02-16', '2023-02-21']"
42,43,Do not sell,"['2023-02-16', '2023-02-21']"
43,44,Do not sell or share,"['2023-02-16', '2023-02-21']"
44,45,No,"['2023-02-16', '2023-02-21']"
45,46,No,"['2023-02-16', '2023-02-21']"
46,47,No,"['2023-02-16', '2023-02-21']"
47,48,No,"['2023-02-16', '2023-02-21']"
48,49,No,"['2023-02-16', '2023-02-21']"
49,50,Ambiguous,['2023-02-21']
50,51,No,"['2023-02-16', '2023-02-21']"
51,52,Do not sell,"['2023-02-16', '2023-02-21']"
52,53,No,"['2023-02-16', '2023-02-21']"
53,54,Do not sell,"['2023-02-16', '2023-02-21']"
54,55,No,"['2023-02-16', '2023-02-21']"
55,56,No,"['2023-02-16', '2023-02-21']"
56,57,No,"['2023-02-16', '2023-02-21']"
57,58,No,['2023-02-16']
58,59,No,['2023-02-16']
59,60,No,"['2023-02-16', '2023-02-21']"
60,61,No,"['2023-02-16', '2023-02-21']"
61,62,Do not sell,['2023-02-21']
62,63,No,"['2023-02-16', '2023-02-21']"
63,64,No,"['2023-02-16', '2023-02-21']"
64,66,No,"['2023-02-16', '2023-02-21']"
65,67,No,"['2023-02-16', '2023-02-21']"
66,68,No,"['2023-02-16', '2023-02-21']"
67,69,Do not sell,"['2023-02-16', '2023-02-21']"
68,70,No,"['2023-02-16', '2023-02-21']"
69,71,No,"['2023-02-16', '2023-02-21']"
70,72,No,"['2023-02-16', '2023-02-21']"
71,73,No,"['2023-02-16', '2023-02-21']"
72,74,Do not sell,"['2023-02-16', '2023-02-21']"
73,75,No,['2023-02-21']
74,76,No,"['2023-02-16', '2023-02-21']"
75,77,Do not sell,"['2023-02-16', '2023-02-21']"
76,78,Do not sell,"['2023-02-16', '2023-02-21']"
77,79,No,"['2023-02-16', '2023-02-21']"
78,80,Do not sell or share,"['2023-02-16', '2023-02-21']"
79,81,No,"['2023-02-16', '2023-02-21']"
80,82,No,['2023-02-21']
81,83,No,"['2023-02-16', '2023-02-21']"
82,84,No,"['2023-02-16', '2023-02-21']"
83,85,No,"['2023-02-16', '2023-02-21']"
84,86,No,"['2023-02-16', '2023-02-21']"
85,87,Do not sell,"['2023-02-16', '2023-02-21']"
86,88,Do not sell,"['2023-02-16', '2023-02-21']"
87,89,No,"['2023-02-16', '2023-02-21']"
88,90,No,"['2023-02-16', '2023-02-21']"
89,91,No,"['2023-02-16', '2023-02-21']"
90,92,No,"['2023-02-16', '2023-02-21']"
91,93,Do not sell or share,"['2023-02-16', '2023-02-21']"
92,94,No,"['2023-02-16', '2023-02-21']"
93,95,No,"['2023-02-16', '2023-02-21']"
94,96,No,"['2023-02-16', '2023-02-21']"
95,97,Do not sell,"['2023-02-16', '2023-02-21']"
96,98,Do not sell,"['2023-02-16', '2023-02-21']"
97,99,No,"['2023-02-16', '2023-02-21']"
98,100,No,"['2023-02-16', '2023-02-21']"
99,101,No,"['2023-02-16', '2023-02-21']"
100,102,Do not sell,"['2023-02-16', '2023-02-21']"
101,103,No,"['2023-02-16', '2023-02-21']"
102,104,Do not sell,"['2023-02-16', '2023-02-21']"
103,105,No,"['2023-02-16', '2023-02-21']"
104,106,No,"['2023-02-16', '2023-02-21']"
105,107,Ambiguous,"['2023-02-16', '2023-02-21']"
106,108,No,"['2023-02-16', '2023-02-21']"
107,109,No,"['2023-02-16', '2023-02-21']"
108,110,Do not sell,"['2023-02-16', '2023-02-21']"
109,111,Do not sell or share,"['2023-02-16', '2023-02-21']"
110,112,Do not sell,"['2023-02-16', '2023-02-21']"
111,113,Do not sell,"['2023-02-16', '2023-02-21']"
112,115,Do not sell or share,"['2023-02-16', '2023-02-21']"
113,116,Do not sell,"['2023-02-16', '2023-02-21']"
114,117,Do not sell,"['2023-02-16', '2023-02-21']"
115,118,No,"['2023-02-16', '2023-02-21']"
116,119,Do not sell,"['2023-02-16', '2023-02-21']"
117,120,Do not sell,"['2023-02-16', '2023-02-21']"
118,121,No,"['2023-02-16', '2023-02-21']"
119,122,No,"['2023-02-16', '2023-02-21']"
120,123,Do not sell,"['2023-02-16', '2023-02-21']"
121,124,No,['2023-02-21']
122,125,Do not sell,"['2023-02-16', '2023-02-21']"
123,126,Do not sell or share,"['2023-02-16', '2023-02-21']"
124,127,No,"['2023-02-16', '2023-02-21']"
125,128,No,"['2023-02-16', '2023-02-21']"
126,129,No,"['2023-02-16', '2023-02-21']"
127,130,Do not sell or share,['2023-02-21']
128,131,Do not sell,"['2023-02-16', '2023-02-21']"
129,132,Do not sell,"['2023-02-16', '2023-02-21']"
130,133,No,['2023-02-21']
131,134,No,"['2023-02-16', '2023-02-21']"
132,135,Do not sell,"['2023-02-16', '2023-02-21']"
133,136,Do not sell or share,"['2023-02-16', '2023-02-21']"
134,137,Do not sell,"['2023-02-16', '2023-02-21']"
135,138,No,"['2023-02-16', '2023-02-21']"
136,139,No,"['2023-02-16', '2023-02-21']"
137,140,No,"['2023-02-16', '2023-02-21']"
138,141,Do not sell or share,['2023-02-21']
139,142,Do not sell or share,['2023-02-21']
140,143,No,"['2023-02-16', '2023-02-21']"
141,144,No,"['2023-02-16', '2023-02-21']"
142,145,No,['2023-02-21']
143,146,No,"['2023-02-16', '2023-02-21']"
144,147,No,"['2023-02-16', '2023-02-21']"
145,148,Do not sell,"['2023-02-16', '2023-02-21']"
146,149,No,"['2023-02-16', '2023-02-21']"
147,150,Do not sell or share,"['2023-02-16', '2023-02-21']"
148,151,No,"['2023-02-16', '2023-02-21']"
149,153,No,"['2023-02-16', '2023-02-21']"
150,154,No,['2023-02-21']
151,155,No,"['2023-02-16', '2023-02-21']"
152,156,No,"['2023-02-16', '2023-02-21']"
153,157,No,"['2023-02-16', '2023-02-21']"
154,158,Do not sell or share,"['2023-02-16', '2023-02-21']"
155,159,No,"['2023-02-16', '2023-02-21']"
156,160,Do not sell,"['2023-02-16', '2023-02-21']"
157,161,No,"['2023-02-16', '2023-02-21']"
158,162,No,"['2023-02-16', '2023-02-21']"
159,163,Do not sell or share,"['2023-02-16', '2023-02-21']"
160,164,Do not sell,"['2023-02-16', '2023-02-21']"
161,165,No,"['2023-02-16', '2023-02-21']"
162,166,Do not sell,"['2023-02-16', '2023-02-21']"
163,167,Do not sell or share,"['2023-02-16', '2023-02-21']"
164,168,No,"['2023-02-16', '2023-02-21']"
165,169,Do not sell,"['2023-02-16', '2023-02-21']"
166,170,No,"['2023-02-16', '2023-02-21']"
167,171,No,"['2023-02-16', '2023-02-21']"
168,172,No,"['2023-02-16', '2023-02-21']"
169,173,No,"['2023-02-16', '2023-02-21']"
170,174,No,"['2023-02-16', '2023-02-21']"
171,175,No,"['2023-02-16', '2023-02-21']"
172,176,Do not sell or share,"['2023-02-16', '2023-02-21']"
173,177,No,"['2023-02-16', '2023-02-21']"
174,178,Do not sell or share,"['2023-02-16', '2023-02-21']"
175,179,Do not sell or share,"['2023-02-16', '2023-02-21']"
176,180,Do not sell or share,"['2023-02-16', '2023-02-21']"
177,181,No,"['2023-02-16', '2023-02-21']"
178,182,No,"['2023-02-16', '2023-02-21']"
179,183,No,"['2023-02-16', '2023-02-21']"
180,184,Do not sell or share,"['2023-02-16', '2023-02-21']"
181,185,No,"['2023-02-16', '2023-02-21']"
182,186,Do not sell,"['2023-02-16', '2023-02-21']"
183,187,No,"['2023-02-16', '2023-02-21']"
184,188,No,"['2023-02-16', '2023-02-21']"
