,Index,Text,Dates
0,0,Do not sell,"['2023-01-04', '2023-01-12']"
1,1,No,"['2023-01-04', '2023-01-12']"
2,2,Do not sell,"['2023-01-04', '2023-01-12']"
3,4,Do not sell,"['2023-01-04', '2023-01-12']"
4,5,Do not sell,"['2023-01-04', '2023-01-12']"
5,6,No,"['2023-01-04', '2023-01-12']"
6,7,Do not sell or share,"['2023-01-04', '2023-01-12']"
7,8,Do not sell or share,"['2023-01-04', '2023-01-12']"
8,9,Do not sell,"['2023-01-04', '2023-01-12']"
9,10,No,"['2023-01-04', '2023-01-12']"
10,11,Ambiguous,"['2023-01-04', '2023-01-12']"
11,13,Do not sell,"['2023-01-04', '2023-01-12']"
12,14,No,"['2023-01-04', '2023-01-12']"
13,16,No,"['2023-01-04', '2023-01-12']"
14,17,Do not sell,"['2023-01-04', '2023-01-12']"
15,18,Do not sell,"['2023-01-04', '2023-01-12']"
16,19,Do not sell,"['2023-01-04', '2023-01-12']"
17,20,No,"['2023-01-04', '2023-01-12']"
18,21,Do not sell or share,"['2023-01-04', '2023-01-12']"
19,22,Do not sell or share,"['2023-01-04', '2023-01-12']"
20,23,No,"['2023-01-04', '2023-01-12']"
21,24,Do not sell or share,"['2023-01-04', '2023-01-12']"
22,25,No,"['2023-01-04', '2023-01-12']"
23,26,Do not sell,"['2023-01-04', '2023-01-12']"
24,27,No,"['2023-01-04', '2023-01-12']"
25,28,No,"['2023-01-04', '2023-01-12']"
26,29,No,"['2023-01-04', '2023-01-12']"
27,30,No,"['2023-01-04', '2023-01-12']"
28,31,Do not sell,"['2023-01-04', '2023-01-12']"
29,32,Do not sell or share,"['2023-01-04', '2023-01-12']"
30,33,No,"['2023-01-04', '2023-01-12']"
31,34,Do not sell,"['2023-01-04', '2023-01-12']"
32,35,Do not sell,"['2023-01-04', '2023-01-12']"
33,36,No,"['2023-01-04', '2023-01-12']"
34,37,No,"['2023-01-04', '2023-01-12']"
35,38,No,"['2023-01-04', '2023-01-12']"
36,39,Do not sell or share,"['2023-01-04', '2023-01-12']"
