,Index,Text,Dates
0,3,Do not sell or share,"['2023-03-08', '2023-03-21']"
1,5,Do not sell,"['2023-03-08', '2023-03-21']"
2,9,Do not sell,"['2023-03-08', '2023-03-21']"
3,10,No,"['2023-03-08', '2023-03-21']"
4,14,No,"['2023-03-08', '2023-03-21']"
5,17,Do not sell,"['2023-03-08', '2023-03-21']"
6,18,Do not sell,"['2023-03-08', '2023-03-21']"
7,19,Do not sell,"['2023-03-08', '2023-03-21']"
8,20,No,"['2023-03-08', '2023-03-21']"
9,21,Do not sell or share,"['2023-03-08', '2023-03-21']"
10,23,No,"['2023-03-08', '2023-03-21']"
11,25,No,"['2023-03-08', '2023-03-21']"
12,27,No,"['2023-03-08', '2023-03-21']"
13,28,No,"['2023-03-08', '2023-03-21']"
14,29,No,"['2023-03-08', '2023-03-21']"
15,30,No,"['2023-03-08', '2023-03-21']"
16,31,Do not sell,"['2023-03-08', '2023-03-21']"
17,33,No,"['2023-03-08', '2023-03-21']"
18,36,No,"['2023-03-08', '2023-03-21']"
19,37,No,"['2023-03-08', '2023-03-21']"
20,43,Do not sell,"['2023-03-08', '2023-03-21']"
21,46,No,"['2023-03-08', '2023-03-21']"
22,48,No,"['2023-03-08', '2023-03-21']"
23,49,No,"['2023-03-08', '2023-03-21']"
24,51,No,"['2023-03-08', '2023-03-21']"
25,52,Do not sell,"['2023-03-08', '2023-03-21']"
26,53,Do not sell,"['2023-03-08', '2023-03-21']"
27,54,Do not sell,"['2023-03-08', '2023-03-21']"
28,55,No,"['2023-03-08', '2023-03-21']"
29,57,No,"['2023-03-08', '2023-03-21']"
30,58,No,"['2023-03-08', '2023-03-21']"
31,59,No,"['2023-03-08', '2023-03-21']"
32,60,No,"['2023-03-08', '2023-03-21']"
33,62,Do not sell,"['2023-03-08', '2023-03-21']"
34,63,No,"['2023-03-08', '2023-03-21']"
35,68,No,"['2023-03-08', '2023-03-21']"
36,69,Do not sell,"['2023-03-08', '2023-03-21']"
37,70,No,"['2023-03-08', '2023-03-21']"
38,71,No,"['2023-03-08', '2023-03-21']"
39,72,No,"['2023-03-08', '2023-03-21']"
40,73,No,"['2023-03-08', '2023-03-21']"
41,74,Do not sell,"['2023-03-08', '2023-03-21']"
42,75,No,"['2023-03-08', '2023-03-21']"
43,78,Do not sell,"['2023-03-08', '2023-03-21']"
44,81,No,"['2023-03-08', '2023-03-21']"
45,82,No,"['2023-03-08', '2023-03-21']"
46,83,No,"['2023-03-08', '2023-03-21']"
47,84,No,"['2023-03-08', '2023-03-21']"
48,86,No,"['2023-03-08', '2023-03-21']"
49,87,Do not sell,"['2023-03-08', '2023-03-21']"
50,88,Do not sell,"['2023-03-08', '2023-03-21']"
51,89,No,"['2023-03-08', '2023-03-21']"
52,91,No,"['2023-03-08', '2023-03-21']"
53,92,No,"['2023-03-08', '2023-03-21']"
54,93,Do not sell or share,"['2023-03-08', '2023-03-21']"
55,94,No,"['2023-03-08', '2023-03-21']"
56,95,No,"['2023-03-08', '2023-03-21']"
57,97,Do not sell,"['2023-03-08', '2023-03-21']"
58,98,Do not sell,"['2023-03-08', '2023-03-21']"
59,99,No,"['2023-03-08', '2023-03-21']"
60,101,No,"['2023-03-08', '2023-03-21']"
61,105,No,"['2023-03-08', '2023-03-21']"
62,106,No,"['2023-03-08', '2023-03-21']"
63,107,Ambiguous,"['2023-03-08', '2023-03-21']"
64,108,No,"['2023-03-08', '2023-03-21']"
65,109,No,"['2023-03-08', '2023-03-21']"
66,110,Do not sell,"['2023-03-08', '2023-03-21']"
67,114,No,"['2023-03-08', '2023-03-21']"
68,115,Do not sell or share,"['2023-03-08', '2023-03-21']"
69,116,Do not sell,"['2023-03-08', '2023-03-21']"
70,117,Do not sell,"['2023-03-08', '2023-03-21']"
71,118,No,"['2023-03-08', '2023-03-21']"
72,119,Do not sell,"['2023-03-08', '2023-03-21']"
73,122,No,"['2023-03-08', '2023-03-21']"
74,125,Do not sell,"['2023-03-08', '2023-03-21']"
75,127,No,"['2023-03-08', '2023-03-21']"
76,128,No,"['2023-03-08', '2023-03-21']"
77,129,No,"['2023-03-08', '2023-03-21']"
78,132,Do not sell,"['2023-03-08', '2023-03-21']"
79,133,No,"['2023-03-08', '2023-03-21']"
80,135,Do not sell,"['2023-03-08', '2023-03-21']"
81,138,No,"['2023-03-08', '2023-03-21']"
82,139,No,"['2023-03-08', '2023-03-21']"
83,143,No,"['2023-03-08', '2023-03-21']"
84,146,No,"['2023-03-08', '2023-03-21']"
85,147,No,"['2023-03-08', '2023-03-21']"
86,148,Do not sell,"['2023-03-08', '2023-03-21']"
87,149,No,['2023-03-08']
88,151,No,"['2023-03-08', '2023-03-21']"
89,152,Do not sell,"['2023-03-08', '2023-03-21']"
90,154,No,"['2023-03-08', '2023-03-21']"
91,155,No,"['2023-03-08', '2023-03-21']"
92,159,No,"['2023-03-08', '2023-03-21']"
93,160,Do not sell,"['2023-03-08', '2023-03-21']"
94,162,No,"['2023-03-08', '2023-03-21']"
95,164,Do not sell,"['2023-03-08', '2023-03-21']"
96,165,No,"['2023-03-08', '2023-03-21']"
97,166,Do not sell,"['2023-03-08', '2023-03-21']"
98,170,No,"['2023-03-08', '2023-03-21']"
99,172,No,"['2023-03-08', '2023-03-21']"
100,174,No,"['2023-03-08', '2023-03-21']"
101,175,No,"['2023-03-08', '2023-03-21']"
102,176,Do not sell or share,"['2023-03-08', '2023-03-21']"
103,177,No,"['2023-03-08', '2023-03-21']"
104,178,Do not sell or share,"['2023-03-08', '2023-03-21']"
105,183,No,"['2023-03-08', '2023-03-21']"
106,185,No,"['2023-03-08', '2023-03-21']"
107,186,Do not sell,"['2023-03-08', '2023-03-21']"
