,Index,Check,filename,Text,Presence confirm
0,0,True,foodnetwork_0,Do not sell or share my personal information,Yes
1,1,True,,,
2,2,True,food_2,Do not sell or share my personal information,Yes
3,3,True,com_3,Do not sell or share my personal information,Yes
4,4,True,safeway_4,Do not sell or share my personal information,Yes
5,5,True,seriouseats_5,Do not sell my personal information,Yes
6,6,True,,,
7,7,True,eater_7,Do not sell or share my personal information,Yes
8,8,True,thrillist_8,Do not sell or share my personal information,Yes
9,9,True,myrecipes_9,Do not sell my personal information,Yes
10,10,True,,,
11,11,True,tasteofhome_11,California residents: do not sell my info,Yes
12,12,True,,,
13,13,True,marthastewart_13,California residents: do not sell my info,Yes
14,14,True,,,
15,15,True,,,
16,16,True,,,
17,17,True,grubhub_17,Do not sell my personal information,Yes
18,18,True,grubhub_18,Do not sell my personal information,Yes
19,19,True,seamless_19,Do not sell my personal information,Yes
20,20,True,,,
21,21,True,com_21,Do not sell or share my personal information,Yes
22,22,True,doordash_22,Do not sell or share my personal information,Yes
23,23,True,,,
24,24,True,trycaviar_24,Do not sell or share my personal information,Yes
25,25,True,,,
26,26,True,safeway_26,Do not sell or share my personal information,Yes
27,27,True,,,
28,28,True,,,
29,29,True,,,
30,30,True,,,
31,31,True,berries_31,Do not sell my personal information,Yes
32,32,True,harryanddavid_32,Do not sell or share my personal information,Yes
33,33,True,,,
34,34,True,albertsons_34,Do not sell or share my personal information,Yes
35,35,True,dominos_35,Do not sell or share my personal information,Yes
36,36,True,,,
37,37,True,,,
38,38,True,,,
39,39,True,mcdonalds_39,Do not sell or share my personal information,Yes
40,40,True,subway_40,Do not sell my personal information,Yes
41,41,True,olivegarden_41,Do not sell or share my personal information,Yes
42,42,True,,,
43,43,True,jimmyjohns_43,Do not sell my personal information,Yes
44,44,True,,,
45,45,True,,,
46,46,True,,,
47,47,True,,,
48,48,True,,,
49,49,True,,,
50,50,True,com_50,California residents: do not sell my info,Yes
51,51,True,livestrong_51,Do not sell my personal information,Yes
52,52,True,myfitnesspal_52,Do not sell my personal information,Yes
53,53,True,,,
54,54,True,weightwatchers_54,Do not sell my personal information,Yes
55,55,True,,,
56,56,True,,,
57,57,True,,,
58,58,True,,,
59,59,True,,,
60,60,True,,,
61,61,True,,,
62,62,True,healthgrades_62,Do not sell my personal information,Yes
63,63,True,,,
64,64,True,,,
65,65,True,,,
66,66,True,,,
67,67,True,,,
68,68,True,,,
69,69,True,medicinenet_69,Do not sell my personal information,Yes
70,70,True,,,
71,71,True,,,
72,72,True,,,
73,73,True,,,
74,74,True,everydayhealth_74,Do not sell my personal information,Yes
75,75,True,,,
76,76,True,,,
77,77,True,cvs_77,Do not sell or share my personal information,Yes
78,78,True,rxlist_78,Do not sell my personal information,Yes
79,79,True,,,
80,80,True,riteaid_80,Do not sell or share my personal information,Yes
81,81,True,,,
82,82,True,,,
83,83,True,,,
84,84,True,,,
85,85,True,,,
86,86,True,,,
87,87,True,everydayhealth_87,Do not sell my personal information,Yes
88,88,True,shape_88,Do not sell my personal information,Yes
89,89,True,,,
90,90,True,,,
91,91,True,,,
92,92,True,,,
93,93,True,com_93,Do not sell or share my personal information,Yes
94,94,True,,,
95,95,True,,,
96,96,True,,,
97,97,True,redbubble_97,Do not sell my personal information,Yes
98,98,True,1stdibs_98,Do not sell my personal information,Yes
99,99,True,,,
100,100,True,,,
101,101,True,,,
102,102,True,artsy_102,Do not sell my personal information,Yes
103,103,True,,,
104,104,True,saatchiart_104,Do not sell my personal information,Yes
105,105,True,,,
106,106,True,,,
107,107,True,potterybarn_107,Do not sell my personal information,Yes
108,108,True,,,
109,109,True,,,
110,110,True,biglots_110,Do not sell my personal information,Yes
111,111,True,worldmarket_111,Do not sell or share my personal information,Yes
112,112,True,ashleyfurniture_112,Do not sell or share my personal information,Yes
113,113,True,sleepnumber_113,Do not sell or share my personal information,Yes
114,114,True,,,
115,115,True,gardeningknowhow_115,Do not sell or share my personal information,Yes
116,116,True,treehugger_116,Do not sell my personal information,Yes
117,117,True,gardenweb_117,Do not sell my personal information,Yes
118,118,True,,,
119,119,True,houzz_119,Do not sell my personal information,Yes
120,120,True,hgtv_120,Do not sell or share my personal information,Yes
121,121,True,,,
122,122,True,,,
123,123,True,marthastewart_123,California residents: do not sell my info,Yes
124,124,True,,,
125,125,True,bhg_125,Do not sell my personal information,Yes
126,126,True,curbed_126,Do not sell or share my personal information,Yes
127,127,True,,,
128,128,True,,,
129,129,True,,,
130,130,True,hobbylobby_130,Do not sell or share my personal information,Yes
131,131,True,joann_131,Do not sell my personal information,Yes
132,132,True,craftsy_132,Do not sell my personal information,Yes
133,133,True,,,
134,134,True,,,
135,135,True,officedepot_135,Do not sell my personal information,Yes
136,136,True,staples_136,Do not sell or share my personal information,Yes
137,137,True,vistaprint_137,Do not sell my personal information,Yes
138,138,True,,,
139,139,True,,,
140,140,True,,,
141,141,True,com_141,Do not sell or share my personal information,Yes
142,142,True,dailywire_142,Do not sell or share my personal information,Yes
143,143,True,,,
144,144,True,,,
145,145,True,,,
146,146,True,,,
147,147,True,,,
148,148,True,com_148,California residents: do not sell my info,Yes
149,149,True,,,
150,150,True,theblaze_150,Do not sell or share my personal information,Yes
151,151,True,,,
152,152,True,com_152,Do not sell my personal information,Yes
153,153,True,,,
154,154,True,,,
155,155,True,,,
156,156,True,,,
157,157,True,,,
158,158,True,huffpost_158,Do not sell or share my personal information,Yes
159,159,True,,,
160,160,True,politico_160,Do not sell my personal information,Yes
161,161,True,,,
162,162,True,,,
163,163,True,go_163,Do not sell or share my personal information,Yes
164,164,True,dailykos_164,Do not sell my personal information,Yes
165,165,True,,,
166,166,True,com_166,Do not sell my personal information,Yes
167,167,True,theatlantic_167,Do not sell my personal information,Yes
168,168,True,,,
169,169,True,nbcnews_169,Do not sell my personal information,Yes
170,170,True,,,
171,171,True,,,
172,172,True,,,
173,173,True,,,
174,174,True,,,
175,175,True,,,
176,176,True,org_176,Do not sell or share my personal information,Yes
177,177,True,,,
178,178,True,dailymail_178,Do not sell or share my personal information,Yes
179,179,True,com_179,Do not sell or share my personal information,Yes
180,180,True,nydailynews_180,Do not sell or share my personal information,Yes
181,181,True,,,
182,182,True,,,
183,183,True,,,
184,184,True,latimes_184,Do not sell or share my personal information,Yes
185,185,True,,,
186,186,True,kickstarter_186,Do not sell my personal information,Yes
187,187,True,gofundme_187,Do not sell my personal information,Yes
188,188,True,,,
189,189,True,,,
190,190,True,,,
191,191,True,,,
192,192,True,,,
193,193,True,,,
194,194,True,,,
195,195,True,petco_195,California residents: do not sell my info,Yes
196,196,True,,,
197,197,True,,,
198,198,True,hillspet_198,Do not sell my personal information,Yes
199,199,True,,,
200,200,True,,,
201,201,True,,,
202,202,True,,,
203,203,True,,,
204,204,True,,,
205,205,True,petfinder_205,Do not sell or share my personal information,Yes
206,206,True,,,
207,207,True,,,
208,208,True,adoptapet_208,Do not sell my personal information,Yes
209,209,True,,,
210,210,True,,,
211,211,True,,,
212,212,True,,,
213,213,True,,,
214,214,True,backyardchickens_214,Do not sell or share my personal information,Yes
215,215,True,dogster_215,Do not sell my personal information,Yes
216,216,True,,,
217,217,True,com_217,Do not sell or share my personal information,Yes
218,218,True,thedodo_218,Do not sell or share my personal information,Yes
219,219,True,,,
220,220,True,,,
221,221,True,,,
222,222,True,,,
223,223,True,,,
224,224,True,scribd_224,Do not sell or share my personal information,Yes
225,225,False,,,
226,226,True,,,
227,227,True,,,
228,228,True,,,
229,229,True,,,
230,230,True,springer_230,Do not sell my personal information,Yes
231,231,True,,,
232,232,True,,,
233,233,True,chegg_233,Do not sell my personal information,Yes
234,234,True,,,
235,235,True,scholastic_235,Do not sell my personal information,Yes
236,236,True,,,
237,237,True,,,
238,238,True,publishersweekly_238,Do not sell my personal information,Yes
239,239,True,,,
240,240,True,,,
241,241,True,,,
242,242,True,,,
243,243,True,,,
244,244,True,,,
245,245,True,,,
246,246,True,,,
247,247,True,,,
248,248,True,,,
249,249,True,,,
250,250,True,,,
251,251,True,,,
252,252,True,kobo_252,Do not sell or share my personal information,Yes
253,253,True,com_253,,No
254,254,True,,,
255,255,True,com_255,Do not sell my personal information,Yes
256,256,True,,,
257,257,True,,,
258,258,True,oreilly_258,Do not sell my personal information,Yes
259,259,False,,,
260,260,True,,,
261,261,True,cengage_261,Do not sell my personal information,Yes
262,262,True,,,
263,263,True,,,
264,264,True,,,
265,265,True,,,
266,266,True,,,
267,267,True,,,
268,268,True,,,
269,269,True,yellowpages_269,Do not sell my personal information,Yes
270,270,True,,,
271,271,True,,,
272,272,True,,,
273,273,True,,,
274,274,True,angi_274,Do not sell my personal information,Yes
275,275,True,homeadvisor_275,California residents: do not sell my info,Yes
276,276,True,superpages_276,Do not sell my personal information,Yes
277,277,True,thumbtack_277,Do not sell or share my personal information,Yes
278,278,True,,,
279,279,True,,,
280,280,True,addresses_280,Do not sell my personal information,Yes
281,281,True,,,
282,282,True,,,
283,283,True,,,
284,284,True,,,
285,285,True,,,
286,286,True,,,
287,287,True,,,
288,288,True,,,
289,289,True,boattrader_289,Do not sell my personal information,Yes
290,290,True,,,
291,291,True,,,
292,292,True,,,
293,293,True,com_293,Do not sell my personal information,Yes
294,294,True,groupon_294,Do not sell or share my personal information,Yes
295,295,True,net_295,Do not sell my personal information,Yes
296,296,True,retailmenot_296,Do not sell my personal information,Yes
297,297,True,,,
298,298,True,,,
299,299,True,rakuten_299,Do not sell or share my personal information,Yes
300,300,True,zulily_300,Do not sell or share my personal information,Yes
301,301,True,com_301,Do not sell my personal information,Yes
302,302,True,us_302,Do not sell or share my personal information,Yes
303,303,True,offers_303,Do not sell my personal information,Yes
304,304,True,,,
305,305,True,,,
306,306,True,,,
307,307,True,,,
308,308,True,,,
309,309,True,,,
310,310,True,livingsocial_310,Do not sell or share my personal information,Yes
311,311,True,net_311,Do not sell my personal information,Yes
312,312,True,bizrate_312,Do not sell my personal information,Yes
313,313,True,,,
314,314,True,,,
315,315,True,,,
316,316,True,rakuten_316,Do not sell or share my personal information,Yes
317,317,True,,,
318,318,True,,,
319,319,True,mysimon_319,Do not sell my personal information,Yes
320,320,True,,,
321,321,True,shop_321,Do not sell my personal information,Yes
322,322,True,,,
323,323,True,,,
324,324,True,,,
325,325,True,com_325,Do not sell my personal information,Yes
326,326,True,,,
327,327,True,,,
328,328,True,,,
329,329,True,,,
330,330,True,,,
331,331,True,,,
332,332,True,,,
333,333,True,,,
334,334,True,dollardays_334,Do not sell my personal information,Yes
335,335,True,,,
336,336,True,,,
337,337,False,,,
338,338,True,,,
339,339,True,,,
340,340,True,,,
341,341,True,,,
342,342,True,,,
343,343,True,,,
344,344,True,ebay_344,Do not sell my personal information,Yes
345,345,True,,,
346,346,True,,,
347,347,True,,,
348,348,True,,,
349,349,True,,,
350,350,True,,,
351,351,True,,,
