,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presencee confirm,Text,Index
0,546,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
1,80,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
2,410,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
3,137,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
4,406,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
5,470,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
6,480,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
7,337,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
8,334,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0
9,506,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120
10,615,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444
11,77,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
12,49,mlb_503,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,503
13,25,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400
14,100,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426
15,255,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478
16,300,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26
17,241,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4
18,569,saveur_585,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell my personal information,585
19,55,sears_366,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,366
20,144,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113
21,128,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230
22,176,tasteofhome_11,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,11
23,209,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277
24,58,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583
25,142,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578
