,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,974,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
1,334,airforce_786,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,786
2,199,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
3,758,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
4,293,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
5,863,belk_377,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,377
6,221,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
7,609,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949
8,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1016
9,957,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,999
10,753,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
11,529,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717
12,983,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
13,853,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
14,999,dogster_215,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,215
15,871,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
16,575,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742
17,997,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772
18,184,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774
19,590,finishline_761,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,761
20,637,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
