,filename,step1 present,Number translated,Text translated,Text,Text present,Manual check,Index
0,742,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do not sell my personal information,742
1,0calc_469,No,o / o,"do not sell]

o/o",,No,No,469
2,123rf_1008,No,o / o,"do not sell]

o/o",,No,No,1008
3,1800petmeds_197,No,o / o,"do not sell]

o/o",,No,No,197
4,1ink_627,Yes,1,"do not sell]

""1",,No,**Dubious but NO,627
5,1stdibs_98,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,98
6,3wishes_733,Yes,1,Do not sell my personal information| 1/1,Do not sell my personal information,Yes,Do not sell my personal information,733
7,500px_1013,No,o / o,"do not sell]

o/o",,No,No,1013
8,6pm_695,No,o / o,"do not sell]

o/o",,No,No,695
9,90min_501,No,o / o,"do not sell]

o/o",,No,No,501
10,aa_538,No,o / o,"do not sell]

o/o",,No,No,538
11,abcya_470,No,o / o,"do not sell]

o/o",,No,No,470
12,abebooks_257,No,o / o,"do not sell]

o/o",,No,No,257
13,abt_603,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,603
14,academia_899,No,o / o,"do not sell]

o/o",,No,No,899
15,acer_625,No,o / o,"do not sell]

o/o",,No,No,625
16,acg_1065,No,o / o,"do not sell]

o/o",,No,No,1065
17,acs_418,No,o / o,"do not sell]

o/o",,No,No,418
18,active_493,Yes,3-Jan,Do Not Sell My Personal information| 1/3,Do not sell my personal information,Yes,Do Not Sell My Personal information,493
19,addgene_414,No,o / o,"do not sell]

o/o",,No,No,414
20,addresses_280,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,280
21,adobe_647,Yes,1,Do not sell or share my personal information,,Yes,Do not sell or share my personal information,647
22,adoptapet_208,Yes,1,Do not sell my information| val,Do not sell my personal information,Yes,Do not sell my information,208
23,adorama_623,No,o / o,"do not sell]

o/o",,No,No,623
24,ae_700,Yes,1,Do not sell my information| val,,Yes,Do Not Sell My Personal Information,700
25,aessuccess_1085,No,o / o,"do not sell]

o/o",,No,No,1085
26,aetna_1068,No,o / o,"do not sell]

o/o",,No,No,1068
27,agoda_574,No,o / o,"do not sell]

o/o",,No,No,574
28,airasia_543,No,o / o,"do not sell]

o/o",,No,No,543
29,airbnb_569,No,o / o,"do not sell]

o/o",,No,No,569
30,airbus_789,No,o / o,"do not sell]

o/o",,No,No,789
31,airfarewatchdog_564,Check,,,,Yes,No,564
32,airforce_786,No,o / o,"do not sell]

o/o",,No,No,786
33,airliners_784,No,o / o,"do not sell]

o/o",,No,No,784
34,airnav_788,No,o / o,"do not sell]

o/o",,No,No,788
35,airpair_914,No,o / o,"do not sell]

o/o",,No,No,914
36,ajmadison_605,No,o / o,"do not sell]

o/o",,No,No,605
37,akamai_509,No,o / o,"do not sell]

o/o",,No,No,509
38,akc_201,No,o / o,"do not sell]

o/o",,No,CA privacy rights?,201
39,alaskaair_548,No,o / o,"do not sell]

o/o",,No,No,548
40,albertsons_34,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal Information,34
41,alibaba_355,No,o / o,"do not sell]

o/o",,No,No,355
42,aliexpress_328,No,o / o,"do not sell]

o/o",,No,No,328
43,alison_953,No,o / o,"do not sell]

o/o",,No,No,953
44,all-free-download_1011,No,o / o,"do not sell]

o/o",,No,No,1011
45,allaboutbirds_192,No,o / o,"do not sell]

o/o",,No,No,192
46,allaboutcircuits_456,No,o / o,"do not sell]

o/o",,No,No,456
47,alldatasheet_451,No,o / o,"do not sell]

o/o",,No,No,451
48,allmusic_978,No,o / o,"do not sell]

o/o",,No,No,978
49,allposters_100,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,100
50,allrecipes_1089,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,1089
51,allstate_1070,No,o / o,"do not sell]

o/o",,No,No,1070
52,allure_874,No,o / o,"do not sell]

o/o",,No,No,874
53,allynscura_779,No,o / o,"do not sell]

o/o",,No,No,779
54,alternet_173,No,o / o,"do not sell]

o/o",,No,No,173
55,amazon_219,No,o / o,"do not sell]

o/o",,No,No,219
