,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,0,0,mazdausa_825,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,825
1,1,2,neimanmarcus_373,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,373
2,2,7,com_3,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,3
3,3,8,livingsocial_310,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,310
4,4,9,netflix_347,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,347
5,5,13,sorel_757,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,757
6,6,14,superpages_276,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,276
7,7,15,theverge_666,1,Yes,SELL OR SHARE MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell or share my personal information,666
8,8,19,org_396,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,396
9,9,20,medicinenet_69,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,69
10,10,27,burlington_378,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,378
11,11,30,space_446,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,446
12,12,32,famousfootwear_762,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,762
13,13,38,nbcnews_169,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,169
14,14,40,marieclaire_862,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,862
15,15,47,grubhub_18,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,18
16,16,50,refinery29_857,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,857
17,17,62,latimes_184,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,184
18,18,63,instyle_865,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,865
19,19,70,com_21,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,21
20,20,71,niche_1084,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1084
21,21,76,salary_926,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,926
22,22,85,inc_1028,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information,1028
23,23,87,nbcsports_487,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,487
24,24,88,livescience_425,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,425
25,25,99,sparknotes_888,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,888
26,26,100,offers_303,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,303
27,27,103,com_141,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,141
28,28,106,mcdonalds_39,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,39
29,29,108,bmwusa_816,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,816
30,30,113,thedodo_218,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,218
31,31,115,com_864,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,864
32,32,116,healthgrades_62,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,62
33,33,118,subway_40,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,40
34,34,119,last_982,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,982
35,35,123,autodesk_445,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,445
36,36,126,dsw_759,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,759
37,37,129,cbssports_505,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,505
38,38,131,southwest_537,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,537
39,39,133,dice_904,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,904
40,40,135,footlocker_689,1,Yes,ell or Share my Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,689
41,41,136,vividseats_994,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,994
42,42,137,marthastewart_13,1,Yes,california nM,Yes,Yes,California residents: do not sell my info,13
43,43,143,hobbylobby_130,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,130
44,44,149,addresses_280,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,280
45,45,157,dailywire_142,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,142
46,46,165,cdw_613,1,Yes,sonal Information - Currently Sharing] 1/1,Yes,Yes,Do not sell or share my personal information,613
47,47,169,kobo_252,1,Yes,Information (Personal Data Opt-out)| 1/1,Yes,Yes,Do not sell or share my personal information,252
48,48,172,whirlpool_602,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,602
49,49,174,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,357
50,50,183,glasses_775,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,775
51,51,188,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,126
52,52,190,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,116
53,53,192,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information,296
