,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,213,com_213,[],[],[],[],[]
1,95,etsy_95,[],[],[],[],[]
2,65,zocdoc_65,[''],['Your privacy choices'],[],[],[]
3,227,wiley_227,[],[],[],[],[]
4,202,com_202,[],[],[],[],[]
5,225,barnesandnoble_225,[],[],[],[],[]
6,350,diy_350,[],[],[],[],[]
7,74,everydayhealth_74,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
8,212,peta_212,[],[],['Current subscribers: You will continue to receive e-mail unless you explicitly opt out by clicking '],[],[]
9,257,abebooks_257,[],[],[],[],[]
10,260,vitalsource_260,[],[],[],[],[]
11,354,etsy_354,[],[],[],[],[]
12,313,woot_313,[],[],[],[],[]
13,178,dailymail_178,['Do not sell or share my personal information'],[],[],[],[]
14,134,livinglocurto_134,[],[],[],[],[]
15,30,com_30,[],[],[],[],[]
16,295,net_295,['Do Not Sell or Share My Personal Information'],[],[],[],[]
17,89,mom365_89,[],[],[],[],[]
18,336,salehoo_336,[],[],[],[],[]
19,69,medicinenet_69,['Do Not Sell My Personal Information'],[],['. I also agree to receive emails from MedicineNet and I understand that I may opt out of MedicineNet subscriptions at any time.\n        '],[],[]
20,219,amazon_219,[],['Your Ads Privacy Choices'],[],[],[]
21,133,com_133,[],[],[],[],[]
22,345,apple_345,[],[],[],[],[]
23,93,com_93,"['Do Not Sell Or Share My Personal Information', 'Do not sell or share my personal information.']",[],[],[],[]
24,215,dogster_215,['DO NOT SELL MY INFORMATION'],[],[],[],[]
25,15,thepioneerwoman_15,[],"['', 'Your Privacy Choices', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
26,42,panerabread_42,[],['\n    \n    Your Privacy Choices\n  '],[],[],[]
27,362,microsoft_362,[],['Your California Privacy Choices'],[],[],[]
28,8,thrillist_8,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
29,126,curbed_126,['Do Not Sell or Share My Personal Information'],[],[],[],[]
30,324,comparethemarket_324,[],[],[],[],[]
31,299,rakuten_299,['Do Not Sell or Share My Personal Information / Personal Data Opt-out'],[],[],[],[]
32,44,tacobell_44,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
33,67,nih_67,[],[],[],[],[]
34,140,foxnews_140,[],['Your Privacy Choices'],[],[],[]
35,268,yelp_268,[],"['', 'Your Privacy Choices']",[],[],[]
36,241,librarything_241,[],[],[],[],[]
37,337,wholesalecentral_337,[],[],[],[],[]
38,237,goodreads_237,[],[],[],[],[]
39,236,jstor_236,[],[],[],[],[]
40,116,treehugger_116,['Do Not Sell My Personal Information'],[],[],[],[]
41,120,hgtv_120,['Do Not Sell or Share My Personal Information'],[],"[""\nIf you are on the web, you can opt out of interest-based Google ads using Google's Ads Settings. Google also participates in the\nDAA WebChoices Tool (above).\n"", '\nThe Digital Advertising Alliance (""DAA"") and the Network Advertising Initiative (""NAI"") offer tools to provide consumers with\nchoices as to whether participating third parties can use your information to provide targeted advertising. To opt out of sharing\nyour information with such participating third parties for targeted advertising, please use the following tools:\n', '\nTo opt out of cross-device linking via the Adobe Experience Cloud Device Co-Op, please visit ', '\nPlease note, exercising any of the above opt outs does not prevent us from delivering non-targeted advertising or using personal information for advertising measurement purposes. ', 'Please note that you cannot opt out of data processing activities which are not considered a “sale” or “processing for targeted advertising” under applicable data protection law. Such activities may be necessary for the site or mobile app to function or to monitor the performance of our services or advertising campaigns, and to ensure that our services are functioning properly.']",[],[]
42,109,pier1_109,['\n          Do not sell or share my personal information\n'],[],[],[],[]
43,163,go_163,"['', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights', 'Do Not Sell or Share My Personal Information']",[],"[' You also may have rights to opt out from certain third parties selling and sharing your personal information. You will need to separately exercise your opt-out rights with regard to each, which you may do through this ', ' You may also choose to enable online, where available, a universal tool that automatically communicates your opt-out preferences, such as the Global Privacy Control (“GPC”). We will process the GPC signal as a request to opt out.', 'You or your legally authorized agent can move the toggle above to the left to opt out of these activities on this digital property consistent with applicable law.', 'Some states provide residents (or, in some cases, their authorized agents) with the right to opt out of “targeted advertising,” “selling,” or “sharing” of personal information. Please visit', ' If you opt out, you may continue to see advertising, including ads that may be based on personal information processed before you opted out.', 'Notice of Right to Opt Out of Sale/Sharing', ' Please note that, because these activities are based on online cookies, your opt-out choice is specific to this property. If you access other digital properties of the Walt Disney Family of Companies, you will need to make your election for each. Also, if you clear your cookies on this browser or use another browser or device, you may need to opt out again on this property. ']",[],[]
44,191,com_191,['Do not sell or share my personal information'],[],[],[],[]
45,45,nj_45,[],[],[],[],[]
46,72,info_72,[],[],[],[],[]
47,81,express-scripts_81,[],[],[],[],[]
48,16,bonappetit_16,[''],[],[],[],[]
49,192,allaboutbirds_192,[],[],[],[],[]
50,62,healthgrades_62,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
51,357,macys_357,"['Do Not Sell My Personal Information', 'Do Not Sell or Share My Personal Information']",[],"['Your Opt Out Preference Signal is Honored', 'These cookies collect information for analytics and to personalize your experience with targeted ads. If you opt out we will not be able to offer you personalized ads and will not share personal information with any third parties. ']",[],[]
52,21,com_21,"['', 'Do not sell or share my personal information']",[],[''],[],[]
53,185,washingtonpost_185,[],[],[],[],[]
54,343,amazon_343,[],['Your Ads Privacy Choices'],[],[],[]
55,220,proquest_220,[],[],[],[],[]
56,228,com_228,[],[],[],[],[]
57,3,com_3,"['Do Not Sell Or Share My Personal Information', 'Do not sell or share my personal information.']",[],[],[],[]
58,310,livingsocial_310,['Do Not Sell or Share My Personal Information'],[],[],[],[]
59,59,calorieking_59,[],[],[],[],[]
60,17,grubhub_17,"['Do Not Sell My Information', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
61,48,bet-at-home_48,[],[],[],[],[]
62,11,tasteofhome_11,['Do not Sell or Share My Personal Information'],[],"['When you visit any website, tracking technologies, mostly in the form of cookies, may automatically collect certain information about you. This information might be about you, your preferences, or your device. The use of cookies can give you a more personalized web experience. You may be able to opt out of certain types of tracking technologies through your browser. Please note that blocking cookies may impact website features and functionality.']",[],[]
63,91,womenshealth_91,[],[],[],[],[]
64,106,wayfair_106,"['', ""Don't Sell My Personal Information""]",[],[],[],[]
65,138,uline_138,[],[],[],[],[]
66,99,com_99,[],[],[],[],[]
67,282,craigslist_282,[],[],[],[],[]
68,75,drugs_75,[],[],[],[],[]
69,311,net_311,['Do Not Sell or Share My Personal Information'],[],[],[],[]
