,Unnamed: 0,url,Index,2022-12-12 Selenium,2023-02-21 Selenium,2023-02-16 Selenium,2022-12-07 Selenium,2023-01-04 Selenium,2022-12-06 Selenium
4,4,https://www.infowars.com/,154,yes,,,yes,yes,yes
7,7,https://www.cnn.com/,157,yes,,,yes,yes,yes
11,11,https://slate.com/,161,yes,,,yes,yes,yes
22,22,https://www.thedailybeast.com/,172,yes,,,yes,yes,yes
30,30,https://www.nydailynews.com/,180,no,Do Not Sell/Share My Personal Information,Do Not Sell/Share My Personal Information,no,no,no
41,41,https://justgiving.com/,191,yes,,,yes,yes,yes
44,44,https://www.petsmart.com/,194,yes,,,yes,yes,yes
45,45,https://www.petco.com/shop/en/petcostore,195,yes,,,no,yes,no
52,52,https://iheartdogs.com/,202,yes,,,yes,yes,yes
53,53,https://dogtime.com/,203,yes,,,yes,yes,yes
54,54,https://www.petsmart.com/,204,yes,,,yes,yes,yes
58,58,https://www.adoptapet.com/,208,yes,,,yes,yes,yes
61,61,http://dogbreedinfo.com/,211,yes,,,yes,yes,yes
63,63,https://puppies.com/,213,yes,,,yes,yes,yes
64,64,https://www.backyardchickens.com/,214,no,Do not sell or share my personal information.,Do not sell or share my personal information.,no,no,no
65,65,https://www.dogster.com/,215,yes,,DO NOT SELL MY INFORMATION,yes,yes,yes
73,73,https://www.overstock.com/,223,yes,,,yes,yes,yes
74,74,https://www.scribd.com/,224,no,,Do not sell or share my personal information,yes,no,no
75,75,https://www.barnesandnoble.com/,225,yes,,,yes,yes,yes
78,78,http://ebook3000.com/,228,yes,,,yes,yes,yes
80,80,https://www.springer.com/us,230,yes,,,yes,yes,yes
81,81,https://issuu.com/,231,yes,,,yes,yes,yes
89,89,https://westeros.org/,239,yes,,,yes,yes,yes
93,93,https://ebookfriendly.com/,243,yes,,,yes,yes,yes
95,95,http://ebook3000.com/,245,yes,,,yes,yes,yes
104,104,https://www.mlb.com/,503,yes,,,yes,yes,yes
105,105,https://www.foxsports.com/,504,yes,,,yes,yes,yes
107,107,https://skihood.com/,506,yes,,,yes,yes,yes
120,120,https://www.icloud.com/,519,yes,,,yes,yes,yes
127,127,https://www.ask.com/,526,yes,,,yes,yes,yes
142,142,https://www.ryanair.com/us/en,541,yes,,,yes,yes,yes
145,145,https://www.spirit.com/,544,yes,,,yes,yes,yes
151,151,https://www.nature.com/,400,yes,,,yes,yes,yes
152,152,https://plos.org/,401,yes,,,yes,yes,yes
164,164,http://cshlp.org/,413,yes,,,yes,yes,yes
176,176,https://www.livescience.com/,425,yes,Do not sell or share my personal information,Do not sell my info,yes,yes,yes
