,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Index
0,113,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,,,,,,,,50
1,163,drugs_75,o/o,No,3Do not sell my personal information| 0/0,Yes,Yes,Do not sell my personal information,,,,,,,,75
2,181,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,,,,,899
3,200,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,,,,,898
4,208,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,Do not sell or share my personal information,,,,,,,,1074
5,411,tomshardware_610,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,,,,,,,Do not sell my personal information,610
6,506,potterybarn_107,o/o,No,Do Not Sell My Info| 0/0,Yes,Yes,Do not sell my personal information,,,,,,,Do not sell or share my personal information,107
7,685,tomshardware_665,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,,,,,,,California residents: do not sell my info,665
8,785,fodors_581,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,,,,Do not sell or share my personal information(CA residents only),581
9,876,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,,,,,,,,920
10,895,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,,,,,,,,668
11,924,scarymommy_90,o/o,No,"not sell

o/o",Yes,No,,,,,,,,,90
