,Index,Check,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text
0,0,True,,,,,,,
1,1,True,,,,,,,
2,2,True,,,,,,,
3,3,True,com_3,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
4,4,True,,,,,,,
5,5,True,seriouseats_5,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
6,6,True,,,,,,,
7,7,True,eater_7,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
8,8,True,thrillist_8,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
9,9,True,myrecipes_9,1,Yes,"Californ ""1",Yes,Yes,California residents: do not sell my info
10,10,True,,,,,,,
11,11,True,,,,,,,
12,12,True,,,,,,,
13,13,True,marthastewart_13,1,Yes,"Califor ""1",Yes,Yes,California residents: do not sell my info
14,14,True,,,,,,,
15,15,True,,,,,,,
16,16,True,,,,,,,
17,17,True,grubhub_17,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
18,18,True,grubhub_18,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
19,19,True,seamless_19,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
20,20,True,,,,,,,
21,21,True,com_21,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
22,22,True,doordash_22,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
23,23,True,,,,,,,
24,24,True,trycaviar_24,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
25,25,True,,,,,,,
26,26,True,,,,,,,
27,27,True,,,,,,,
28,28,True,,,,,,,
29,29,True,,,,,,,
30,30,True,,,,,,,
31,31,True,berries_31,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
32,32,True,,,,,,,
33,33,True,,,,,,,
34,34,True,,,,,,,
35,35,True,,,,,,,
36,36,True,,,,,,,
37,37,True,,,,,,,
38,38,True,,,,,,,
39,39,True,mcdonalds_39,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
40,40,False,,,,,,,
41,41,True,olivegarden_41,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
42,42,True,,,,,,,
43,43,True,jimmyjohns_43,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
44,44,True,,,,,,,
45,45,True,,,,,,,
46,46,True,,,,,,,
47,47,True,,,,,,,
48,48,True,,,,,,,
49,49,True,,,,,,,
50,50,True,,,,,,,
51,51,True,,,,,,,
52,52,True,myfitnesspal_52,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
53,53,True,healthline_53,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
54,54,True,weightwatchers_54,1,Yes,Do Not Sell My Personal Info| Wi,Yes,Yes,Do not sell my personal information
55,55,True,,,,,,,
56,56,True,,,,,,,
57,57,True,,,,,,,
58,58,True,,,,,,,
59,59,True,,,,,,,
60,60,True,,,,,,,
61,61,True,,,,,,,
62,62,True,healthgrades_62,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
63,63,True,,,,,,,
64,64,True,,,,,,,
65,65,True,,,,,,,
66,66,True,,,,,,,
67,67,True,,,,,,,
68,68,True,,,,,,,
69,69,True,medicinenet_69,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
70,70,True,,,,,,,
71,71,True,,,,,,,
72,72,True,,,,,,,
73,73,True,,,,,,,
74,74,True,everydayhealth_74,1,Yes,"Do Not Sell ""1",Yes,Yes,Do not sell my personal information
75,75,True,,,,,,,
76,76,True,walgreens_76,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
77,77,True,,,,,,,
78,78,True,rxlist_78,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
79,79,True,,,,,,,
80,80,True,riteaid_80,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
81,81,True,,,,,,,
82,82,True,,,,,,,
83,83,True,,,,,,,
84,84,True,,,,,,,
85,85,True,,,,,,,
86,86,True,,,,,,,
87,87,True,everydayhealth_87,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
88,88,True,shape_88,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
89,89,True,,,,,,,
90,90,True,,,,,,,
91,91,True,,,,,,,
92,92,True,,,,,,,
93,93,True,com_93,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
94,94,True,,,,,,,
95,95,True,,,,,,,
96,96,True,,,,,,,
97,97,True,redbubble_97,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
98,98,True,1stdibs_98,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
99,99,True,,,,,,,
100,100,True,,,,,,,
101,101,True,,,,,,,
102,102,True,,,,,,,
103,103,True,,,,,,,
104,104,True,saatchiart_104,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
105,105,True,,,,,,,
106,106,True,,,,,,,
107,107,True,,,,,,,
108,108,True,,,,,,,
109,109,True,,,,,,,
110,110,False,,,,,,,
111,111,True,worldmarket_111,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
112,112,True,,,,,,,
113,113,True,,,,,,,
114,114,True,anthropologie_114,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
115,115,True,gardeningknowhow_115,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
116,116,True,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
117,117,True,gardenweb_117,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
118,118,True,,,,,,,
119,119,True,houzz_119,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
120,120,True,,,,,,,
121,121,True,,,,,,,
122,122,True,urbanoutfitters_122,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
123,123,True,marthastewart_123,1,Yes,"Californ ""1",Yes,Yes,California residents: do not sell my info
124,124,True,,,,,,,
125,125,True,bhg_125,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
126,126,True,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
127,127,True,,,,,,,
128,128,True,,,,,,,
129,129,True,,,,,,,
130,130,True,hobbylobby_130,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
131,131,True,,,,,,,
132,132,True,craftsy_132,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
133,133,True,,,,,,,
134,134,True,,,,,,,
135,135,True,officedepot_135,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
136,136,True,staples_136,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
137,137,True,vistaprint_137,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
138,138,True,,,,,,,
139,139,True,,,,,,,
140,140,True,,,,,,,
141,141,True,com_141,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
142,142,True,dailywire_142,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
143,143,True,,,,,,,
144,144,True,,,,,,,
145,145,True,,,,,,,
146,146,True,,,,,,,
147,147,True,,,,,,,
148,148,True,com_148,1,Yes,CA: Do Not Sell My Info| Wi,Yes,Yes,California residents: do not sell my info
149,149,True,,,,,,,
150,150,True,theblaze_150,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
151,151,True,,,,,,,
152,152,True,com_152,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
153,153,True,,,,,,,
154,154,True,,,,,,,
155,155,True,,,,,,,
156,156,True,,,,,,,
157,157,True,,,,,,,
158,158,True,huffpost_158,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
159,159,True,,,,,,,
160,160,True,politico_160,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
161,161,True,,,,,,,
162,162,True,,,,,,,
163,163,True,go_163,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
164,164,True,dailykos_164,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
165,165,True,,,,,,,
166,166,True,com_166,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
167,167,True,theatlantic_167,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
168,168,True,,,,,,,
169,169,True,nbcnews_169,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
170,170,True,,,,,,,
171,171,True,,,,,,,
172,172,True,,,,,,,
173,173,True,,,,,,,
174,174,True,,,,,,,
175,175,True,,,,,,,
176,176,True,org_176,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
177,177,True,,,,,,,
178,178,True,dailymail_178,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
179,179,True,com_179,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
180,180,True,nydailynews_180,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
181,181,True,,,,,,,
182,182,True,,,,,,,
183,183,True,,,,,,,
184,184,True,latimes_184,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
185,185,True,,,,,,,
186,186,True,kickstarter_186,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
187,187,True,,,,,,,
188,188,True,,,,,,,
189,189,True,,,,,,,
190,190,True,,,,,,,
191,191,True,,,,,,,
192,192,True,,,,,,,
193,193,True,,,,,,,
194,194,True,,,,,,,
195,195,True,,,,,,,
196,196,True,,,,,,,
197,197,True,,,,,,,
198,198,True,hillspet_198,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
199,199,True,,,,,,,
200,200,True,,,,,,,
201,201,True,,,,,,,
202,202,True,,,,,,,
203,203,True,,,,,,,
204,204,True,,,,,,,
205,205,True,petfinder_205,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
206,206,True,,,,,,,
207,207,True,,,,,,,
208,208,True,,,,,,,
209,209,True,,,,,,,
210,210,True,,,,,,,
211,211,True,,,,,,,
212,212,True,,,,,,,
213,213,True,,,,,,,
214,214,True,backyardchickens_214,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
215,215,True,dogster_215,1,Yes,DO NOTSELL MY INFORMATION| 1,Yes,Yes,Do not sell my personal information
216,216,True,,,,,,,
217,217,True,com_217,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
218,218,True,thedodo_218,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
219,219,True,,,,,,,
220,220,True,,,,,,,
221,221,True,,,,,,,
222,222,True,,,,,,,
223,223,True,,,,,,,
224,224,False,,,,,,,
225,225,True,barnesandnoble_225,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
226,226,True,,,,,,,
227,227,True,,,,,,,
228,228,True,,,,,,,
229,229,True,,,,,,,
230,230,True,,,,,,,
231,231,True,,,,,,,
232,232,True,,,,,,,
233,233,True,chegg_233,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information
234,234,True,,,,,,,
235,235,True,scholastic_235,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
236,236,True,,,,,,,
237,237,True,,,,,,,
238,238,True,publishersweekly_238,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
239,239,True,,,,,,,
240,240,True,,,,,,,
241,241,True,,,,,,,
242,242,True,,,,,,,
243,243,True,,,,,,,
244,244,True,,,,,,,
245,245,True,,,,,,,
246,246,True,,,,,,,
247,247,True,,,,,,,
248,248,True,,,,,,,
249,249,True,,,,,,,
250,250,True,,,,,,,
251,251,True,,,,,,,
252,252,True,kobo_252,1,Yes,Information (Personal Data Opt-out)| 1/1,Yes,Yes,Do not sell or share my personal information
253,253,True,com_253,,Check,"ot sell]

o/o",Yes,No,
254,254,True,,,,,,,
255,255,True,com_255,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
256,256,True,,,,,,,
257,257,True,,,,,,,
258,258,True,oreilly_258,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
259,259,True,bkstr_259,1,Yes,"Do Not Sell My Info - CA only,

""1",Yes,Yes,California residents: do not sell my info
260,260,True,,,,,,,
261,261,True,cengage_261,1,Yes,DO NOTSELL Wi,Yes,Yes,Do not sell my personal information
262,262,True,,,,,,,
263,263,True,,,,,,,
264,264,True,,,,,,,
265,265,True,,,,,,,
266,266,True,,,,,,,
267,267,True,,,,,,,
268,268,True,,,,,,,
269,269,True,yellowpages_269,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
270,270,True,,,,,,,
271,271,True,,,,,,,
272,272,True,,,,,,,
273,273,True,,,,,,,
274,274,True,angi_274,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
275,275,True,homeadvisor_275,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
276,276,True,superpages_276,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
277,277,True,,,,,,,
278,278,True,,,,,,,
279,279,True,,,,,,,
280,280,True,addresses_280,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
281,281,True,,,,,,,
282,282,True,,,,,,,
283,283,True,,,,,,,
284,284,True,,,,,,,
285,285,True,,,,,,,
286,286,True,,,,,,,
287,287,True,,,,,,,
288,288,True,,,,,,,
