,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,79,com_391,o/o,No,"onotselll

o/o",Yes,No,,391
1,113,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,50
2,163,drugs_75,o/o,No,3Do not sell my personal information| 0/0,Yes,Yes,Do not sell my personal information,75
3,181,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,899
4,200,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,898
5,208,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,California residents: do not sell my info,1074
6,411,tomshardware_610,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,610
7,506,potterybarn_107,o/o,No,Do Not Sell My Info| 0/0,Yes,Yes,Do not sell my personal information,107
8,684,tomshardware_665,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,665
9,783,fodors_581,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,581
10,874,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,920
11,894,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,668
12,1050,lonelyplanet_554,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,554
