,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,973,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
1,333,airforce_786,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,786
2,199,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
3,757,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
4,293,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
5,221,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
6,608,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949
7,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
8,956,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,999
9,752,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
10,528,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717
11,982,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
12,529,com_997,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,997
13,852,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
14,998,dogster_215,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,215
15,870,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
16,574,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742
17,996,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772
18,184,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774
19,589,finishline_761,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,761
20,635,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
21,628,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0
22,632,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971
23,482,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691
24,961,gq_861,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,861
25,122,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32
26,911,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120
27,977,hillspet_198,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,198
28,1074,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444
29,703,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940
30,44,jared_718,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,718
31,195,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
32,545,katespade_715,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,715
33,326,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,708
34,476,libertymutual_1059,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1059
35,494,libertymutual_1061,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1061
36,598,llbean_370,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,370
37,219,llbean_699,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,699
38,129,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739
39,128,mlb_503,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,503
40,61,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400
41,230,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426
42,491,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478
43,373,nutrisystem_56,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,56
44,1065,pcworld_674,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,674
45,789,porsche_821,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,821
46,278,prada_773,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,773
47,573,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26
48,460,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4
49,1010,saveur_585,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell my personal information,585
50,773,schwab_1049,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1049
51,143,sears_366,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,366
52,304,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113
53,273,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230
54,368,tasteofhome_11,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,11
55,846,techadvisor_676,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,676
56,416,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277
57,753,toryburch_710,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,710
58,444,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848
59,152,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583
60,302,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578
61,647,udemy_885,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,885
62,501,udemy_939,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,939
63,904,westmarine_837,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,837
64,559,wonderhowto_947,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,947
65,673,zales_706,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,706
66,340,zara_692,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,692
67,299,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679
