,Index,2023-02-02_Check,2023-02-02_filename,2023-02-02_Text,2023-02-02_Presence confirm,2023-02-19_Check,2023-02-19_filename,2023-02-19_Text,2023-02-19_Presence confirm
0,0,True,foodnetwork_0,Do not sell or share my personal information,Yes,True,foodnetwork_0,Do not sell or share my personal information,Yes
1,1,True,,,,True,,,
2,2,True,food_2,Do not sell or share my personal information,Yes,True,food_2,Do not sell or share my personal information,Yes
3,3,True,com_3,Do not sell or share my personal information,Yes,True,com_3,Do not sell or share my personal information,Yes
4,4,True,safeway_4,Do not sell or share my personal information,Yes,True,safeway_4,Do not sell or share my personal information,Yes
5,5,True,seriouseats_5,Do not sell my personal information,Yes,True,seriouseats_5,Do not sell my personal information,Yes
6,6,True,,,,True,,,
7,7,True,eater_7,Do not sell or share my personal information,Yes,True,eater_7,Do not sell or share my personal information,Yes
8,8,True,thrillist_8,Do not sell or share my personal information,Yes,True,thrillist_8,Do not sell or share my personal information,Yes
9,9,True,myrecipes_9,California residents: do not sell my info,Yes,True,myrecipes_9,California residents: do not sell my info,Yes
10,10,True,,,,True,,,
11,11,True,tasteofhome_11,California residents: do not sell my info,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes
12,12,True,,,,True,,,
13,13,True,marthastewart_13,California residents: do not sell my info,Yes,True,marthastewart_13,California residents: do not sell my info,Yes
14,14,True,,,,True,,,
15,15,True,,,,True,,,
16,16,True,bonappetit_16,Do not sell my personal information,Yes,True,,,
17,17,True,grubhub_17,Do not sell my personal information,Yes,True,grubhub_17,Do not sell my personal information,Yes
18,18,True,grubhub_18,Do not sell my personal information,Yes,True,grubhub_18,Do not sell my personal information,Yes
19,19,True,seamless_19,Do not sell my personal information,Yes,True,seamless_19,Do not sell my personal information,Yes
20,20,True,,,,True,,,
21,21,True,com_21,Do not sell or share my personal information,Yes,True,com_21,Do not sell or share my personal information,Yes
22,22,True,doordash_22,Do not sell or share my personal information,Yes,True,doordash_22,Do not sell or share my personal information,Yes
23,23,True,,,,True,,,
24,24,True,trycaviar_24,Do not sell or share my personal information,Yes,True,trycaviar_24,Do not sell or share my personal information,Yes
25,25,True,,,,True,,,
26,26,True,safeway_26,Do not sell or share my personal information,Yes,True,safeway_26,Do not sell or share my personal information,Yes
27,27,True,,,,True,,,
28,28,True,,,,True,,,
29,29,True,,,,True,,,
30,30,True,,,,True,,,
31,31,True,berries_31,Do not sell my personal information,Yes,True,berries_31,Do not sell my personal information,Yes
32,32,True,harryanddavid_32,Do not sell or share my personal information,Yes,True,harryanddavid_32,Do not sell or share my personal information,Yes
33,33,True,,,,True,,,
