,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,0,0,0,0,mazdausa_825,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,825
1,1,1,1,1,neimanmarcus_373,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,373
2,2,2,2,2,com_3,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,3
3,3,3,3,3,livingsocial_310,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,310
4,4,4,4,4,netflix_347,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,347
5,5,5,5,5,sorel_757,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,757
6,6,6,6,6,superpages_276,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,276
7,7,7,7,7,theverge_666,1,Yes,SELL OR SHARE MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell or share my personal information,666
8,8,8,8,8,org_396,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,396
9,9,9,9,9,medicinenet_69,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,69
10,10,10,10,10,burlington_378,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,378
11,11,11,11,11,space_446,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,446
12,12,12,12,12,famousfootwear_762,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,762
13,13,13,13,13,nbcnews_169,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,169
14,14,14,14,14,marieclaire_862,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,862
15,15,15,15,15,grubhub_18,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,18
16,16,16,16,16,refinery29_857,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,857
17,17,17,17,17,latimes_184,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,184
18,18,18,18,18,instyle_865,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,865
19,19,19,19,19,wsj_146,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,146
20,20,20,20,20,com_21,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,21
21,21,21,21,21,niche_1084,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1084
22,22,22,22,22,salary_926,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,926
23,23,23,23,23,inc_1028,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information,1028
24,24,24,24,24,nbcsports_487,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,487
25,25,25,25,25,livescience_425,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,425
26,26,26,26,26,walgreens_76,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,76
27,27,27,27,27,victoriassecret_688,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,688
28,28,28,28,28,sparknotes_888,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,888
29,29,29,29,29,offers_303,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,303
30,30,30,30,30,com_141,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,141
