,Index,2023-03-06 Selenium Searchkey
0,150,Do Not Sell or Share My Personal Information
1,151,
2,152,Do Not Sell My Information
3,153,
4,154,
5,155,
6,156,
7,157,
8,158,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
9,159,
10,160,Do not sell my info
11,161,
12,162,
13,163,Do Not Sell or Share My Personal Information
14,164,Do Not Sell My Info
15,165,
16,166,Do Not Sell My Personal Information
17,167,Do Not Sell Or Share My Personal Information
18,168,
19,169,
20,170,
21,171,
22,172,
23,173,
24,174,
25,175,
26,176,Do not sell or share my personal information.
27,177,
28,178,Do not sell or share my personal information
29,179,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
30,180,Do Not Sell/Share My Personal Information
31,181,
32,182,
33,183,
34,184,Do Not Sell or Share My Personal Information
35,185,
36,186,Do Not Sell My Personal Information
37,187,
38,188,
39,189,
40,190,
41,191,
42,192,
43,193,
44,194,
45,195,
46,196,
47,197,
48,198,Do Not Sell My Personal Information
49,199,
0,200,
1,201,
2,202,
3,203,
4,204,
5,205,Do Not Sell Or Share My Personal Information
6,206,
7,207,
8,208,
9,209,
10,210,
11,211,
12,212,
13,213,
14,214,Do not sell or share my personal information.
15,215,DO NOT SELL MY INFORMATION
16,216,
17,217,Do not sell or share my personal information.
18,218,Do Not Sell or Share My Personal Information
19,219,
20,220,
21,221,
22,222,
23,223,
24,224,
25,225,Do Not Sell My Personal Information
26,226,
27,227,
28,228,
29,229,
30,230,
31,231,
32,232,
33,233,DO NOT SELL MY INFO
34,234,
35,235,Do Not Sell My Info
36,236,
37,237,
38,238,Do Not Sell
39,239,
40,240,
41,241,
42,242,
43,243,
44,244,
45,245,
46,246,
47,247,
48,248,
49,249,
0,499,Do Not Sell or Share My Personal Information
1,500,
2,501,
3,502,
4,503,
5,504,
6,505,DO NOT SELL MY PERSONAL INFORMATION
7,506,
8,507,Do Not Sell or Share My Personal Info
9,508,
10,509,
11,510,
12,511,
13,512,
14,513,
15,514,
16,515,
17,516,
18,517,
19,518,
20,519,
21,520,
22,521,
23,522,
24,523,
25,524,
26,525,
27,526,
28,527,
29,528,
30,529,
31,530,
32,531,
33,532,
34,533,
35,534,
36,535,
37,536,
38,537,Do Not Sell/Share My Personal Information
39,538,
40,539,
41,540,
42,541,
43,542,Do not sell my info
44,543,
45,544,
46,545,
47,546,
48,547,
49,548,
0,399,
1,400,
2,401,
3,402,Manage cookies/Do not sell my data
4,403,Do Not Sell My Info
5,404,
6,405,
7,406,
8,407,
9,408,
10,409,
11,410,
12,411,
13,412,
14,413,
15,414,
16,415,
17,416,
18,417,
19,418,
20,419,
21,420,Do Not Sell My Personal Information
22,421,Do Not Sell My Personal Information
23,422,
24,423,
25,424,
26,425,Do not sell or share my personal information
27,426,
28,427,
29,428,Do Not Sell My Personal Information
30,429,
31,430,
32,431,
33,432,
34,433,Do Not Sell or Share My Personal Information
35,434,
36,435,
37,436,
38,437,
39,438,
40,439,
41,440,
42,441,
43,442,
44,443,
45,444,
46,445,Do not sell or share my personal information
47,446,Do not sell or share my personal information
48,447,
49,448,
0,100,
1,101,
2,102,
3,103,
4,104,Do Not Sell or Share My Personal Information
5,105,
6,106,
7,107,Do Not Sell My Info
8,108,
9,109,
10,110,California Customers Only: Do Not Sell My Info
11,111,Do Not Sell or Share My Personal Information
12,112,
13,113,
14,114,Do Not Sell My Personal Info
15,115,Do not sell or share my personal information.
16,116,Do Not Sell My Personal Information
17,117,Do not sell my info
18,118,
19,119,Do not sell my info
20,120,
21,121,
22,122,Do Not Sell My Personal Info
23,123,California Do Not Sell
24,124,
25,125,Do Not Sell My Personal Information
26,126,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
27,127,
28,128,
29,129,
30,130,Do Not Sell or Share My Personal Information
31,131,
32,132,Do Not Sell My Info
33,133,
34,134,
35,135,Do Not Sell My Personal Information
36,136,Do Not Sell or Share My Personal Information
37,137,Do Not Sell or Share My Info
38,138,
39,139,
40,140,
41,141,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
42,142,Do Not Sell or Share My Personal Information
43,143,
44,144,
45,145,
46,146,Do Not Sell or Share My Personal Information
47,147,
48,148,CA: Do Not Sell My Info
49,149,
0,299,Do Not Sell or Share My Personal Information / Personal Data Opt-out
1,300,Do Not Sell or Share My Personal Information
2,301,Do not sell my personal information.
3,302,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION
4,303,Do Not Sell My Personal Information
5,304,
6,305,
7,306,
8,307,
9,308,
10,309,
11,310,Do Not Sell or Share My Personal Information
12,311,Do Not Sell My Personal Information
13,312,Ad Opt out/ Do Not Sell My Personal Information
14,313,
15,314,
16,315,
