,Index,Word list
0,825,['Do not sell or share my personal information']
1,981,[]
2,373,['Do Not Sell My Personal Information']
3,145,[]
4,201,[]
5,726,['Your Privacy Choices ']
6,1052,[]
7,3,['Do not sell or share my personal information']
8,310,['Do Not Sell or Share My Personal Information']
9,347,['Do Not Sell or Share My Personal Information']
10,524,[]
11,916,[]
12,64,['Your Privacy Choices']
13,757,[]
14,276,['Do Not Sell My Personal Information']
15,666,['Do Not Sell Or Share My Personal Info']
16,534,[]
17,567,[]
18,1010,[]
19,396,['Do not sell or share my personal information']
20,69,['Do Not Sell My Personal Information']
21,1073,[]
22,486,[]
23,506,[]
24,819,['YOUR PRIVACY CHOICES ']
25,1044,[]
26,443,[]
27,378,"[' Do Not Sell or Share My Personal Information', 'Do Not Sell My Personal Information']"
28,830,[]
29,1017,[]
30,446,['Do not sell or share my personal information']
31,992,[]
32,762,"['Do Not Sell or Share My Personal Information', 'Submit Do Not Sell or Share Request']"
33,414,[]
34,1078,[]
35,236,[]
36,965,[]
37,196,['Your Privacy Choices']
38,169,['Your Privacy Choices']
39,386,[]
40,862,['Do not sell or share my personal information']
41,305,[]
42,171,[]
43,1034,[]
44,718,[]
45,501,[]
46,226,[]
47,18,['Do Not Sell My Information']
48,889,[]
49,881,[]
50,857,['Do Not Sell or Share My Info']
51,210,[]
52,450,[]
53,714,[]
54,266,['Your California Privacy Choices']
55,204,['Your Privacy Choices']
56,404,['Cookie settings | Your Privacy Choices']
57,929,[]
58,502,[]
59,649,[]
60,339,[]
61,400,[]
62,184,['Do Not Sell or Share My Personal Information']
63,865,['Do Not Sell My Personal Information']
64,410,[]
65,146,[]
66,1039,[]
67,547,[]
68,1057,[]
69,752,[]
70,21,['Do not sell or share my personal information']
71,1084,['Do Not Sell My Personal Information']
72,182,[]
73,1016,['            Your Privacy Choices']
74,672,[]
75,882,[]
76,926,['Do Not Sell or Share My Information']
77,626,['Your Privacy Choices']
78,616,[]
79,391,[]
80,808,['Your Privacy Choices']
81,455,[]
82,763,['                Your Privacy Choices']
83,601,[]
84,57,[]
85,1028,['do not sell my data']
86,685,[]
87,487,['Do Not Sell My Personal Information']
88,425,['Do not sell or share my personal information']
89,979,[]
90,978,[]
91,518,[]
92,803,[]
93,133,[]
94,76,"['Your Privacy Choices ', 'Do Not Sell or Share My Personal Information ']"
95,1025,[]
96,453,[]
97,688,['Do Not Sell or Share My Personal Information']
98,511,[]
99,260,[]
100,510,[]
101,888,['Do Not Sell My Personal Information']
102,303,['Do Not Sell My Personal Information']
103,208,['                                        Your privacy choices']
104,1060,[]
105,141,[' Do Not Sell or Share My Personal Information']
106,905,[]
107,313,[]
108,39,['Do Not Sell or Share My Personal Information']
109,536,[]
110,816,[' Do Not Sell My Personal Information']
111,956,[]
112,51,[]
113,50,[' Do Not Sell or Share My Personal Information or Limit the Use of My Sensitive Personal Information ']
114,827,[]
115,218,['Do Not Sell or Share My Personal Information']
116,472,[]
117,864,['California Notice / Do Not Sell My Personal Information']
118,62,['Do Not Sell My Personal Information']
119,1080,[]
120,982,['Do Not Sell My Personal Information']
121,811,['    YOUR PRIVACY CHOICES ']
122,32,['Do Not Sell or Share My Personal Information']
123,82,[]
124,445,['Do not sell or share my personal information']
125,696,[]
126,227,[]
127,759,[' Do Not Sell or Share My Personal Information ']
128,503,['Do not Sell or Share My Personal Data']
129,739,[]
130,505,['Do Not Sell My Personal Information']
131,413,[]
132,537,['Do Not Sell/Share My Personal Information']
133,1043,[]
134,904,[]
135,532,[]
136,689,[]
137,994,['Do Not Sell or Share My Information']
138,13,"['California Do Not Sell', 'Go to Opt Out Form']"
139,25,[]
140,350,[]
141,1003,[]
142,441,[]
143,366,['Do not Sell or Share My Personal Information']
144,130,['Do Not Sell or Share My Personal Information']
145,1036,[]
146,496,[]
147,154,[]
148,267,['            Your California Privacy Choices']
149,584,[]
150,280,['Do not sell my info']
151,669,[]
152,583,[]
153,977,[]
154,324,[]
155,943,['            Your California Privacy Choices']
156,314,[]
157,951,[]
158,142,['Do Not Sell or Share My Personal Information']
159,967,[]
160,71,['Do Not Sell My Personal Information']
161,407,[]
162,783,[]
163,75,['Do not sell my personal information']
164,954,[]
165,124,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
166,613,['Do Not Sell or Share My Personal Information - Currently Sharing']
167,548,[]
168,648,[]
169,252,['Do Not Sell or Share My Personal Information (Personal Data Opt-out)']
170,439,[]
171,144,[]
172,602,['Do Not Sell Or Share My Personal Information']
173,908,[]
174,357,['Do Not Sell or Share My Personal Information']
175,878,[]
176,903,[]
177,612,[]
178,287,[]
179,234,[]
180,394,[]
181,899,[]
182,751,[]
183,775,['Do Not Sell My Personal Information']
184,774,[]
185,624,[]
186,436,[]
187,438,[]
188,126,['Do Not Sell or Share My Personal Information']
189,390,[]
190,116,['Do Not Sell My Personal Information']
191,721,['Do Not Sell or Share My Personal Information']
192,296,['Do Not Sell My Personal Infomation']
193,202,[]
194,1088,[]
195,131,['Do Not Sell My Info | ']
196,630,['Your Privacy Choices']
197,958,[]
198,480,[]
199,34,['Do Not Sell or Share My Personal Information']
200,898,[]
201,1050,[]
202,294,['Do Not Sell or Share My Personal Information']
203,119,['Do not sell my info']
204,168,[]
205,411,[]
206,621,['Do Not Sell My Personal Information']
207,998,[]
208,1074,['                Do Not Sell/Share My Personal Information opens in new window']
209,67,[]
210,382,['Do Not Sell My Info']
211,346,['Do Not Sell My Personal Information']
212,727,[]
213,766,['Do not sell my info']
214,493,['Do Not Sell My Personal Information']
215,166,['Do Not Sell My Personal Information']
216,482,['Do not sell or share my personal information']
217,678,[]
218,297,[]
219,699,['Targeted Advertising Opt Out']
220,1072,[]
221,1018,[]
222,333,[]
223,417,[]
224,340,[]
225,631,['Do not sell my info']
226,512,[]
227,651,[]
228,485,['Your Privacy Choices ']
229,1002,[]
230,426,[]
231,654,[]
232,217,['Do not sell or share my personal information']
233,12,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
234,952,[]
235,618,[]
236,931,[]
237,768,['Do Not Sell My Personal Information']
238,1027,['Do Not Sell/Share My Personal Information']
239,1076,[]
240,681,[]
241,312,['Ad Opt out/ Do Not Sell My Personal Information']
242,483,[]
243,300,['          Do Not Sell or Share My Personal Information        ']
244,463,[]
245,160,['Do not sell my info']
246,833,['Do Not Sell My Personal Information']
247,489,['Your Privacy Choices']
248,190,['Your Privacy Choices']
249,223,['Do Not Share My Information/SPI']
250,523,[]
251,321,[]
252,625,[]
253,263,[]
254,603,['Do Not Sell My Personal Information']
255,782,[]
256,909,[]
257,858,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
258,969,[]
259,254,[]
260,520,[]
261,434,[]
262,698,[]
263,644,[]
264,731,[]
265,514,[]
266,565,[]
267,529,[]
268,694,['Do Not Sell My Personal Info']
269,70,[]
270,376,['request for further opt out of sale of your personal information']
271,769,['Do Not Sell My Personal Information']
272,97,['Do not sell my personal information']
273,230,[]
274,1058,[]
275,84,[]
276,995,[]
277,798,['Do Not Sell My Personal Information']
278,773,['Do not sell or share my personal information']
279,95,[]
280,799,[]
281,1001,[]
282,1085,[]
283,1070,[]
284,356,['Do Not Sell or Share My Personal Information']
285,549,[]
286,114,['Do Not Sell My Personal Info']
287,335,[]
288,756,[]
289,755,['Do Not Sell or Share My Personal Information']
290,658,['Your California Privacy Choices']
291,421,['Do Not Sell My Personal Information']
292,851,[]
293,112,[]
294,1056,[]
295,815,['Your Privacy Choices']
296,359,['Do Not Sell/Share My Personal Information']
297,338,[]
298,991,['Do Not Sell My Personal Information']
299,679,['Do Not Sell or Share My Personal Information']
300,331,[]
301,29,[]
302,578,[]
303,253,[]
304,113,['Do Not Sell or Share My Personal Information']
305,656,['Do Not Sell My']
306,957,['Your Ads Privacy Choices']
307,358,['Do Not Sell My Personal Information']
308,750,[]
309,348,[]
310,887,[]
311,1012,[]
312,643,[]
313,1035,[]
314,697,[]
315,839,[]
316,953,[]
317,834,['Do Not Sell My Personal Information']
318,24,['Do Not Sell or Share My Personal Information']
319,281,[]
320,701,[]
321,934,['Do Not Sell or Share My Info']
322,304,['DO NOT SELL MY DATA']
323,479,[]
324,843,['Do Not Sell My Personal Information']
325,83,[]
326,708,[]
327,452,[]
328,1033,[]
329,849,[]
330,564,[]
331,1064,[]
332,561,[]
333,786,[]
334,693,['\t\t Your Privacy Choices']
335,206,[]
336,605,[]
337,918,['Your Privacy Choices ']
338,735,[]
339,1019,[]
340,692,[]
341,558,[]
342,657,['Opt Out']
343,344,['Your Privacy Choices']
344,364,['Do Not Sell or Share My Personal Information']
345,976,['Your Privacy Choices']
346,399,[]
347,855,['Do Not Sell']
348,494,[]
349,577,[]
350,996,[]
351,876,['Do Not Sell or Share My Personal Info']
352,1069,[]
353,709,['Do Not Sell My Info']
354,180,['Do Not Sell/Share My Personal Information']
355,779,[]
356,968,[]
357,233,"['DO NOT SELL MY INFO', 'Go to Opt Out Form ']"
358,23,[]
359,572,['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDo Not Sell or Share My Personal Information']
360,164,['Do Not Sell My Info']
361,289,['Do Not Sell My Personal Information']
362,355,[]
363,42,['    Your Privacy Choices']
364,877,[]
365,642,[]
366,711,[]
367,622,['Do Not Sell My Information']
368,11,['Do not Sell or Share My Personal Information']
369,398,[]
370,545,[]
371,250,['Your Privacy Choices']
372,900,[]
373,56,['Do Not Sell My Personal Information']
374,770,[]
375,290,[]
376,65,['Your privacy choices']
377,901,[]
378,539,[]
379,161,[]
380,789,[]
381,188,[]
382,824,['Do Not Sell or Share My Personal Information']
383,542,['Do not sell my info']
384,422,[]
385,632,['Do Not Sell My Personal Information request']
386,629,['Do Not Sell or Share My Personal Data']
387,222,[]
388,673,['Do not sell or share my personal information']
389,845,['Do Not Sell or Share My Personal Info']
390,270,[]
391,645,[]
392,60,[]
393,469,[]
394,53,['Do Not Sell My Info']
395,93,['Do not sell or share my personal information']
396,980,[]
397,5,['Do Not Sell My Personal Information']
398,924,['Do Not Sell or Share My Personal Information']
399,1065,[]
400,63,[]
401,840,[]
402,213,[]
403,221,[]
404,1071,[]
405,794,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
406,33,[]
407,550,['                CCPA / Do Not Sell My Info']
408,1029,['California: Do Not Sell My Personal Information']
409,509,[]
410,527,[]
411,610,['Do not sell or share my personal information']
412,235,['Do Not Sell My Info']
413,922,[]
414,499,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights']"
415,397,[]
416,277,['Do not Sell or Share My Personal Information']
417,989,[]
418,384,[]
419,1,[]
420,573,['Your Privacy Choices']
421,586,[]
422,374,['                        Your Privacy Choices']
423,420,['Do Not Sell My Personal Information']
424,286,[]
425,650,[]
426,530,['Your Privacy Choices']
427,109,[]
428,288,[]
429,429,[]
430,797,[]
431,589,[]
432,559,['DO NOT SELL OR SHARE MY PERSONAL INFORMATION']
433,670,['Do Not Sell or Share My Information']
434,801,['Do Not Sell My Personal Information']
435,986,[]
436,278,[]
437,165,['Your Privacy Choices ']
438,349,[]
439,724,[]
440,117,['Do not sell my info']
441,863,[]
442,1024,[]
443,327,[]
444,848,[]
445,325,['Do Not Sell My Personal Information']
446,687,['Do Not Sell Or Share My Personal Data']
447,372,['Do Not Sell or Share My Personal Information']
448,1051,[]
449,189,[]
450,459,[]
451,31,['Do Not Sell My Personal Information']
452,1079,[]
453,362,['Your California Privacy Choices']
454,507,['Do Not Sell or Share My Personal Info']
455,205,['Do Not Sell Or Share My Personal Information']
456,465,[]
457,148,[]
458,8,['Do Not Sell or Share My Personal Information']
459,686,[]
460,4,['Do Not Sell or Share My Personal Information']
461,268,['Your Privacy Choices']
462,594,['Do Not Sell or Share My Personal Information']
463,705,[]
464,970,[]
465,596,['Do Not Sell My Data']
466,1013,[]
467,262,[]
468,664,['      Do Not Sell or Share My Personal Information']
469,315,['                                            Your Privacy Choices']
470,780,[]
471,28,[]
472,1089,['Do Not Sell My Personal Information']
473,1075,[]
474,301,['Do not sell my personal information']
475,513,[]
476,1059,['Your California Privacy Choices']
477,412,[]
478,1007,[]
479,760,[]
480,597,['Do Not Sell or Share My Personal information']
481,734,[]
482,691,[]
483,716,[]
484,921,[]
485,720,['Do Not Sell or Share My Personal Information']
486,800,"['CA Do Not Sell or Share My Information', 'Offline Do Not Sell or Share My Information']"
487,599,['Do Not Sell Or Share My Personal Information']
488,910,[]
489,990,[]
490,155,[]
491,478,[]
492,950,[]
493,633,[]
494,1061,['Your California Privacy Choices']
495,743,[]
496,569,['Your Privacy Choices']
497,94,[]
498,191,[]
499,418,[]
500,476,[]
501,939,[]
502,92,[]
503,591,['Do Not Sell My Personal Information']
504,744,[]
505,923,[]
506,107,"['    Do Not Sell My Personal Information', 'Do Not Sell Your Info']"
507,211,[]
508,1022,['Do Not Sell My Personal Information']
509,984,['Ad Data Opt Out']
510,495,[]
511,707,['                Your Privacy Choices']
512,323,[]
513,1000,[]
514,528,[]
515,961,[]
516,519,[]
517,490,['Do Not Sell or Share My Personal Information']
518,181,[]
519,237,[]
520,245,[]
521,257,[]
522,317,[]
523,1008,[]
524,810,[]
525,655,[]
526,607,[]
527,535,[]
528,717,['DO NOT SELL OR SHARE MY PERSONAL INFO']
529,997,[]
530,677,['Do not sell or share my personal information']
531,608,[]
532,174,[]
533,635,['Do not sell or share my personal information']
534,48,[]
535,342,[]
536,937,[]
537,81,[]
538,466,[]
539,531,[]
540,817,['Your Privacy Choices & Opt-Out Rights']
541,869,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
542,828,[]
543,1086,['Do not sell or share my personal information']
544,43,['Do Not Sell My Info']
545,715,[' DO NOT SELL OR SHARE MY PERSONAL INFO ']
546,809,['Your Privacy Choices ']
547,703,['Do Not Sell or Share My Personal Information']
548,872,['Do Not Sell']
549,207,['My Privacy Choices']
550,777,[]
551,932,['Your Privacy Choices']
552,475,[]
553,831,[]
554,464,[]
555,292,[]
556,432,[]
557,68,[]
558,883,[]
559,947,[]
560,1011,[]
561,7,['Do Not Sell or Share My Personal Info']
562,792,['Do Not Sell or Share My Personal Information']
563,975,[]
564,945,[]
565,37,[]
566,836,['Do not sell my personal information']
567,802,[]
568,369,[]
569,246,[]
570,371,[]
571,402,['Manage cookies/Do not sell my data']
572,172,[]
573,26,['Do Not Sell or Share My Personal Information']
574,742,['Do Not Sell My Personal Information']
575,638,[]
576,209,[]
577,232,['Your Ads Privacy Choices']
578,311,['Do Not Sell My Personal Information']
579,219,['Your Ads Privacy Choices']
580,332,[]
581,653,[]
582,55,[]
583,100,[' Your Privacy Choices']
584,329,[]
585,1042,[]
586,249,[]
587,925,['Do Not Sell My Personal Information']
588,562,[]
589,761,['Do Not Sell or Share My Personal Information']
590,87,['Do Not Sell My Personal Information']
591,556,['Do Not Sell My Personal Information']
592,251,[]
593,914,[]
594,30,[]
595,1026,['Do Not Sell My Personal Information']
596,1004,[]
597,517,[]
598,370,['Targeted Advertising Opt Out']
599,907,[]
600,806,[]
601,785,[]
602,54,['Do Not Sell My Personal Info']
603,879,[]
604,1082,[]
605,135,['Do Not Sell My Personal Information']
606,405,[]
607,516,[]
608,949,[]
609,108,[]
610,946,[]
611,244,[]
612,192,[]
613,637,[]
614,838,['Do Not Sell My Personal Information']
615,712,[]
616,619,[]
617,273,[]
618,365,['Do Not Sell or Share My Personal Information']
619,987,[]
620,98,['Do Not Sell My Info']
621,675,"[' Do Not Sell or Share My Personal Information ', 'Opt Out of Facebook Commenting', 'Directions to Opt Out of Facebook Commenting']"
622,159,[]
623,1045,['Your California privacy choices']
624,194,['Your Privacy Choices']
625,284,[]
626,912,[]
627,894,['Opt Out']
628,0,[]
629,395,['Do Not Sell My Info']
630,993,['Do Not Sell or Share My Personal Information']
631,732,[]
632,832,[]
633,971,[]
634,353,['Do Not Sell or Share My Personal Information']
635,203,[]
636,2,[]
637,186,['Do Not Sell My Personal Information']
638,136,['Do Not Sell or Share My Personal Information']
639,552,['Do Not Sell or Share My Info']
640,46,[]
641,680,['Do Not Sell or Share My Personal Info']
642,433,['Do Not Sell or Share My Personal Information']
643,571,['Do Not Sell My Personal Information']
644,776,[]
645,392,[]
646,842,[]
647,959,['Do Not Sell or Share My Personal Information']
648,885,[]
649,960,"['VideoWarnings & Advisories For CA Ahead Of Damaging Winds, Rain', 'Do Not Sell or Share My Personal Information']"
650,173,[]
651,538,[]
652,22,['Do Not Sell or Share My Personal Information']
653,1055,[]
654,101,[]
655,461,[]
656,440,[]
657,447,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
658,788,[]
659,854,[]
660,255,[]
661,662,[]
662,963,[]
663,640,[]
664,401,[]
665,185,['Your Privacy Choices ']
666,1054,['Do Not Sell or Share My Personal Information']
667,663,[]
668,449,[]
669,933,['                                Do not sell my personal information']
670,454,['Do Not Sell My PI']
671,580,['Do not sell my information']
672,225,[]
673,1077,['Do Not Sell My Personal Information']
674,706,[]
675,1006,[]
676,856,[]
677,248,[]
678,574,['Do Not Sell or Share My Personal Information']
679,1014,[]
680,1046,['Do Not Sell or Share My Personal Information']
681,279,[]
682,702,['          Do Not Sell or Share My Personal Information        ']
683,823,['Do Not Sell or Share My Personal Information ']
684,467,[]
685,665,['Do not sell or share my personal information']
686,431,[]
687,1083,[]
688,10,[]
689,944,['Do Not Sell My Personal Information']
690,614,[]
691,893,[]
692,1063,['Do Not Sell or Share My Personal Information (CA residents only)']
693,89,[]
694,261,['                        Do Not Sell']
695,700,['Do Not Sell or Share My Personal Information']
696,941,[]
697,820,['Do Not Sell or Share My Personal Information']
698,91,[]
699,163,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights']"
700,175,[]
701,620,[]
702,795,['Do Not Sell My Personal Information']
703,121,[]
704,940,['Do Not Sell My Info']
705,220,[]
706,138,[]
707,730,[]
708,634,[]
709,875,[]
710,229,[]
711,778,[]
712,214,['Do not sell or share my personal information']
713,628,['Do not sell or share my info']
714,492,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']"
715,1081,[]
716,458,[]
717,258,['Do not sell my personal information']
718,435,[]
719,884,[]
720,176,['Do not sell or share my personal information']
721,66,[]
722,111,['Do Not Sell or Share My Personal Information']
723,880,['Do Not Sell My PI']
724,733,['Do not sell my personal information']
725,430,[]
726,930,[]
727,200,[]
728,852,['Your Privacy Choices']
