,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,542,jetblue_542,['Do not sell my info'],[],[],[],[]
1,95,etsy_95,[],[],[],[],[]
2,65,zocdoc_65,[''],['Your privacy choices'],[],[],[]
3,1005,shutterstock_1005,[],[],[],[],[]
4,227,wiley_227,[],[],[],[],[]
5,697,ssense_697,[],[],[],[],[]
6,935,geeksforgeeks_935,[],[],[],[],[]
7,1065,acg_1065,[],[],[],[],[]
8,74,everydayhealth_74,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
9,384,ganeshaspeaks_384,[],[],[],[],[]
10,990,stubhub_990,[],[],[],[],[]
11,1047,pnc_1047,[],[],[],['Read a summary of privacy rights for California residents'],[]
12,212,peta_212,[],[],['Current subscribers: You will continue to receive e-mail unless you explicitly opt out by clicking '],[],[]
13,838,ulta_838,"['', 'Do Not Sell My Info', 'Do Not Sell My Personal Information']",[],"[' Clearing your browser cookies at any time will undo preferences saved here. To re-save preferences, please return to this screen after clearing your cookies. Also, please note that the option selected here will only apply to the device you are currently using.  You may also opt out of advertising cookies from any other devices you use to access our website or mobile applications.']",[],[]
14,866,harpersbazaar_866,[],"['', 'Your Privacy Choices', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
15,616,nvidia_616,[],[],[],[],[]
16,257,abebooks_257,[],['Your Ads Privacy Choices'],[],[],[]
17,480,realgm_480,[],[],[],[],[]
18,260,vitalsource_260,[],[],[],[],[]
19,700,ae_700,['Do Not Sell or Share My Personal Information'],[],"['You have the right under certain state privacy laws to opt-out of the “sale” and “sharing” of your personal information. These cookies collect information that may be “sold” or “shared” to perform analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the “sale” or “sharing” of personal information by using this toggle switch. Opting-out of “sales” and “sharing” will not prevent you from receiving marketing and advertising, but it will be less tailored and useful to you.\n\nIf you have enabled privacy controls on your browser (such as a plugin), we will recognize that as a valid request to opt-out and will not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences. Additionally, you may opt-out of ""sales"" and ""sharing"" via non-cookie-related methods by visiting our Privacy Rights Center.']",[],[]
20,442,nasa_442,[],[],[],[],[]
21,354,etsy_354,[],[],[],[],[]
22,313,woot_313,[],[],[],[],[]
23,134,livinglocurto_134,[],[],[],[],[]
24,840,fragrantica_840,[],[],[],[],[]
25,434,nature_434,[],[],[],[],[]
