,Unnamed: 0,url,Index,2023-02-02 Selenium,2023-02-19 Selenium
13,13,https://abcnews.go.com/,163,Do Not Sell or Share My Personal Information,
48,48,https://www.hillspet.com/,198,Do Not Sell My Personal Information,
65,65,https://www.dogster.com/,215,DO NOT SELL MY INFORMATION,
83,83,https://www.chegg.com/,233,DO NOT SELL MY INFO,Do Not Sell My Info
210,210,https://www.biglots.com/,110,,California Customers Only: Do Not Sell My Info
211,211,https://www.worldmarket.com/,111,Do Not Sell or Share My Personal Information,
246,246,https://www.wsj.com/,146,,Do Not Sell or Share My Personal Information
516,516,https://www.forbes.com/?sh=112eecaf2254,1015,Do Not Sell or Share My Personal Information,
518,518,https://www.wsj.com/,1017,Do Not Sell or Share My Personal Information,
530,530,https://www.economist.com/,1029,,Do Not Sell My Personal Information
588,588,https://www.instructables.com/,937,Do not sell or share my personal information,
638,638,https://www.tacobell.com/,44,,Do Not Sell or Share My Personal Information
708,708,https://www.sorel.com/,757,California Residents: Do Not Sell My Info,Do Not Sell or Share My Information
711,711,https://www.prana.com/,760,California Residents: Do Not Sell My Info,
712,712,https://www.finishline.com/,761,Do Not Sell or Share My Personal Information,
737,737,https://www.airforce.com/,786,Do Not Sell or Share My Personal Information,
772,772,https://www.porsche.com/usa/,821,Do Not Sell or Share My Personal Information,
813,813,https://www.cabelas.com/shop/en#,368,Do Not Sell My Personal Information,Do Not Sell Or Share My Personal Information
819,819,https://www.hsn.com/,374,Do Not Sell My Personal Information,
840,840,https://www.sunsigns.com/,395,Do Not Sell My Info,
921,921,https://www.glassesusa.com/,720,,Do Not Sell or Share My Personal Information
1054,1054,https://www.forbes.com/?sh=112eecaf2254,1054,Do Not Sell or Share My Personal Information,
