,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,977,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
1,201,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
2,760,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
3,295,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
4,223,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
5,610,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949
6,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
7,960,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,999
8,755,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
9,530,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717
10,1072,com_149,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,149
11,986,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
12,855,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
13,873,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
14,576,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742
15,410,economist_1029,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,1029
16,1000,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772
17,186,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774
18,437,fandango_986,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,986
19,638,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
20,630,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0
21,635,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971
22,484,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691
23,733,gilt_847,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,847
24,915,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120
25,1078,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444
26,706,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940
27,197,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
28,547,katespade_715,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,715
29,329,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,708
30,130,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739
31,486,monster_921,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,921
32,61,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400
33,232,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426
34,493,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478
35,1069,pcworld_674,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,674
36,937,petco_195,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,195
37,280,prada_773,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,773
38,575,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26
39,462,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4
40,272,saksfifthavenue_376,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,376
41,1014,saveur_585,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,585
42,306,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113
43,275,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230
44,849,techadvisor_676,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,676
45,574,thedailybeast_172,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,172
46,418,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277
47,756,toryburch_710,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,710
48,446,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848
49,153,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583
50,304,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578
51,651,udemy_885,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,885
52,503,udemy_939,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,939
53,908,westmarine_837,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,837
54,561,wonderhowto_947,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,947
55,676,zales_706,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,706
56,343,zara_692,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,692
57,301,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679
