,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,50
1,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,899
2,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,898
3,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,Do not sell or share my personal information,1074
4,tomsguide_673,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,673
5,tomshardware_610,o/o,No,Do not sell my info 0/0,Yes,Yes,Do not sell my personal information,610
6,potterybarn_107,o/o,No,Do Not Sell My Info| 0/0,Yes,Yes,Do not sell my personal information,107
7,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,920
8,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,668
9,lonelyplanet_554,o/o,No,ell or Share My Personal information| 0/0,Yes,,Do not sell or share my personal information,554
