,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627
1,airforce_786,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,786
2,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34
3,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102
4,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112
5,belk_377,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,377
6,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018
7,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949
8,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016
9,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508
10,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717
11,com_149,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,149
12,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871
13,com_997,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,997
14,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77
15,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35
16,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742
17,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772
18,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774
19,finishline_761,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,761
20,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2
21,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0
22,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971
23,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691
24,gilt_847,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,847
25,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32
26,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120
27,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444
28,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940
29,jared_718,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,718
30,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131
31,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,708
32,libertymutual_1059,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1059
33,libertymutual_1061,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1061
34,malwarebytes_639,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,639
35,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739
36,mlb_503,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,503
