,Unnamed: 0,Index,2023-02-17_Check,2023-02-17_filename,2023-02-17_Text,2023-02-17_Presence confirm,2023-01-07_Check,2023-01-07_filename,2023-01-07_Text,2023-01-07_Presence confirm,2023-01-14_Check,2023-01-14_filename,2023-01-14_Text,2023-01-14_Presence confirm,2023-02-08_Check,2023-02-08_filename,2023-02-08_Text,2023-02-08_Presence confirm
11,11,11,True,tasteofhome_11,Do not sell or share my personal information,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes,True,tasteofhome_11,California residents: do not sell my info,Yes,True,tasteofhome_11,Do not sell or share my personal information,Yes
123,123,123,True,marthastewart_123,California residents: do not sell my info,Yes,True,marthastewart_123,California residents: do not sell my info,Yes,True,marthastewart_123,California residents: do not sell my info,Yes,True,marthastewart_123,Do not sell my personal information,Yes
141,141,141,True,com_141,Do not sell or share my personal information,Yes,True,com_141,Do not sell my personal information,Yes,True,com_141,Do not sell or share my personal information,Yes,True,com_141,Do not sell or share my personal information,Yes
163,163,163,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes,True,go_163,Do not sell or share my personal information,Yes
167,167,167,True,theatlantic_167,Do not sell or share my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell my personal information,Yes,True,theatlantic_167,Do not sell or share my personal information,Yes
179,179,179,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes,True,com_179,Do not sell or share my personal information,Yes
184,184,184,True,latimes_184,Do not sell or share my personal information,Yes,True,latimes_184,Do not sell my personal information,Yes,True,latimes_184,Do not sell or share my personal information,Yes,True,latimes_184,Do not sell or share my personal information,Yes
299,299,299,True,rakuten_299,Do not sell or share my personal information,Yes,True,rakuten_299,Do not sell my personal information,Yes,True,rakuten_299,Do not sell or share my personal information,Yes,True,rakuten_299,Do not sell or share my personal information,Yes
316,316,316,True,rakuten_316,Do not sell or share my personal information,Yes,True,rakuten_316,Do not sell my personal information,Yes,True,rakuten_316,Do not sell or share my personal information,Yes,True,rakuten_316,Do not sell or share my personal information,Yes
366,366,366,True,sears_366,Do not sell or share my personal information,Yes,True,sears_366,Do not sell my personal information,Yes,True,sears_366,Do not sell or share my personal information,Yes,True,sears_366,Do not sell or share my personal information,Yes
368,368,368,True,cabelas_368,Do not sell or share my personal information,Yes,True,cabelas_368,Do not sell my personal information,Yes,True,cabelas_368,Do not sell or share my personal information,Yes,True,cabelas_368,Do not sell or share my personal information,Yes
503,503,503,True,mlb_503,Do not sell or share my personal information,Yes,True,mlb_503,Do not sell my personal information,Yes,True,mlb_503,Do not sell or share my personal information,Yes,True,mlb_503,Do not sell or share my personal information,Yes
585,585,585,True,saveur_585,Do not sell or share my personal information,Yes,True,saveur_585,Do not sell my personal information,Yes,True,saveur_585,Do not sell my personal information,Yes,True,saveur_585,Do not sell my personal information,Yes
598,598,598,True,keurig_598,Do not sell or share my personal information,Yes,True,keurig_598,Do not sell my personal information,Yes,True,keurig_598,Do not sell or share my personal information,Yes,True,keurig_598,Do not sell or share my personal information,Yes
635,635,635,True,eset_635,Do not sell or share my personal information,Yes,True,eset_635,Do not sell my personal information,Yes,True,eset_635,Do not sell or share my personal information,Yes,True,eset_635,Do not sell or share my personal information,Yes
675,675,675,True,consumerreports_675,Do not sell or share my personal information,Yes,True,consumerreports_675,Do not sell my personal information,Yes,True,consumerreports_675,Do not sell or share my personal information,Yes,True,consumerreports_675,Do not sell or share my personal information,Yes
676,676,676,True,techadvisor_676,Do not sell or share my personal information,Yes,True,techadvisor_676,California residents: do not sell my info,Yes,True,techadvisor_676,California residents: do not sell my info,Yes,True,techadvisor_676,California residents: do not sell my info,Yes
757,757,757,True,sorel_757,Do not sell or share my personal information,Yes,True,sorel_757,California residents: do not sell my info,Yes,True,sorel_757,Do not sell my personal information,Yes,True,sorel_757,California residents: do not sell my info,Yes
801,801,801,True,thecarconnection_801,Do not sell my personal information,Yes,True,thecarconnection_801,Do not sell or share my personal information,Yes,True,thecarconnection_801,Do not sell or share my personal information,Yes,True,thecarconnection_801,Do not sell my personal information,Yes
857,857,857,True,refinery29_857,Do not sell or share my personal information,Yes,True,refinery29_857,Do not sell my personal information,Yes,True,refinery29_857,Do not sell or share my personal information,Yes,True,refinery29_857,Do not sell or share my personal information,Yes
924,924,924,True,snagajob_924,Do not sell or share my personal information,Yes,True,snagajob_924,Do not sell my personal information,Yes,True,snagajob_924,Do not sell or share my personal information,Yes,True,snagajob_924,Do not sell or share my personal information,Yes
