,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,mazdausa_825,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,825
1,neimanmarcus_373,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,373
2,com_3,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,3
3,livingsocial_310,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,310
4,netflix_347,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,347
5,sorel_757,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,757
6,superpages_276,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,276
7,theverge_666,1,Yes,SELL OR SHARE MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell or share my personal information,666
8,org_396,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,396
9,medicinenet_69,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,69
10,burlington_378,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,378
11,wsj_1017,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1017
12,space_446,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,446
13,nbcnews_169,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,169
14,marieclaire_862,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,862
15,grubhub_18,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,18
16,refinery29_857,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,857
17,latimes_184,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,184
18,instyle_865,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,865
19,wsj_146,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,146
20,com_21,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,21
21,niche_1084,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1084
22,salary_926,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,926
23,inc_1028,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information,1028
24,nbcsports_487,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,487
25,livescience_425,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,425
26,walgreens_76,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,76
27,victoriassecret_688,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,688
28,sparknotes_888,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,888
29,offers_303,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,303
30,com_141,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,141
31,mcdonalds_39,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,39
32,bmwusa_816,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,816
33,thedodo_218,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,218
34,com_864,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,864
35,healthgrades_62,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,62
36,subway_40,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,40
37,last_982,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,982
38,autodesk_445,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,445
39,dsw_759,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,759
40,cbssports_505,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,505
41,southwest_537,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,537
42,dice_904,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,904
43,footlocker_689,1,Yes,ell or Share my Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,689
44,vividseats_994,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,994
45,marthastewart_13,1,Yes,californi nM,Yes,Yes,California residents: do not sell my info,13
46,hobbylobby_130,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,130
47,addresses_280,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,280
48,dailywire_142,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,142
49,com_967,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,967
50,medscape_71,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,71
51,cdw_613,1,Yes,sonal Information - Currently Sharing] 1/1,Yes,Yes,Do not sell or share my personal information,613
52,kobo_252,1,Yes,Information (Personal Data Opt-out)| 1/1,Yes,Yes,Do not sell or share my personal information,252
53,whirlpool_602,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,602
54,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,357
55,glasses_775,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,775
56,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,126
57,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,116
